firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,1,7.8452636,3764,16.0606572785752,-16
407,1,0,0,1,7.7722032,3764,15.6969746899021,-16
407,1,0,0,1,5.4768647,3752,17.7108797477825,-16
407,1,0,0,1,6.5132317,3752,13.6645054690341,-16
407,1,0,0,1,5.7945623,3764,17.2575743536982,-16
407,1,0,0,1,5.3091482,3760,17.328597754048,-16
407,1,0,0,1,5.8255828,3760,15.2774550629967,-17
407,1,0,0,1,5.2986785,3752,16.9853838695811,-16
407,1,0,0,1,7.0566909,3756,14.312668461702,-16
407,1,0,0,1,5.8426833,3760,15.0615918983286,-16
407,1,0,0,1,8.2132469,3768,14.9758164306793,-16
407,1,0,0,1,5.8153891,3768,17.3677296920942,-17
407,1,0,0,1,6.3797672,3726,18.0257739726571,-17
407,1,0,0,1,6.5284603,3756,17.155666999313,-16
407,1,0,0,1,6.1645837,3760,16.708360785873,-16
407,1,0,0,1,6.2496255,3742,12.4807698138821,-16
407,1,0,0,1,7.5062644,3750,15.58699172019,-16
407,1,0,0,1,4.596938,3738,15.2275719292851,-16
407,1,0,0,1,5.9983121,3734,16.0045159409147,-17
407,1,0,0,1,6.0329929,3746,15.7467592257859,-16
407,1,0,0,1,5.1574766,3760,16.2870504221487,-16
407,1,0,0,1,6.4581284,3760,14.4004689907578,-16
407,1,0,0,1,6.0498606,3756,16.6946147189542,-16
407,1,0,0,1,3.9194303,3764,14.2878308529021,-16
407,1,0,0,1,5.2165291,3768,16.1026795798144,-16
407,1,0,0,1,7.3137242,3734,15.4504173342307,-16
407,1,0,0,1,5.4884362,3752,13.8473107693469,-16
407,1,0,0,1,6.3491288,3752,15.5927029741128,-16
407,1,0,0,1,5.1684342,3738,14.1242134409343,-16
407,1,0,0,1,6.6667594,3752,17.249773769217,-17
407,1,0,0,1,5.2511732,3768,14.8538546381218,-16
407,1,0,0,1,7.042887,3742,17.7484175723873,-16
407,1,0,0,1,6.2989891,3746,16.351845225562,-16
407,1,0,0,1,6.4916313,3752,14.9423295399842,-16
407,1,0,0,1,6.7826946,3768,16.6600584225493,-16
407,1,0,0,1,4.6889193,3750,13.6492218237408,-16
407,1,0,0,1,7.4536563,3738,15.4286807287956,-16
407,1,0,0,1,6.8892183,3752,14.6606026930221,-17
407,1,0,0,1,7.5416166,3738,16.0443173215908,-16
407,1,0,0,1,5.2636893,3752,18.4281582714342,-16
