firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0241.vcc,0242.vcc,0237.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,3,1,0,11,43.4361911,3542,3370,3492,16.8999578905415,14.2788770103608,17.8173463485773,-20,-19,-18
407,3,1,0,11,31.8804873,3562,3324,3518,20.0734508153488,12.9201955400917,16.0858954993809,-20,-20,-17
407,3,1,0,11,41.6785,3570,3338,3496,26.2400248545515,14.4471790303833,16.8897597345867,-21,-20,-18
407,3,1,0,11,35.5007342,3566,3320,3506,22.3590777498871,13.7288131008433,17.4822563986836,-20,-19,-17
407,3,1,0,11,36.4193284,3550,3332,3510,23.498683122608,13.9592710665348,14.996810876198,-19,-20,-20
407,3,1,0,11,31.7965715,3550,3296,3506,20.9122797521772,12.8397681066088,17.8256142481767,-19,-19,-18
407,3,1,0,11,38.0200701,3542,3332,3468,16.6299650568282,13.6160719530363,16.3570311342389,-20,-19,-19
407,3,1,0,12,44.4224713,3562,3320,3518,20.6628384650737,16.3348453672623,15.7165839308366,-18,-19,-17
407,3,1,0,12,50.9595243,3542,3312,3506,18.4392484172179,14.7957167138374,15.9434860814961,-20,-19,-19
407,3,1,0,11,45.5218616,3550,3308,3480,22.1213743585896,16.5082258795292,17.8842039872307,-21,-20,-17
407,3,1,0,11,39.2146362,3550,3288,3518,20.0750038174679,14.8628032692649,19.1591376976646,-20,-20,-18
407,3,1,0,11,35.8720246,3562,3334,3506,21.0139354930025,11.7592896616731,18.3755757193161,-18,-20,-18
407,3,1,0,11,37.2290033,3542,3320,3506,24.7810446557118,13.6571154972143,18.1032757632855,-20,-19,-17
407,3,1,0,11,36.2840073,3554,3300,3484,17.1615071559532,13.5687158881115,17.5729870079756,-19,-19,-18
407,3,1,0,11,31.0603465,3534,3316,3488,22.1883619352151,12.1444558038274,17.8874638506552,-19,-20,-19
407,3,1,0,11,40.7219315,3582,3358,3492,19.3143045627536,13.0859240779858,16.2258492761988,-18,-19,-18
407,3,1,0,11,36.0264186,3550,3346,3492,23.1242926678184,14.2176793607644,16.5077116886249,-19,-19,-18
407,3,1,0,11,37.4227656,3574,3246,3500,24.4978667752065,13.5547625686713,16.7218448044794,-19,-20,-17
407,3,1,0,11,33.5375897,3554,3276,3456,20.4801886159633,14.2702964660056,16.818568079182,-19,-19,-18
407,3,1,0,11,34.6367986,3550,3292,3480,21.8975752595939,16.2271794987843,18.3600040077266,-18,-19,-18
407,3,1,0,11,40.5867321,3554,3324,3476,21.6267034255512,12.4919280613605,16.2704685467723,-19,-20,-18
407,3,1,0,11,34.4654823,3566,3350,3492,18.2489991814879,15.1230147500034,18.0126473386958,-20,-19,-18
407,3,1,0,11,39.1227913,3546,3312,3496,19.1663111854754,15.5053099693458,19.9699415103046,-19,-19,-17
407,3,1,0,11,42.2384797,3518,3332,3492,19.6714181562261,14.2700977628503,16.9264625876046,-20,-19,-18
407,3,1,0,11,34.1779894,3538,3362,3484,21.2382234598292,13.7713751638688,17.7653868732769,-18,-20,-17
407,3,1,0,12,38.451191,3546,3324,3456,19.6353484201952,12.077343573682,18.4429689376864,-18,-19,-18
407,3,1,0,11,40.4612181,3550,3346,3500,23.2762999993521,16.4523286592444,18.19409092315,-19,-19,-18
407,3,1,0,11,43.0948197,3538,3366,3488,20.2789900682198,14.003171172643,17.7536306278335,-19,-20,-18
407,3,1,0,11,38.2880768,3546,3334,3484,21.5727914310165,13.4669929044415,18.62512497657,-20,-19,-18
407,3,1,0,11,44.0356129,3550,3292,3518,20.2898289786074,14.9771429092438,19.8525160109661,-19,-19,-18
407,3,1,0,11,35.6967597,3554,3312,3496,21.5713548952443,14.815614351715,18.315458231048,-21,-20,-18
407,3,1,0,11,47.4062717,3542,3332,3492,18.5346481042239,15.2456501111103,18.2573773787443,-19,-20,-17
407,3,1,0,12,37.6628226,3534,3334,3506,22.5859079799428,14.7617002178652,19.9857082546844,-18,-19,-19
407,3,1,0,12,35.8594664,3566,3296,3496,22.3716899686461,13.8312359310534,17.8352376289033,-19,-19,-18
407,3,1,0,11,35.5982491,3558,3366,3480,19.8743376029412,12.253711822209,17.1834084086334,-19,-20,-17
407,3,1,0,11,43.8203215,3554,3304,3502,19.1654486877164,14.9469271479331,18.3796884392177,-18,-19,-17
407,3,1,0,11,38.5568051,3550,3350,3496,18.3370421698996,14.4889983314835,16.8797965733674,-18,-19,-17
407,3,1,0,11,37.0026454,3562,3296,3440,20.1061515440854,15.3955647169933,18.9158014633766,-21,-19,-18
407,3,1,0,11,37.2940514,3542,3328,3488,21.0394240120593,14.310146702711,18.1248906799294,-19,-19,-19
407,3,1,0,11,37.2063666,3562,3284,3484,20.4947706006907,15.7706333179734,18.7086506511263,-18,-19,-17
407,3,1,0,11,31.2846113,3530,3276,3518,21.593631880452,13.4431772168166,17.2701097327395,-19,-20,-17
407,3,1,0,11,31.5938437,3542,3320,3500,20.5948395389421,10.7871021354038,15.9904523180752,-20,-19,-17
407,3,1,0,11,34.2958687,3570,3304,3452,19.0974773210068,12.252892500275,17.8614925832975,-20,-19,-17
407,3,1,0,11,46.0130717,3542,3350,3492,20.6088529182778,15.3067800696152,16.8248871778935,-19,-19,-19
407,3,1,0,11,36.1999366,3558,3292,3496,20.5685633042101,13.8135130004826,18.745275795728,-20,-19,-17
407,3,1,0,12,38.3106957,3538,3296,3492,20.391809051433,13.8800120631961,16.9804052042827,-19,-19,-17
407,3,1,0,11,37.2840648,3546,3320,3496,19.9522454605046,13.3530723178467,17.6029954424094,-19,-19,-18
407,3,1,0,11,37.901766,3542,3338,3460,22.6582812181648,14.4554122293521,17.9176074499321,-19,-19,-20
407,3,1,0,11,34.3948256,3538,3296,3510,21.089483746716,14.5791693473301,18.480165812577,-20,-20,-18
407,3,1,0,11,36.6394978,3562,3350,3500,21.506423751538,13.8249266365053,18.089107645677,-20,-19,-20
407,3,1,0,12,40.9706735,3522,3308,3480,21.2420402254299,13.4182820550149,16.7620683989238,-20,-20,-17
407,3,1,0,11,33.5425525,3550,3346,3506,23.3740065083678,12.9732300450545,17.884844535872,-18,-20,-18
407,3,1,0,11,45.7876495,3518,3342,3510,20.3794597817231,15.2425439836521,18.8627944039637,-20,-19,-18
407,3,1,0,11,41.062629,3546,3308,3452,19.8694711990028,15.3134166499072,18.6436959760068,-18,-19,-17
407,3,1,0,11,38.1509229,3538,3342,3496,24.1198848727745,14.6376459840549,16.0693202557418,-19,-19,-19
407,3,1,0,11,31.5166147,3554,3316,3468,23.7219839179904,11.0188547756136,18.2586258227322,-20,-20,-17
407,3,1,0,11,35.0488987,3530,3296,3472,20.9536484342985,14.8674586161372,18.7288624855797,-18,-19,-19
407,3,1,0,11,36.5321211,3546,3338,3488,20.6208539738133,12.2925000294517,16.3253483076488,-20,-20,-19
407,3,1,0,12,43.476013,3550,3308,3456,20.6792253308308,13.083514087462,19.32852618645,-20,-19,-17
407,3,1,0,11,43.4222466,3542,3284,3502,23.4501321615376,15.1662345507547,18.4413361508636,-20,-20,-17
407,3,1,0,11,31.705543,3534,3284,3496,19.9824327167648,14.9825538305081,17.4520043886964,-18,-20,-17
407,3,1,0,11,31.8949962,3542,3288,3484,18.926609592187,13.3322023486062,19.0650239878855,-20,-19,-18
407,3,1,0,11,29.5032791,3550,3292,3502,18.3206563593483,9.21973343274489,16.8378293305233,-19,-20,-17
407,3,1,0,12,35.8045149,3554,3284,3492,21.6944380448337,12.1957958412096,18.3151997713109,-21,-19,-18
407,3,1,0,11,44.0381123,3558,3328,3488,23.9664402167017,14.4471196164269,20.9959093559297,-21,-19,-19
407,3,1,0,11,43.2257068,3542,3346,3456,20.4717938413756,16.9963124581184,17.196154054091,-19,-19,-19
407,3,1,0,11,36.9731589,3542,3346,3502,24.1399292598431,14.5537369585261,19.2347942785236,-19,-20,-18
407,3,1,0,11,45.9010532,3550,3304,3484,22.1449357961599,15.3798184429043,15.4830296498779,-20,-19,-17
407,3,1,0,11,39.420594,3542,3284,3480,21.5211220987321,13.8110954262065,16.7081630604436,-19,-20,-17
407,3,1,0,11,43.0081833,3538,3312,3510,20.9209050740721,15.7727603566442,17.2395829667809,-20,-19,-18
407,3,1,0,11,38.1002691,3538,3346,3506,19.9931354004236,13.4539354873568,18.3029667769904,-19,-19,-17
407,3,1,0,11,46.4178032,3534,3284,3484,20.6594584808249,14.3639482522081,19.4758923325298,-19,-19,-17
407,3,1,0,12,37.3311651,3538,3338,3476,20.7718608256294,12.5434879274107,16.8590480423831,-19,-20,-18
407,3,1,0,11,37.9127135,3546,3284,3472,21.9765978685872,10.9443012092418,18.8046240825885,-19,-20,-19
407,3,1,0,12,40.8930939,3534,3296,3488,20.944286435696,14.2201770988684,18.2371634542463,-20,-20,-18
407,3,1,0,11,43.3043136,3554,3304,3488,23.7522641725862,16.3591857973049,17.2163249027273,-20,-19,-17
407,3,1,0,11,29.6683876,3530,3332,3472,24.4814175254615,10.9753229473761,15.0781855796798,-19,-20,-18
407,3,1,0,11,32.1164042,3546,3370,3502,18.5421073302137,11.9362451045409,18.3194282701324,-20,-19,-17
407,3,1,0,13,47.1874558,3542,3316,3472,19.4796351924756,13.4798590988193,17.6290294059979,-18,-20,-18
407,3,1,0,11,37.8198131,3550,3346,3460,23.6225934778177,14.199606264504,17.2592256980946,-18,-19,-17
407,3,1,0,11,48.0716519,3546,3292,3492,19.2967248733519,14.2621317076776,18.9200192070816,-18,-19,-18
407,3,1,0,11,33.7091764,3542,3308,3502,23.9312364681482,15.1209975050919,18.0778967777501,-18,-19,-18
407,3,1,0,11,43.5057729,3538,3354,3506,20.3309356522952,15.529633257942,17.9827153106655,-19,-20,-19
407,3,1,0,11,36.2125631,3550,3304,3464,21.2103897444466,14.174693010505,16.3117349650661,-20,-19,-16
407,3,1,0,11,33.2433415,3534,3362,3518,18.0068654175549,12.3205923740813,17.3821986668599,-18,-20,-17
407,3,1,0,11,46.5942428,3538,3346,3522,21.6087881500821,15.1254082185733,17.6551111519623,-18,-19,-17
407,3,1,0,12,50.8970062,3522,3354,3480,18.8405533910144,15.3741309305035,16.0870208009802,-20,-20,-19
407,3,1,0,11,32.4844338,3538,3346,3440,20.3546519691418,11.9453094377496,17.7370102865138,-18,-19,-18
407,3,1,0,11,44.4988765,3546,3354,3514,19.5770253166829,16.1500357540403,15.3853446741818,-18,-20,-17
407,3,1,0,11,40.6877374,3542,3374,3444,20.9212736656217,14.8922421464431,17.9974500743236,-19,-19,-19
407,3,1,0,11,38.8930701,3534,3300,3472,19.0906389667654,12.6900895205968,18.1796979640387,-19,-20,-17
407,3,1,0,11,36.3416526,3550,3338,3472,22.3059048095272,13.0094926456137,17.2969578558502,-20,-19,-18
407,3,1,0,11,38.3613236,3526,3328,3488,18.0782879355133,13.9960432362474,21.8296409128472,-19,-19,-18
407,3,1,0,11,32.652249,3562,3292,3480,18.0662243196808,12.8912263077473,18.2341249764058,-20,-19,-18
407,3,1,0,11,38.7420763,3546,3338,3456,19.9047953637751,14.919554259429,20.6237877495566,-20,-20,-17
407,3,1,0,12,41.956286,3530,3316,3500,18.219559332406,16.1862169647595,18.6628676807057,-19,-19,-17
407,3,1,0,11,38.6163831,3570,3276,3468,22.1687988654363,12.0256009157278,17.9771059308832,-20,-20,-19
407,3,1,0,11,43.2417705,3534,3292,3472,18.6659493836886,14.8955581792725,17.0523937624176,-18,-20,-17
407,3,1,0,11,40.7948758,3534,3312,3476,22.8414946503924,14.0720812560371,19.4150499906907,-19,-20,-18
407,3,1,0,11,52.2342325,3550,3316,3492,18.5862497780373,15.7840339596607,18.5565016815304,-19,-19,-18
