firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,1,0,11,44.8538248,3514,3514,3320,3582,7.15073125570712,20.5279829740503,14.7086435954065,16.1148178878649,-22,-20,-19,-18
407,4,1,0,11,41.2479754,3526,3502,3366,3542,6.17939535757238,20.9709569687175,13.916275221316,17.7416861191582,-19,-20,-19,-18
407,4,1,0,11,38.6199714,3514,3518,3320,3558,6.6288110121199,18.4809494772603,13.27708802289,17.529033732339,-19,-19,-19,-17
407,4,1,0,12,47.9129574,3518,3518,3338,3574,6.0691378442662,19.9469981059872,14.5584582179378,19.8282127175497,-20,-19,-19,-17
407,4,1,0,12,39.7850609,3514,3538,3350,3550,8.85026433151273,17.0473597816301,12.5595627717485,17.1908934107306,-21,-19,-20,-17
407,4,1,0,11,38.8761772,3518,3500,3386,3562,8.06970996948843,20.0961345487118,13.7787654622974,17.5216392244422,-21,-20,-19,-18
407,4,1,0,11,43.3307463,3510,3514,3358,3570,6.5608982576273,26.9901608066801,15.7487781964443,18.2146951006646,-20,-19,-19,-17
407,4,1,0,11,47.1181478,3510,3542,3374,3554,5.88031949928258,23.2614092795085,14.427682481223,17.3301197777136,-19,-20,-19,-17
407,4,1,0,11,41.9332498,3518,3522,3350,3562,8.40214373975805,19.6825209372816,14.559782388963,19.1553638376568,-19,-19,-19,-17
407,4,1,0,11,42.285904,3502,3518,3312,3566,8.60531664364332,21.9795105057976,14.5779810146941,16.9763632048723,-19,-19,-20,-18
407,4,1,0,11,36.3729286,3506,3496,3334,3570,6.67195801756665,22.2708108558861,14.4805943852454,17.9396656751945,-20,-21,-20,-19
407,4,1,0,11,40.7185629,3492,3534,3324,3570,7.18687008811291,20.9929728122808,13.1086489643574,18.0837270698341,-21,-20,-19,-19
407,4,1,0,11,38.5791121,3514,3496,3334,3562,10.6322590439727,20.7971931129483,14.1007419079561,19.9720923296514,-21,-21,-19,-17
407,4,1,0,11,38.1211681,3514,3522,3358,3554,9.30306607660833,24.9177997572211,13.9860888228529,18.3378849186227,-19,-21,-19,-17
407,4,1,0,11,37.0955021,3514,3502,3354,3570,7.56296002154507,21.1699528909594,13.9634417002554,17.8220472287492,-19,-20,-19,-17
407,4,1,0,11,39.8220941,3514,3502,3324,3578,9.29740841142026,18.8808940674609,13.2133141269947,19.453920875608,-20,-20,-19,-18
407,4,1,0,11,47.0196441,3514,3514,3338,3570,8.5209821927883,22.0406393960651,15.9813743840475,11.0422973278745,-19,-19,-19,-18
407,4,1,0,11,40.3579678,3510,3530,3346,3562,7.41917593893882,21.660861046239,12.9901601757567,21.5787631229531,-21,-19,-19,-18
407,4,1,0,11,38.5617956,3522,3526,3342,3514,7.66748730166303,20.3079856542478,15.8436196713748,17.2448360338497,-21,-21,-19,-18
407,4,1,0,11,42.3878501,3514,3526,3366,3566,7.61998725757317,22.6020211352461,15.0820406453454,15.3505822709451,-19,-19,-20,-19
407,4,1,0,11,35.5583267,3492,3526,3334,3542,7.37903921737973,24.4618367077783,13.5379545390012,18.891778071482,-19,-21,-19,-18
407,4,1,0,11,35.3794648,3492,3518,3332,3550,8.47661765560048,22.6655382071182,13.0445193017336,18.9650232452831,-19,-21,-19,-19
407,4,1,0,11,37.3412385,3518,3510,3308,3570,7.67526259390394,24.4722532659207,13.1946467814102,21.032871514126,-20,-20,-19,-17
407,4,1,0,11,41.9116138,3502,3506,3316,3554,6.67219954536915,18.2726699769993,13.6440060832672,17.4313334658388,-22,-19,-19,-18
407,4,1,0,11,45.1090035,3506,3518,3300,3562,8.24013902230937,23.9470252359621,15.2594898568458,17.8515198704929,-19,-18,-19,-17
407,4,1,0,11,40.5201668,3510,3530,3308,3578,8.84881720923416,27.4388974526086,15.5747484385591,21.0926689130658,-19,-19,-19,-17
407,4,1,0,11,38.1562437,3518,3522,3324,3570,7.56124099087283,20.832246325078,12.4388004083774,19.4973060139007,-20,-21,-19,-19
407,4,1,0,11,42.7817479,3506,3538,3328,3546,10.4694515145959,20.6097058220488,15.7597084364863,19.8449455077232,-19,-20,-19,-18
407,4,1,0,11,48.4537147,3510,3500,3316,3558,9.35258333048505,18.2573849931598,12.9863262209567,14.7571864196914,-21,-21,-19,-18
407,4,1,0,11,39.5400144,3522,3522,3324,3558,8.83351595433851,25.7869399274781,15.197999989553,16.0046299616187,-22,-21,-19,-17
407,4,1,0,11,37.0552446,3484,3518,3342,3546,7.48074161815056,18.8044859981797,13.5223161571903,18.2810854308322,-20,-19,-19,-19
407,4,1,0,11,37.8715349,3506,3530,3320,3570,7.06241799739679,21.3850621250002,13.5959412120141,16.5233046237473,-19,-19,-19,-18
407,4,1,0,11,35.3770511,3522,3496,3338,3570,6.90804557321909,22.1786002966723,14.2623172717584,22.9279859424739,-19,-21,-19,-18
407,4,1,0,11,41.2877506,3514,3480,3354,3660,6.92820819170211,26.9329285461567,13.7586542043796,18.0598163140488,-21,-20,-18,-16
407,4,1,0,11,46.0690238,3496,3570,3320,3542,8.31381354154255,22.1750607196598,13.9675297795483,20.2688938432724,-19,-18,-19,-18
407,4,1,0,11,37.3263731,3488,3542,3288,3510,9.96459159566977,25.8948687073434,13.7584423033726,19.8609311693957,-22,-21,-20,-17
407,4,1,0,11,40.4329721,3500,3558,3300,3530,7.37661795049817,22.4728696281414,14.3755345927236,20.0953322562235,-19,-19,-20,-17
407,4,1,0,11,44.0690096,3476,3538,3292,3506,11.6244931347349,24.6048293871897,14.1668564008911,14.9226392474246,-19,-20,-20,-19
407,4,1,0,11,60.5393061,3506,3554,3288,3518,8.53205275478309,26.1854261440056,15.9504013192946,20.6640981192704,-20,-20,-19,-19
407,4,1,0,11,53.0400933,3472,3566,3324,3480,9.14662354150931,23.6848067560521,14.308726224178,18.212407500631,-20,-20,-19,-18
407,4,1,0,14,54.6557617,3514,3542,3312,3492,8.80022616581246,19.3119926845304,13.9370450088332,17.5368948236808,-19,-18,-19,-19
407,4,1,0,11,35.2050339,3506,3518,3308,3464,10.6279371363707,29.2827202986965,11.0685302213615,21.5109901204352,-19,-19,-20,-19
407,4,1,0,11,46.8950247,3488,3538,3338,3476,8.7428640134788,17.9294529813543,13.0773517412811,20.4642482142153,-21,-19,-20,-18
407,4,1,0,15,59.0154507,3518,3566,3334,3500,9.75373627318376,22.6742925036167,14.8768907222423,17.2616964352729,-19,-18,-20,-17
407,4,1,0,11,47.4321016,3492,3526,3280,3476,10.0690340377328,24.1404199950271,14.3429185823236,17.6314320946925,-19,-19,-19,-18
407,4,1,0,11,53.1723784,3502,3550,3296,3472,10.7203759287426,22.5655156839841,15.4730926633355,17.8795011225025,-20,-19,-20,-18
407,4,1,0,11,41.1944747,3518,3554,3334,3468,7.23753246824917,23.823208879285,12.7506093450336,19.7146460189167,-19,-19,-19,-17
407,4,1,0,11,48.5336672,3510,3538,3332,3468,9.16974772373457,19.9030550012365,14.526466177651,18.1991644327587,-19,-19,-19,-18
407,4,1,0,11,44.251965,3514,3570,3358,3464,10.4889665639386,22.9685515822194,14.6687598311588,17.5337803653509,-21,-19,-19,-18
407,4,1,0,11,48.0173539,3502,3570,3366,3502,12.261599822121,19.7603235230426,15.330721681017,15.9267464912624,-20,-21,-20,-18
407,4,1,0,11,38.3655764,3522,3562,3334,3500,8.99414595131491,19.1397799690895,12.908599566818,20.6198877378135,-19,-20,-20,-18
