firmware_size,done,not_done,missing,attempts,duration_sec,,,
407,1,0,0,4,11.1660647,3492,3.63157523933897,-19
407,0,1,0,10,24.0101316,3496,3.72274762600384,-19
407,0,1,0,10,24.1857491,3436,4.31072015753096,-18
407,0,1,0,10,26.0038982,3500,7.52824975721394,-18
407,0,1,0,10,24.380319,3480,3.6881057483185,-18
407,1,0,0,4,10.6162676,3472,3.54169352450923,-18
407,0,1,0,10,27.764485,3480,4.01167558060981,-18
407,0,0,1,6,25.9867269,3488,3.51179207100563,-18
407,0,0,1,0,2.0745264,2156,0,-17
407,1,0,0,1,3.9829996,3648,3.54094357648049,-19
407,1,0,0,1,4.0606213,3592,4.38073684869943,-17
407,1,0,0,1,4.0713878,3632,4.53787217358632,-17
407,1,0,0,1,3.7952952,3632,4.71001830313113,-17
407,1,0,0,1,4.0276872,3660,3.85067097941816,-17
407,1,0,0,1,4.0391699,3628,3.65850624653357,-17
407,1,0,0,1,4.0301203,3636,3.6811193547734,-17
407,1,0,0,1,4.0015278,3604,3.61249881239102,-17
407,1,0,0,1,4.6056537,3628,3.53833002145643,-17
407,1,0,0,1,3.8004741,3640,3.72847319395555,-19
407,1,0,0,1,3.7875774,3628,3.57249904524963,-19
407,1,0,0,1,3.9836823,3628,6.62854370232006,-18
407,1,0,0,1,3.7671188,3612,10.0354451924196,-18
407,1,0,0,1,3.4931458,3656,4.77775553467146,-17
407,1,0,0,1,3.4962809,3664,4.77632471365933,-17
407,1,0,0,1,3.8426733,3686,3.60463758252818,-18
407,1,0,0,1,4.2979463,3656,3.70783038159136,-18
407,1,0,0,1,3.5771847,3652,6.38718067290226,-17
407,1,0,0,1,3.5557681,3648,6.33223996656577,-18
407,1,0,0,1,3.5422566,3632,9.24012023244446,-19
407,1,0,0,1,3.5884171,3660,4.4042910126478,-17
407,1,0,0,1,3.8347813,3664,3.7187080018415,-17
407,1,0,0,1,3.5129269,3664,5.60296912539893,-19
407,1,0,0,1,4.012243,3664,3.82112109400225,-18
407,1,0,0,1,3.7721221,3660,4.02705050364307,-18
407,1,0,0,1,4.016471,3674,4.29522452641928,-18
407,1,0,0,1,4.0134096,3664,3.63013432586046,-18
407,1,0,0,1,4.3046692,3674,3.52950809951519,-18
407,1,0,0,1,4.0243003,3644,3.61645734008839,-17
407,1,0,0,1,3.7468862,3616,8.41281338781471,-18
407,1,0,0,1,3.5584809,3660,4.42356130303961,-18
407,1,0,0,1,3.5479739,3640,8.04523999353163,-19
407,1,0,0,2,6.3186123,3628,7.50242703514587,-18
407,1,0,0,1,4.0376916,3636,3.63776450640447,-18
407,1,0,0,1,3.7449597,3616,3.68412734259842,-18
407,1,0,0,1,3.5003628,3632,5.60116773144865,-19
407,1,0,0,3,7.7810456,3652,3.75903813732142,-17
407,1,0,0,1,3.996013,3600,3.72128470656182,-18
407,1,0,0,1,3.7807346,3644,3.49599865473972,-17
407,1,0,0,1,3.7958224,3666,3.59915362303401,-17
407,1,0,0,1,3.7931789,3656,6.42000576516518,-19
407,1,0,0,1,4.0255762,3644,5.85220718920244,-18
407,1,0,0,1,3.6242726,3648,4.67018019890298,-18
407,1,0,0,1,4.2870082,3670,3.68641713800582,-18
407,1,0,0,2,5.1914034,3644,4.81801165477019,-17
407,1,0,0,1,3.8057652,3664,3.61697925807075,-18
407,1,0,0,1,3.816383,3624,7.79488234794328,-17
407,1,0,0,1,3.7978417,3628,5.01405942262103,-18
407,1,0,0,1,4.0485365,3632,3.60945417112134,-18
407,1,0,0,1,3.4560634,3656,5.54661010603455,-18
407,1,0,0,1,3.8248357,3640,3.6392883007799,-17
407,1,0,0,1,4.0625257,3612,3.60379710478148,-18
407,1,0,0,1,4.0618203,3666,4.39854320249133,-19
407,1,0,0,2,4.6440326,3666,3.69894849990993,-17
407,1,0,0,1,4.0695726,3632,5.21960441662047,-17
407,1,0,0,1,3.7267585,3596,7.00763972883237,-17
407,1,0,0,1,4.2228782,3656,3.65198483549817,-18
407,1,0,0,1,3.7966975,3584,4.9274531078925,-18
407,1,0,0,1,4.0653819,3666,3.74627526581696,-17
407,1,0,0,1,3.5322447,3628,7.57435746725605,-18
407,1,0,0,1,3.7610523,3664,4.23151283777522,-17
407,1,0,0,2,6.0405317,3644,5.30617702680044,-19
407,1,0,0,1,3.8160128,3648,3.60067505455923,-18
407,1,0,0,1,3.7233643,3620,3.62953746626345,-18
407,1,0,0,1,3.4919948,3636,4.15266871254812,-18
407,1,0,0,1,3.7373077,3612,4.76940635676018,-19
407,1,0,0,1,3.6804923,3604,7.26824474796635,-17
407,1,0,0,1,3.8020445,3660,8.36532372548019,-17
407,1,0,0,1,3.7943942,3636,3.60997146317558,-17
407,1,0,0,1,3.6939984,3636,3.50712173675474,-17
407,1,0,0,1,4.0425238,3640,3.79445728446629,-19
407,1,0,0,1,3.5329228,3288,4.61806948993884,-19
407,1,0,0,1,4.0278503,3660,3.73285453252529,-17
407,1,0,0,1,3.4986144,3660,4.50381270264342,-18
407,1,0,0,1,3.5311728,3636,4.95674742199567,-18
407,1,0,0,1,3.774796,3624,8.51132644767024,-17
407,1,0,0,1,4.0422526,3620,3.64775923621758,-17
407,1,0,0,1,4.0025781,3624,6.84685770312573,-17
407,1,0,0,1,4.2438556,3624,3.67172164825054,-17
407,1,0,0,1,3.7896903,3636,5.63425038270646,-18
407,1,0,0,1,3.750007,3628,4.8795293010855,-17
407,1,0,0,1,3.7241058,3656,5.27871900270218,-17
407,1,0,0,1,4.0017766,3592,3.64411433627377,-17
407,1,0,0,1,3.7538604,3666,3.54560265494727,-16
407,1,0,0,1,4.0324774,3608,3.9106800672637,-19
407,1,0,0,1,3.7427136,3636,3.70302618706059,-18
407,1,0,0,1,3.4601081,3648,6.62474966727195,-18
407,1,0,0,1,4.0063295,3682,3.69598866957713,-18
407,1,0,0,1,4.0381726,3674,4.30882373851645,-18
407,1,0,0,1,3.4771213,3664,7.68480613923793,-18
407,1,0,0,1,3.504072,3628,4.88739443228026,-18
