firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0241.vcc,0242.vcc,0235.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,3,0,0,3,94.3701482,3738,3808,3518,4.6889315894259,16.3827267082679,7.00828308978382,-18,-18,-18
407,3,0,0,3,43.8455472,3698,3742,3460,61.6627021176423,97.5685907192757,14.2244020328093,-16,-16,-17
407,3,0,0,6,95.1974188,3742,3824,3464,28.5354128039824,106.261832697829,6.96279673263801,-18,-17,-18
407,3,0,0,1,26.3679919,3690,3772,3488,31.3294004492636,79.6994153874622,6.85610072983192,-17,-17,-18
407,3,0,0,1,14.9048915,3730,3788,3424,6.1563806884188,12.2585825401009,48.8168027435043,-17,-17,-17
407,3,0,0,1,12.2977475,3694,3772,3484,35.8705591557947,68.729126964141,2.74885826172099,-17,-16,-17
407,3,0,0,1,23.1635395,3726,3812,3488,54.6918235381987,44.3461702988454,10.1610802176639,-16,-16,-17
407,3,0,0,1,31.3373672,3694,3776,3488,78.1787478891738,81.506552949669,7.05936253250395,-17,-18,-18
407,3,0,0,2,69.1532175,3714,3808,3480,61.821850900663,42.1641769260758,3.20425319752427,-17,-17,-17
407,3,0,0,2,34.4128295,3730,3788,3484,14.7423653712452,93.4130107392852,2.9158293376752,-17,-17,-17
407,3,0,0,3,91.6748647,3730,3812,3116,6.78305484371163,47.2266169212968,26.6731927078158,-17,-17,-18
407,3,0,0,5,115.6306598,3674,3752,3484,38.6751850519707,35.0857495719539,6.94622682695317,-17,-18,-18
407,3,0,0,1,23.9912393,3722,3808,3492,2.38887548464311,66.5793684328667,42.3171458495696,-18,-18,-18
407,3,0,0,5,116.0512294,3722,3796,3484,67.4651618337436,130.928940835226,13.2835510119907,-17,-17,-17
407,3,0,0,6,118.4412773,3742,3764,3484,47.4831963443119,6.44884059519359,34.1380962805264,-18,-18,-18
407,3,0,0,1,27.3054524,3686,3768,3480,7.57131420853015,70.4310379522679,7.45337170660349,-17,-17,-18
407,3,0,0,3,81.2150178,3730,3792,3484,45.2700277265605,45.2507838367394,2.65213157118639,-16,-17,-17
407,3,0,0,1,44.5607062,3730,3808,3464,21.0829021879836,132.885392992813,6.99117853092967,-17,-17,-17
