firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,0,0.4034702,3624,3.4333349355563,-18
407,1,0,0,1,4.7654691,3648,3.46528443401163,-19
407,1,0,0,1,4.2226507,3592,3.55914950563413,-17
407,1,0,0,1,4.6444307,3574,3.50268831328044,-17
407,1,0,0,1,4.342646,3640,7.43330835741725,-19
407,1,0,0,1,3.8264337,3648,4.9322870965944,-18
407,1,0,0,1,4.7097832,3644,7.03951703281541,-17
407,1,0,0,2,5.4637714,3562,3.64459379179894,-17
407,1,0,0,1,3.7954528,3648,7.13380739861433,-18
407,1,0,0,1,4.3500831,3616,3.58819955987144,-17
407,1,0,0,1,4.54808,3632,5.64489224747433,-17
407,1,0,0,1,4.2721969,3666,8.29489341476707,-16
407,1,0,0,1,3.9737874,3640,5.49951851715382,-17
407,1,0,0,1,4.6348893,3644,3.8134883846864,-18
407,1,0,0,1,4.4837911,3664,6.70872590561091,-17
407,1,0,0,1,4.2220566,3628,6.58062716009087,-18
407,1,0,0,1,3.6296155,3628,7.25050119089482,-20
407,1,0,0,1,4.5962776,3604,3.63860898889242,-18
407,1,0,0,1,3.9143867,3652,7.23463363815257,-16
407,1,0,0,1,4.0379905,3656,6.01155902569461,-19
407,1,0,0,1,5.051767,3624,4.80388845947464,-16
407,1,0,0,1,4.6588009,3612,8.30900180637699,-17
407,1,0,0,1,3.9546426,3616,5.59050240727034,-18
407,1,0,0,1,4.7920815,3628,7.19079405781542,-17
407,1,0,0,2,7.8168564,3608,7.94683882698302,-17
407,1,0,0,1,4.2443651,3652,4.55597470522844,-17
407,1,0,0,2,8.9648997,3648,3.66576036851156,-18
407,1,0,0,1,4.4886281,3648,2.9955357530672,-17
407,1,0,0,1,4.0883497,3656,4.1649312786339,-16
407,1,0,0,1,5.0613246,3550,2.69918282240052,-16
407,1,0,0,1,4.4409116,3660,5.16182582038188,-18
407,1,0,0,1,4.485762,3624,5.43246200264452,-17
407,1,0,0,1,3.8139629,3660,7.52479419687872,-17
407,1,0,0,1,4.6169932,3648,5.29368574458072,-16
407,1,0,0,1,3.9872812,3600,10.5528757113957,-17
407,1,0,0,1,4.4486878,3084,4.02827202437588,-17
407,1,0,0,1,4.3782752,3664,8.11986875044152,-18
407,1,0,0,1,4.06795,3656,3.71372526009075,-17
407,1,0,0,1,4.7071889,3656,2.81474396666668,-19
407,1,0,0,1,4.1992025,3636,5.63976667157326,-17
407,1,0,0,1,4.5065285,3596,5.21376433785193,-17
407,1,0,0,1,3.7191298,3656,7.65051820785081,-17
407,1,0,0,1,4.9786016,3600,3.98519738284117,-18
407,1,0,0,1,3.9910476,3660,4.17166745302598,-17
407,1,0,0,1,5.0789075,3656,7.34041389657797,-17
407,1,0,0,1,4.5299654,3670,7.35144926470804,-17
407,1,0,0,1,4.5941466,3624,6.76823989890957,-18
407,1,0,0,1,4.2945687,3660,6.30981706578363,-16
407,1,0,0,1,4.0433522,3554,9.55334300131645,-17
407,1,0,0,1,4.7161075,3604,2.26906376613758,-17
407,1,0,0,1,4.3116324,3648,7.49698246455802,-18
407,1,0,0,1,4.3906136,3632,8.73278549658985,-17
407,1,0,0,1,4.48391,3656,5.28973743330302,-17
407,1,0,0,1,3.7983975,3592,4.94496501190006,-17
407,1,0,0,1,4.7736402,3644,6.05170821567804,-17
407,1,0,0,1,3.5508332,3632,7.87358177108348,-17
407,1,0,0,1,3.8162136,3608,7.6965704082261,-19
407,1,0,0,1,4.544414,3664,3.55317287678378,-18
407,1,0,0,1,4.4851156,3608,2.33858939094246,-17
407,1,0,0,1,4.7241547,3582,5.67180872845989,-17
407,1,0,0,1,4.6016085,3588,11.4804894821496,-18
407,1,0,0,2,6.4026694,3604,3.56885007724776,-18
407,1,0,0,1,4.3199034,3600,6.28137152490972,-17
407,1,0,0,1,4.0924608,3652,4.60944835504921,-16
407,1,0,0,1,4.0212182,3656,4.84566790021219,-16
407,1,0,0,1,4.3148394,3584,2.35029225884239,-16
407,1,0,0,1,5.2027533,3596,3.6644654222875,-17
407,1,0,0,1,4.4786516,3624,7.17101361560355,-17
407,1,0,0,1,4.2940268,3592,3.49764940471756,-17
407,1,0,0,1,4.0179968,3596,8.45821178178152,-17
407,1,0,0,1,4.7510188,3600,3.18095296261235,-17
407,1,0,0,1,4.2584807,3660,7.3818443538118,-17
407,1,0,0,1,4.0263096,3648,12.8966027768965,-18
407,1,0,0,1,4.0393082,3620,9.02912524931672,-17
407,1,0,0,1,4.9861861,3616,7.81233520855419,-17
407,1,0,0,1,4.5586651,3592,8.14246048871048,-17
407,1,0,0,1,4.0091439,3612,5.15340926366542,-18
407,1,0,0,1,3.9976827,3608,6.63926421018317,-17
407,1,0,0,1,4.6709487,3664,3.74684936803765,-18
407,1,0,0,1,4.319549,3640,2.37751347752953,-16
407,1,0,0,4,11.7761489,3640,8.70425045958442,-16
407,1,0,0,1,4.0393683,3612,4.19648619817654,-20
407,1,0,0,2,6.8511198,3640,8.58238705364078,-19
407,1,0,0,1,4.9561224,3588,7.02561468859314,-17
407,1,0,0,1,5.5455539,3612,2.41108229867764,-18
407,1,0,0,1,3.4936217,3660,5.92567309720711,-17
407,1,0,0,1,4.5696821,3596,6.00609618763044,-17
407,1,0,0,1,4.2443802,3656,5.52352829731164,-17
407,1,0,0,1,3.692153,3596,5.69961652979988,-17
407,1,0,0,1,4.7387364,3656,6.38532499069339,-17
407,1,0,0,1,3.7415983,3648,6.50217042448769,-16
407,1,0,0,1,4.5513355,3612,5.55614821136477,-18
407,1,0,0,2,5.563457,3624,6.53819548419914,-18
407,1,0,0,1,4.2663434,3648,5.24588787963835,-17
407,1,0,0,1,4.0443111,3588,2.61869153934807,-17
407,1,0,0,1,4.2566308,3628,5.13278251733212,-18
407,1,0,0,1,4.0422397,3554,9.66921611664942,-17
407,1,0,0,1,3.8822391,3604,9.00563392458322,-16
407,1,0,0,1,3.9399444,3588,4.12633517890551,-17
407,1,0,0,1,4.4855465,3600,7.10722456484241,-17
