firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
1280,1,0,0,1,12.1913413,3920,14.8488984299579,-16
1280,1,0,0,1,10.2194604,3928,17.2220716269482,-17
1280,1,0,0,1,10.8598648,3920,14.9173203376585,-16
1280,1,0,0,1,12.2521168,3928,16.2420986169135,-17
1280,1,0,0,1,12.1612456,3928,16.199011350491,-17
1280,1,0,0,1,11.0043256,3914,16.1754665172659,-16
1280,1,0,0,1,11.4358289,3906,15.9149009608718,-17
1280,1,0,0,1,12.9223484,3906,14.8579872418642,-16
1280,1,0,0,1,11.7202433,3932,15.6140183270863,-17
1280,1,0,0,1,11.8145765,3910,16.758970221883,-17
1280,1,0,0,1,12.8079786,3906,14.990663159143,-17
1280,1,0,0,1,11.9032248,3924,15.4580038086673,-17
1280,1,0,0,1,12.8088124,3920,14.4431891014349,-17
1280,1,0,0,1,12.3707098,3916,15.6013978335107,-16
1280,1,0,0,1,11.9391094,3920,14.4064444783629,-17
1280,1,0,0,1,12.8513115,3914,16.4185650301777,-17
1280,1,0,0,1,12.2476505,3898,16.3296731078681,-17
1280,1,0,0,1,10.5853905,3916,17.0990472514788,-16
1280,1,0,0,1,12.8518652,3910,14.316993916188,-17
1280,1,0,0,1,12.9614268,3906,16.2019269923888,-16
1280,1,0,0,1,12.8940816,3878,15.9763283551172,-17
1280,1,0,0,1,12.554567,3924,14.6560311141168,-16
1280,1,0,0,1,13.7989294,3920,15.0736402766625,-16
1280,1,0,0,1,12.8303597,3914,15.198342934802,-18
1280,1,0,0,1,11.9739873,3916,14.7820540218599,-17
1280,1,0,0,1,13.7248934,3916,15.2278138511816,-16
1280,1,0,0,1,12.7005157,3902,14.4876154036988,-17
1280,1,0,0,1,12.3866477,3902,15.7427666165285,-17
1280,1,0,0,1,11.2082202,3936,16.0596501085815,-16
1280,1,0,0,1,11.696999,3902,15.4740616426429,-16
1280,1,0,0,1,11.4608843,3920,14.9203261129571,-17
1280,1,0,0,1,13.3183585,3920,17.2694028648948,-16
1280,1,0,0,1,10.9666525,3924,17.1429041425518,-16
1280,1,0,0,1,11.1621829,3920,18.0968293790522,-16
1280,1,0,0,1,10.555361,3906,16.7687412473329,-17
1280,1,0,0,1,11.9096601,3910,14.3581040800324,-16
1280,1,0,0,1,12.0681779,3916,14.5838184248316,-17
1280,1,0,0,1,13.3200014,3894,16.4414500818431,-18
1280,1,0,0,1,12.2229764,3902,16.0353834808372,-16
1280,1,0,0,1,13.055361,3898,16.8513220494072,-16
1280,1,0,0,1,11.4377374,3910,15.5625288507865,-16
1280,1,0,0,1,12.5614976,3894,14.8071724032518,-16
1280,1,0,0,1,12.6613433,3916,15.0852964918274,-16
1280,1,0,0,1,14.3849107,3898,15.8499509061674,-17
1280,1,0,0,1,11.4565972,3910,17.9809176900013,-16
1280,1,0,0,1,12.4017195,3910,15.4817313674964,-16
1280,1,0,0,1,11.8822731,3910,15.9902165459086,-16
1280,1,0,0,1,11.5275929,3910,15.2677252000311,-17
1280,1,0,0,1,12.935986,3910,14.6104114085452,-17
1280,1,0,0,1,11.2163655,3920,15.7805217222359,-17
1280,1,0,0,1,12.7445006,3928,16.5561691460158,-16
1280,1,0,0,1,13.1547883,3920,16.4198836702934,-17
1280,1,0,0,1,13.6646363,3886,14.782695113646,-16
1280,1,0,0,1,12.532867,3916,17.0751219351213,-16
1280,1,0,0,1,13.8460321,3910,17.0446013305305,-16
1280,1,0,0,1,13.0631141,3890,16.5351141406298,-16
1280,1,0,0,1,14.0894259,3916,16.3952816962777,-16
1280,1,0,0,1,12.2950155,3914,14.4774199584931,-16
1280,1,0,0,1,9.8550284,3910,15.5250783947966,-18
1280,1,0,0,1,12.4748966,3902,14.8297969771936,-16
1280,1,0,0,1,11.4917475,3914,16.6206328797626,-17
1280,1,0,0,1,11.0056394,3924,15.8100841805206,-16
1280,1,0,0,1,11.3918801,3916,15.8885181509466,-16
1280,1,0,0,1,10.0531486,3910,16.711191713875,-16
1280,1,0,0,1,12.0509311,3914,15.1025788732182,-16
1280,1,0,0,1,12.5761597,3916,14.7898968719575,-17
1280,1,0,0,1,13.7085491,3914,15.7565972216042,-17
1280,1,0,0,1,11.4853056,3894,18.2842422325666,-16
1280,1,0,0,1,11.7513369,3898,15.2323212360734,-16
1280,1,0,0,1,13.5000035,3898,15.0370393761321,-17
1280,1,0,0,1,12.5405908,3902,13.635727737354,-16
1280,1,0,0,1,11.9766402,3902,15.7807283657799,-16
1280,1,0,0,1,12.2137192,3878,16.2931609620612,-16
1280,1,0,0,1,12.0375434,3898,14.1224998429703,-17
1280,1,0,0,1,14.8521321,3894,16.4959535224018,-17
1280,1,0,0,1,11.66171,3914,14.9206313735481,-16
1280,1,0,0,1,11.8348855,3898,17.152690402447,-16
1280,1,0,0,1,12.3273582,3902,15.8996030274726,-17
1280,1,0,0,1,12.9354499,3920,16.9302267475318,-16
1280,1,0,0,1,12.7893037,3894,15.5598846438631,-16
1280,1,0,0,1,11.818805,3906,17.4298589899024,-16
1280,1,0,0,1,11.8108962,3902,15.7481782977251,-16
1280,1,0,0,1,12.3121156,3902,14.8634154458794,-16
1280,1,0,0,1,11.9449818,3914,14.0644908475158,-16
1280,1,0,0,1,11.0073853,3902,16.2618166286124,-16
1280,1,0,0,1,11.4577547,3906,17.8918222895187,-16
1280,1,0,0,1,10.9310044,3906,15.2776542122528,-16
1280,1,0,0,1,11.9111969,3906,16.7069911025534,-16
1280,1,0,0,1,11.8665197,3894,15.2530072778587,-17
1280,1,0,0,1,11.5422001,3910,16.1147902602,-17
1280,1,0,0,1,11.9644284,3940,14.793859973073,-16
1280,1,0,0,1,13.37799,3910,15.9964311513603,-16
1280,1,0,0,1,11.9259068,3894,16.4348183365616,-17
1280,1,0,0,1,11.893283,3906,16.9003048327321,-16
1280,1,0,0,1,13.7868389,3910,16.9001825821743,-16
1280,1,0,0,1,10.9467308,3916,17.1740913339005,-16
1280,1,0,0,1,12.8999335,3916,17.7520388546084,-16
