firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0241.vcc,0242.vcc,0237.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
115,3,0,0,1,8.397865,3640,3996,3920,11.3957666177385,20.5875063794648,13.0363605699407,-21,-17,-17
115,3,0,0,1,7.0234795,3644,3996,3916,10.858982328281,26.9559932382933,18.3152501441919,-20,-17,-17
115,3,0,0,2,9.182124,3620,3996,3906,14.4086044973648,29.098956274999,16.005007530356,-20,-17,-16
115,3,0,0,1,7.3632006,3624,3996,3920,15.7641036598731,26.7552267333753,18.3765800352772,-24,-17,-16
115,3,0,0,2,10.2635383,3640,3992,3924,15.4003160067843,21.9344503574036,16.6124146582835,-20,-17,-17
115,3,0,0,1,7.2292206,3640,3992,3914,12.4365208882561,27.240180434993,12.5094549140838,-21,-17,-16
115,3,0,0,1,7.108982,3596,3988,3914,13.7425790627198,31.6166961637858,25.6029073198529,-20,-17,-16
115,3,0,0,1,7.5977985,3632,3996,3932,15.7843313152189,19.9172381847031,14.7680419572046,-20,-17,-17
115,3,0,0,1,7.0934172,3620,3984,3916,11.4309544728734,19.9391531238857,16.25090057074,-22,-17,-16
115,3,0,0,1,7.5846753,3600,3996,3906,12.9559498847092,20.8161489380398,24.7916428925912,-20,-17,-17
115,3,0,0,1,7.0376749,3596,3976,3914,12.4942999794368,26.5985566293245,14.7777005715363,-22,-17,-17
115,3,0,0,1,6.6756367,3616,3996,3932,14.9416606896659,31.271727335555,16.478075851421,-22,-17,-17
115,3,0,0,1,6.2197066,3644,3984,3916,17.4147253601571,27.8005960547082,16.8043602767856,-21,-17,-16
115,3,0,0,2,9.4331975,3620,3992,3914,14.5296697470643,26.2919836187573,14.7731627859732,-24,-16,-16
115,3,0,0,1,7.9357494,3600,3992,3906,16.5483603372367,24.7062321578036,18.4267904957225,-21,-17,-16
115,3,0,0,1,6.916797,3588,3996,3906,14.9363330269678,25.755878553351,16.5224839868534,-21,-17,-17
115,3,0,0,1,7.9519298,3612,3996,3910,15.5741195510948,24.1973287762186,15.4400911230064,-22,-16,-16
115,3,0,0,1,7.6025198,3604,3992,3924,16.8399234168397,23.3286298573972,19.6305330111405,-22,-17,-17
115,3,0,0,1,7.528402,3624,3996,3924,15.3887706909167,29.3054097392724,16.5109248409223,-23,-17,-16
115,3,0,0,1,8.8695447,3600,3980,3914,13.3176305412751,30.0104676511167,14.6697134963041,-24,-17,-16
115,3,0,0,1,7.6833583,3620,3996,3910,13.1694253353644,25.7863478400945,15.6606165630577,-22,-17,-16
115,3,0,0,1,7.6878032,3644,3996,3940,15.0879791671374,20.2233359288219,15.8617904042182,-22,-17,-16
115,3,0,0,1,6.9186965,3612,3984,3898,15.1794270189726,29.5675498699756,21.4024245783211,-23,-17,-16
115,3,0,0,1,6.9529825,3616,3984,3920,18.6602060886475,23.394357514911,20.84942171332,-22,-16,-16
115,3,0,0,1,8.584808,3636,3996,3914,18.4766800634483,19.2253570574822,18.9962411110048,-20,-17,-17
115,3,0,0,1,8.3991615,3640,3992,3906,13.3817822070077,19.726815749276,13.1368732101411,-21,-17,-16
115,3,0,0,1,7.2311861,3628,3996,3920,14.3334622662391,24.8224868419235,16.421178343949,-22,-16,-16
115,3,0,0,1,6.6512048,3612,3988,3916,16.6906741715155,21.5343599330981,14.5099065933832,-21,-17,-17
115,3,0,0,1,8.0937208,3640,3996,3910,15.8257145705771,26.6832522328406,17.8877978751852,-22,-17,-17
115,3,0,0,1,6.6499892,3640,3972,3920,16.2363683285101,21.4825479983169,18.7653196469275,-20,-16,-16
115,3,0,0,1,7.7535011,3640,3996,3906,16.9296382648424,27.1692584286758,14.5194347361201,-23,-16,-16
115,3,0,0,1,7.7693461,3616,3988,3910,14.807680392137,19.7580942907398,16.1872450653431,-23,-16,-16
115,3,0,0,1,7.2399037,3620,3984,3914,15.2637423956512,27.1008374117698,13.7365731865388,-22,-16,-16
115,3,0,0,1,6.781775,3582,3992,3894,13.0612125481159,26.0654839558183,18.1438223625974,-22,-16,-16
115,3,0,0,1,7.7911198,3640,3984,3916,15.3410142783783,23.5907393083988,15.3236628000959,-19,-16,-17
115,3,0,0,1,7.3612051,3600,3996,3902,17.6274059940231,23.3368144081492,18.1717999033333,-20,-16,-16
115,3,0,0,1,8.055704,3612,3988,3916,17.8303032978176,16.8528743635933,14.9172479654039,-20,-16,-16
115,3,0,0,1,7.937919,3596,3980,3916,15.3814358972036,20.1866968638541,15.3044157374851,-21,-16,-16
115,3,0,0,1,8.2517823,3604,3976,3916,11.6728112466661,23.7050503529421,14.8935739953962,-25,-16,-16
115,3,0,0,1,7.7068161,3604,3992,3916,11.5430313357748,19.7905456605271,16.8341150994361,-21,-17,-17
115,3,0,0,1,8.2602324,3596,3980,3916,14.5585950009515,25.0790107455427,18.6403269847593,-20,-16,-16
115,3,0,0,1,7.809465,3604,3956,3894,11.0749197877636,23.3378398458973,18.385863153947,-23,-17,-17
115,3,0,0,1,7.4155732,3600,3996,3898,14.2756958063359,21.7491467596963,12.749435763913,-19,-16,-17
