firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,23.9635574,3592,3636,3976,3928,4.31340371873632,14.0066683455993,22.7021716387228,16.0372288229897,-25,-23,-16,-17
407,4,0,0,1,20.7031818,3608,3636,3984,3932,6.28847728589963,24.551893837611,22.245705344927,16.1687045288409,-23,-22,-17,-17
407,4,0,0,1,22.4968518,3600,3616,3996,3920,4.64772280328454,17.7373028756368,22.6910812238704,15.4731945542514,-21,-22,-17,-17
407,4,0,0,1,19.6954071,3600,3624,3992,3916,6.14096414679486,20.3659714858544,22.7447170136549,14.3427297668954,-19,-24,-16,-17
407,4,0,0,1,21.3423906,3592,3588,3996,3914,4.30735987019159,13.8831460833091,25.8690155799788,18.4279423185918,-21,-21,-17,-16
407,4,0,0,1,28.5519413,3600,3608,3980,3910,3.26337596971333,13.2426611522946,21.487079132547,17.8600291654276,-18,-25,-17,-16
407,4,0,0,1,20.964559,3600,3570,3996,3902,6.33216719513542,16.5785094118672,23.6734983757123,17.1652154735766,-24,-22,-17,-17
407,4,0,0,1,19.3886385,3608,3582,3996,3906,3.75210467817895,16.2149794953477,25.8376574764852,16.05487658215,-20,-23,-17,-16
407,4,0,0,1,19.8382107,3588,3632,3992,3910,7.26921305878441,19.3023442721246,21.5537631905102,15.8096746532837,-23,-21,-16,-17
407,4,0,0,1,21.2200789,3588,3616,3968,3902,4.64960673748572,18.4920368991667,19.7455616648371,16.4520471182183,-17,-22,-17,-16
407,4,0,0,1,23.4296623,3612,3636,3976,3910,3.44805100438176,25.3851375751625,24.1607866674043,16.8735789282746,-21,-21,-16,-17
407,4,0,0,1,21.6429174,3588,3608,3972,3916,4.39487342747626,17.6644613421568,21.8097948405472,16.4534791625477,-20,-21,-17,-17
407,4,0,0,1,20.2145803,3612,3616,3976,3910,7.85605089100885,16.4664657525923,21.7008010732348,15.4727413092991,-24,-21,-16,-16
407,4,0,0,1,19.9463163,3588,3604,3988,3902,4.91043708030629,16.4523689968793,22.206315046047,18.1904849211474,-21,-24,-17,-17
407,4,0,0,1,21.5938047,3600,3596,3984,3902,4.07283366995304,16.1564494135414,21.5774519942151,15.4536672316342,-23,-20,-16,-16
407,4,0,0,1,20.9659538,3612,3582,3988,3902,5.24922485100412,16.1258202987708,24.1579400910125,15.8205952508976,-22,-21,-16,-17
407,4,0,0,1,19.5240515,3604,3604,3968,3902,7.5156753616126,18.1078558216304,21.0390779834465,15.049689486364,-18,-22,-17,-17
407,4,0,0,1,21.1905362,3600,3592,3996,3916,5.64752081287905,16.9397808500551,20.0855527544118,18.3017925535324,-20,-22,-17,-17
407,4,0,0,1,21.4448553,3604,3620,3996,3902,7.15641215423571,16.8461677676674,24.1225933709573,13.1180797714467,-20,-22,-17,-16
407,4,0,0,1,19.4583333,3604,3592,3996,3910,5.68218922499485,20.0571566448566,28.000219763887,18.0200241662039,-19,-21,-16,-17
407,4,0,0,1,22.3823709,3592,3648,3996,3910,5.1246434071792,16.4855794454498,22.5495224708549,17.2514049326165,-18,-20,-17,-16
407,4,0,0,1,18.7296238,3612,3636,3996,3902,5.07593740127755,16.6096915257447,20.787340793638,16.7583075652187,-19,-25,-17,-16
407,4,0,0,1,24.2988155,3596,3608,3996,3906,3.71036583242413,20.0346793228014,23.6642152144058,15.9668072076864,-19,-22,-16,-16
407,4,0,0,1,21.7374663,3604,3616,3972,3916,6.01284100055081,19.3576387668908,24.0444159339169,17.2873747772142,-23,-21,-16,-16
407,4,0,0,1,22.0520804,3592,3588,3996,3920,4.80553062753286,15.0628494117171,21.9388177798596,18.9468922074835,-17,-23,-16,-16
407,4,0,0,1,20.0602,3600,3592,3988,3916,6.19302397570561,13.535853464099,23.9386583953871,18.8632885884251,-22,-22,-16,-16
407,4,0,0,1,20.2391432,3616,3600,3992,3932,4.41167188467663,15.3525498128831,17.7304496914115,14.3156653186484,-23,-21,-16,-17
407,4,0,0,1,20.9857094,3600,3636,3996,3894,4.89046384131958,16.0181738641068,22.6835461414518,17.9233623195326,-21,-24,-17,-17
407,4,0,0,1,21.8493273,3596,3596,3968,3910,3.98716388407815,14.1628090299996,18.6591023923485,14.750397082891,-25,-22,-16,-17
407,4,0,0,1,21.7931679,3578,3600,3996,3916,5.95150807929001,13.3128054713985,21.9685301831693,14.8116637704927,-21,-23,-16,-16
407,4,0,0,1,21.567421,3608,3604,3996,3916,4.70877852872331,20.7370475493761,20.7421776014258,14.849312981881,-21,-23,-16,-16
407,4,0,0,1,21.308832,3588,3604,3960,3920,4.51416522476706,16.0694719306134,20.6550597892757,16.0644711875468,-20,-22,-16,-17
407,4,0,0,1,20.7809367,3596,3612,3980,3914,4.02817074821299,20.4717579272153,23.2106236437238,14.5860028757347,-17,-21,-16,-17
407,4,0,0,1,22.3221145,3596,3592,3996,3916,4.02370889995118,19.4874070474449,23.9444549594463,15.340127305271,-21,-24,-16,-17
407,4,0,0,1,24.2878705,3612,3612,3980,3924,3.75527355954639,17.589738643127,21.0623454132703,18.6317823217884,-24,-23,-17,-17
407,4,0,0,1,23.5254069,3600,3656,3996,3914,4.63599514240429,15.2251962460265,19.5306180762577,14.4104796301695,-21,-23,-16,-16
407,4,0,0,1,22.9697417,3600,3616,3984,3910,3.31231405082958,16.9931809154911,24.4407143867462,15.009068841682,-19,-23,-16,-17
407,4,0,0,1,20.781185,3592,3578,3996,3902,6.33359475763146,16.4801871468788,24.781073207527,14.3845835010016,-20,-22,-16,-17
407,4,0,0,1,20.0018883,3584,3632,3996,3902,4.65204924238195,19.5859296269608,21.2798753258365,20.6330686351793,-20,-21,-17,-16
407,4,0,0,1,22.1841001,3608,3636,3996,3914,5.35151358836553,16.3814408874501,20.4770674912099,15.7085829857286,-17,-22,-17,-16
407,4,0,0,1,19.5941932,3596,3628,3976,3906,6.79468460109857,17.5074629757929,26.2267650589675,16.1359389096501,-20,-24,-16,-16
407,4,0,0,1,22.8059295,3582,3612,3984,3914,4.63979357001632,19.641611955556,23.7504973478643,12.1515373732497,-21,-22,-16,-18
407,4,0,0,1,20.9873265,3604,3612,3992,3920,5.00182103799441,20.332885244074,27.5469713797473,14.8384310322735,-18,-20,-17,-16
407,4,0,0,1,23.3725681,3604,3582,3964,3916,4.4688052345797,14.5562174382405,20.2123509591771,16.5690709784259,-19,-23,-16,-17
407,4,0,0,1,23.8271592,3600,3584,3992,3916,4.89797659466263,14.9204184217035,21.8531890837433,12.4540472344294,-19,-23,-17,-16
407,4,0,0,1,20.8015003,3608,3636,3996,3898,4.46209431448147,15.7320057318439,19.5927400535839,18.3722774581342,-20,-20,-16,-17
407,4,0,0,1,20.0850932,3582,3588,3984,3910,4.45528253800739,21.1793127500738,22.8953996907852,14.836784824999,-21,-20,-17,-16
407,4,0,0,1,18.8733446,3596,3612,3988,3914,6.40720956305928,17.4839426887548,25.5597469564604,16.6250775836954,-22,-21,-16,-16
407,4,0,0,1,23.1276519,3584,3596,3988,3924,4.20290503205527,15.6316141955576,21.5376348631599,18.1374810700837,-19,-21,-17,-17
407,4,0,0,1,19.6834765,3600,3620,3980,3894,5.36182855273196,14.5287522918199,32.2478382288528,15.7251334729673,-20,-18,-18,-17
407,4,0,0,1,19.5318192,3600,3584,3984,3910,4.16663082868127,15.9178895692303,20.7873854813434,14.6301152369161,-25,-20,-17,-16
407,4,0,0,2,25.6091372,3588,3620,3988,3924,4.04598301247011,14.9975018446927,22.4177886273648,18.7245031681139,-21,-24,-16,-16
407,4,0,0,1,21.3541996,3592,3628,3984,3920,5.38947999034999,13.7945654127507,23.9806624298286,17.2488998163325,-24,-20,-17,-16
407,4,0,0,1,22.7447577,3608,3596,3992,3898,4.20329877474487,13.7507216113337,22.8360491559858,15.8719253529746,-22,-21,-16,-17
407,4,0,0,1,19.9176927,3578,3632,3988,3906,5.40469371020728,16.6457082880431,20.4165099090397,13.1476409381846,-20,-22,-16,-16
407,4,0,0,1,20.7188202,3600,3640,3996,3910,5.61454199776749,16.5405979051222,26.6685628986012,17.5965316250761,-24,-23,-17,-16
407,4,0,0,1,20.4244147,3600,3628,3996,3920,5.06754916346165,20.8422922754824,21.985128426012,16.7431780070703,-22,-20,-17,-16
407,4,0,0,1,24.2092063,3588,3648,3980,3916,5.0457533986882,21.7063988991912,19.8563294117394,17.7154488876526,-22,-23,-16,-16
407,4,0,0,1,21.330902,3596,3582,3996,3928,5.60193456388434,15.429063149562,20.3217520973946,14.8975923599254,-19,-21,-16,-16
407,4,0,0,1,21.6064717,3596,3608,3996,3914,4.71295663216683,21.0219928379307,24.4806689790616,18.3206677195242,-22,-23,-16,-17
407,4,0,0,1,20.3591886,3596,3628,3996,3924,4.07206708124231,18.0542512194894,25.6729097192758,17.5953772545108,-23,-20,-16,-17
407,4,0,0,1,22.2943798,3600,3652,3996,3902,3.8399697307986,17.2645866969657,24.501102773433,15.6253767774552,-19,-24,-16,-16
407,4,0,0,2,24.7608755,3612,3596,3996,3910,5.16354473259002,18.0216155938372,21.9651140711465,15.4789458123056,-24,-20,-16,-16
407,4,0,0,1,21.6566325,3596,3628,3972,3914,3.81031257014632,16.5215581116242,22.292738194505,13.7700267827021,-23,-20,-17,-17
407,4,0,0,1,18.8726319,3600,3640,3996,3920,6.36489005410157,18.4266632827612,20.1182998635435,19.7150625071722,-25,-24,-16,-16
407,4,0,0,1,22.0007655,3596,3588,3984,3898,5.15473150872161,14.9507281872734,24.5075046493777,15.8000753994296,-22,-21,-16,-16
407,4,0,0,1,21.820734,3604,3588,3984,3914,4.07765495990874,14.6062746515662,21.6515977989914,12.4661566430758,-23,-21,-16,-17
407,4,0,0,1,22.0717424,3608,3588,3992,3916,6.04081349328822,17.5037843765282,17.5716698994879,14.2848264657434,-23,-21,-17,-17
407,4,0,0,1,19.9970644,3592,3636,3984,3902,5.20050648553795,21.3802175848708,20.9224983585179,14.99957534986,-19,-21,-16,-16
407,4,0,0,1,20.0104816,3584,3612,3996,3902,5.51594199456083,18.8075243091526,22.4273767078113,15.5829250321573,-21,-23,-16,-18
407,4,0,0,1,19.6799537,3596,3578,3996,3906,4.71673612608516,12.6321952513804,21.6170574731144,15.6147351414962,-16,-21,-16,-16
407,4,0,0,1,21.917383,3592,3604,3988,3910,4.45497723633917,16.9537743303247,21.3226351226545,18.69351267859,-19,-21,-16,-17
407,4,0,0,1,20.4556286,3600,3616,3996,3898,6.2039467736818,14.7833293012019,20.0598916148008,19.1951942168719,-17,-21,-17,-16
407,4,0,0,1,19.8542964,3582,3620,3992,3910,7.34095787240835,17.2837879622267,26.6857442367966,14.4843747028914,-22,-20,-16,-18
