firmware_size,done,not_done,missing,attempts,duration_sec,0239.vcc,0239.ReadRate,0239.peak_rssi
407,1,0,0,1,5.8260546,3526,1.90762770661373,-20
407,1,0,0,1,6.0826555,3424,3.65430694789726,-20
407,1,0,0,1,5.8020457,3420,3.60577486479246,-20
407,1,0,0,1,6.108379,3428,4.97312028486033,-20
407,1,0,0,2,9.402409,3410,3.89103392942676,-20
407,1,0,0,1,5.8127169,3440,3.51984771730836,-19
407,1,0,0,1,6.3253249,3424,3.5902646384065,-20
407,1,0,0,3,18.0260917,3436,3.58859487132375,-19
407,1,0,0,1,6.3509701,3440,3.76482919158199,-19
407,1,0,0,1,5.5821729,3428,4.66542162115004,-19
407,1,0,0,1,6.0574436,3456,4.91599063602104,-19
407,1,0,0,1,6.2190948,3436,4.28047925957982,-19
407,1,0,0,1,5.2984386,3428,4.53340598871998,-19
407,1,0,0,1,5.0662645,3424,5.8012581768734,-20
407,1,0,0,1,5.532753,3410,3.57890849017303,-20
407,1,0,0,1,6.3023601,3492,2.19444493819456,-19
407,1,0,0,1,7.0264409,3416,3.74822989843047,-19
407,1,0,0,1,6.4994528,3432,4.64986515391054,-20
407,1,0,0,1,6.32906,3440,4.01052039710569,-20
407,1,0,0,1,5.5572703,3440,4.19908006553924,-19
407,1,0,0,1,6.0364804,3428,4.30141013128334,-20
407,1,0,0,1,5.7685757,3414,3.67063131555059,-20
407,1,0,0,1,6.3573851,3424,5.65961064142631,-20
407,1,0,0,2,10.995795,3456,3.77364471436906,-21
407,1,0,0,1,6.1215114,3414,3.91198350081839,-19
407,1,0,0,1,5.7602951,3410,3.71529680577357,-21
407,1,0,0,1,5.276069,3414,3.63659637853186,-19
407,1,0,0,1,5.7900811,3440,4.06008767353322,-19
407,1,0,0,1,6.0456243,3452,3.9723082447641,-20
407,1,0,0,1,6.0641191,3452,3.79508657731009,-20
407,1,0,0,1,6.9719455,3452,3.88158977496095,-19
407,1,0,0,1,6.095784,3518,2.15076797472073,-21
407,1,0,0,1,7.0106002,3414,4.04655152878717,-19
407,1,0,0,2,10.5273451,3452,3.61432937022118,-19
407,1,0,0,1,4.8435646,3464,6.7692478485638,-19
407,1,0,0,2,11.653403,3414,4.28012749643786,-20
407,1,0,0,1,6.2939118,3424,3.84329650302295,-19
407,1,0,0,1,7.0210296,3416,3.94673330857416,-19
407,1,0,0,1,6.0543808,3420,3.63088034687979,-19
407,1,0,0,1,6.120452,3410,3.69197280197476,-19
407,1,0,0,1,6.5758969,3416,3.83742223463842,-21
407,1,0,0,1,6.0319757,3432,3.92132258368102,-19
407,1,0,0,1,5.3504498,3406,4.52879885838038,-19
407,1,0,0,2,12.4679994,3416,4.74288354039182,-19
407,1,0,0,1,5.6225808,3432,3.63319812992026,-19
407,1,0,0,1,5.569324,3416,3.63580967118101,-19
407,1,0,0,1,6.5307362,3464,3.92598882899139,-20
407,1,0,0,1,5.5369855,3436,4.64693300098468,-19
407,1,0,0,2,10.5185189,3424,3.65959876159178,-19
407,1,0,0,1,6.0388739,3460,3.49557826826955,-19
407,1,0,0,2,11.5179165,3464,3.6156767064367,-19
407,1,0,0,1,6.2488583,3424,5.01070788274543,-20
407,1,0,0,2,11.2239631,3456,4.30598316360583,-19
407,1,0,0,1,6.2911025,3414,3.90840114735024,-19
407,1,0,0,1,6.556567,3456,3.68334435881078,-19
407,1,0,0,1,7.0367135,3424,3.56926534168399,-19
407,1,0,0,1,6.1053193,3424,5.8636032076255,-19
407,1,0,0,1,6.792382,3416,4.6064290087103,-19
407,1,0,0,1,6.5345261,3444,3.79795054992425,-20
407,1,0,0,1,4.6006361,3440,3.71863194505647,-19
407,1,0,0,1,7.0230107,3416,3.8544795219212,-19
407,1,0,0,1,5.8462183,3428,3.99090393175874,-19
407,1,0,0,2,8.866721,3428,4.71540858779643,-19
407,1,0,0,1,6.0563174,3436,3.62626547599449,-19
407,1,0,0,1,5.7659556,3440,4.86049882327324,-19
407,1,0,0,1,6.1542886,3444,5.32641609429887,-19
407,1,0,0,2,8.3106726,3456,5.27415033438113,-19
407,1,0,0,1,5.5607854,3402,3.8365933506466,-19
407,1,0,0,1,6.2809314,3436,4.40022705171587,-19
407,1,0,0,1,5.7552421,3432,4.3434014827504,-19
407,1,0,0,1,6.3010557,3432,3.73203259557269,-19
407,1,0,0,1,6.0227649,3432,3.89648899066518,-19
407,1,0,0,1,5.2872371,3436,4.02138411215479,-19
407,1,0,0,1,6.2064747,3420,4.97093247236783,-19
407,1,0,0,1,5.7431579,3506,2.01918141577732,-19
407,1,0,0,1,6.3054626,3452,4.4928695913151,-19
407,1,0,0,1,6.2056994,3436,3.69335683293174,-20
407,1,0,0,1,6.2119428,3472,3.86667697780527,-19
407,1,0,0,1,6.0068524,3436,4.17186585448782,-18
407,1,0,0,2,10.2624679,3440,3.71391145812249,-19
407,1,0,0,1,6.9757868,3432,3.71217709163546,-19
407,1,0,0,1,6.7403878,3440,5.07104534528748,-20
407,1,0,0,2,12.4702815,3440,4.11321035657009,-18
407,1,0,0,2,11.5514206,3406,4.32137924597118,-18
407,1,0,0,1,6.044156,3436,4.93616063451383,-19
407,1,0,0,3,14.0732464,3436,4.31450125444124,-19
407,1,0,0,1,6.4665337,3472,4.23453389426792,-19
407,1,0,0,1,5.4979161,3436,4.42676688866903,-19
407,1,0,0,1,5.5130543,3468,4.17042874092671,-19
407,1,0,0,1,6.143685,3428,4.46127634439447,-20
407,1,0,0,2,10.7431228,3456,4.0963846537961,-19
407,1,0,0,1,5.7859151,3440,4.23106166222335,-19
407,1,0,0,1,6.3034613,3440,3.60254685652569,-19
407,1,0,0,1,7.2959828,3424,3.69573597070907,-19
407,1,0,0,1,6.7848977,3456,4.08365114348357,-19
407,1,0,0,1,6.2494669,3436,4.75210862940158,-19
407,1,0,0,1,6.8821229,3416,3.91368753510088,-19
407,1,0,0,1,6.49684,3436,4.42224868692381,-21
407,1,0,0,2,11.5661032,3448,3.61026861481575,-19
407,1,0,0,1,6.5349978,3468,4.5177586315167,-20
