firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,4,15.452172,3468,3.42596338947003,-19
407,1,0,0,5,20.3177964,3432,3.59420944105371,-20
407,1,0,0,2,8.9361093,3436,4.11918618062467,-19
407,1,0,0,4,20.4894205,3456,3.57429183449456,-19
407,0,1,0,10,26.4968971,3374,3.70049112918267,-18
407,0,1,0,10,24.2972192,3410,3.62397622671595,-19
407,0,1,0,10,35.8155762,3428,3.6071821883115,-18
407,0,1,0,10,31.0908138,3428,3.57197712505849,-20
407,1,0,0,1,6.7520042,3414,3.6570385375064,-19
407,0,1,0,10,27.9569199,3436,3.60220815359816,-18
407,0,1,0,10,29.8743729,3416,3.65875254100364,-19
407,0,1,0,10,26.1384929,3164,3.59992713747474,-18
407,0,1,0,10,31.4103677,3416,3.60181762124438,-19
407,0,1,0,10,32.2639589,3456,3.78631549852523,-18
407,0,1,0,10,26.5871323,3416,3.62979832114568,-19
407,1,0,0,2,8.5988514,3452,3.54120313793092,-19
407,0,1,0,10,41.2074736,3436,3.55627250009157,-19
407,0,1,0,10,35.2320844,3432,3.44765171822343,-19
407,0,1,0,10,23.6989916,3416,3.61912213849584,-19
407,0,1,0,10,35.1713728,3448,3.59088862284394,-18
407,0,1,0,10,35.4531815,3432,3.61262670836601,-18
407,0,1,0,10,31.1879841,3366,3.70665529959041,-18
407,1,0,0,9,31.6789449,3428,3.64988013793627,-19
407,0,1,0,10,28.9777718,3436,3.67254825269336,-20
407,0,1,0,10,27.6885601,3436,3.6350233041344,-19
407,1,0,0,5,18.5703212,3394,3.49509934645137,-19
407,1,0,0,9,28.6206748,3464,3.7022132200851,-18
407,1,0,0,1,7.0019978,3448,3.63476301890331,-19
407,1,0,0,9,27.2399631,3382,3.65611195892285,-19
407,1,0,0,1,4.5358866,3382,3.64628019256735,-19
407,1,0,0,1,7.2025338,3452,3.71346047726879,-19
407,0,1,0,10,26.6853586,3448,3.69774485634446,-18
407,1,0,0,2,8.7835614,3468,3.47884531557823,-18
407,0,1,0,10,31.3873397,3448,3.53795947479699,-19
407,0,1,0,10,31.529937,3440,3.57358420847433,-18
407,1,0,0,3,13.0020109,3370,3.58929557202962,-19
407,0,1,0,10,38.1039283,3424,3.51760172728315,-19
407,0,1,0,10,26.8894363,3440,3.50806416249353,-19
407,1,0,0,8,26.874948,3436,3.60860753939156,-19
407,0,1,0,10,29.4520884,3436,3.66541504960773,-20
407,0,1,0,10,35.0616658,3440,3.63440502245699,-20
407,0,1,0,10,32.3475265,3436,3.61391269654264,-19
407,0,1,0,10,42.6736853,3444,3.61836784834118,-19
407,1,0,0,7,23.9345104,3406,3.62810606695525,-19
407,0,1,0,10,32.0207441,3410,3.61688637442948,-18
407,0,1,0,10,31.0637978,3382,3.47342344783126,-18
407,0,1,0,10,28.6275676,3432,3.63849380910278,-19
407,0,1,0,10,36.3051374,3444,3.61986495007844,-19
407,1,0,0,3,14.3896676,3432,3.61522443313281,-18
407,1,0,0,8,25.51173,3448,3.66715170859932,-19
407,0,1,0,10,27.1895473,3374,3.70667178681596,-18
407,1,0,0,10,36.4226019,3414,3.50866236107013,-18
407,1,0,0,8,28.7256834,3382,3.64346109858368,-19
407,1,0,0,2,10.5446068,3452,3.50774299188028,-19
407,0,1,0,10,26.3745739,3420,3.49455949505013,-19
407,0,1,0,10,33.5398807,3456,3.62384095976703,-18
407,1,0,0,2,8.4958805,3440,3.66080851884786,-19
407,0,1,0,10,30.0612557,3432,3.59360754715083,-19
407,0,1,0,10,34.0936464,3440,3.68616710501337,-18
407,1,0,0,9,37.142143,3428,3.62748750421242,-19
407,0,1,0,10,38.2349007,3406,3.62419031058224,-18
407,0,1,0,10,31.4451519,3440,3.6070299571052,-18
407,0,1,0,10,30.3989009,3436,3.62215294251028,-18
407,0,1,0,10,37.3909175,3440,3.68167094844998,-19
407,1,0,0,2,10.4444284,3420,3.49744144670966,-19
407,1,0,0,10,40.4408931,3432,3.63435879189553,-20
407,1,0,0,10,37.4320842,3444,3.58850987844999,-18
407,1,0,0,7,23.3472707,3406,3.60971605612531,-18
407,0,1,0,10,25.4319177,3444,3.58791890298662,-17
407,0,1,0,10,32.4082459,3436,3.60711843179805,-19
407,0,1,0,10,32.6081574,3444,3.50450872570105,-18
