firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,4,0,0,1,14.5907838,3702,3726,3554,3882,9.99832171028435,29.994965130853,2.85666334579553,1.42833167289776,-21,-18,-20,-18
1280,4,0,0,1,14.4902592,3686,3682,3526,3890,30.6700149560137,245.36011964811,2.19071535400098,6.57214606200294,-22,-22,-18,-18
1280,4,0,0,1,14.7683339,3686,3706,3554,3874,45.0285221050211,142.013031254297,3.46373246961701,117.766903966978,-19,-21,-17,-19
1280,4,0,0,1,15.0560733,3690,3742,3546,3870,1.88983258729042,58.5848102060031,28.3474888093563,1.88983258729042,-22,-20,-17,-17
1280,4,0,0,1,14.9728622,3690,3686,3566,3878,38.5623677112305,52.1726151387236,2.26837457124885,18.1469965699908,-21,-20,-18,-18
1280,4,0,0,1,15.4444312,3674,3706,3600,3866,14.7068648703842,94.5441313096127,2.10098069576917,42.0196139153834,-21,-21,-18,-19
1280,4,0,0,3,24.1358837,3682,3674,3502,3870,2.07232239368157,87.037540534626,16.5785791494526,8.28928957472629,-23,-22,-17,-17
1280,4,0,0,1,14.0641928,3678,3730,3612,3874,3.39064426309772,54.2503082095635,20.3438655785863,6.78128852619544,-18,-18,-18,-18
1280,4,0,0,1,12.9928089,3678,3702,3542,3854,57.8947165281696,53.6062190075645,2.14424876030258,343.079801648413,-17,-18,-18,-18
1280,4,0,0,1,14.156343,3678,3686,3608,3882,15.9471151137189,67.7752392333052,1.32892625947657,106.314100758126,-18,-19,-17,-17
1280,4,0,0,1,15.1970612,3670,3694,3604,3858,28.4259688280826,59.0385506429408,2.18661298677558,13.1196779206535,-21,-21,-18,-17
1280,4,0,0,1,13.8649442,3666,3702,3584,3854,32.8989790788812,78.9575497893149,3.28989790788812,105.27673305242,-20,-21,-17,-17
1280,4,0,0,1,15.939473,3678,3690,3660,3866,2.25680652848993,42.8793240413086,2.25680652848993,20.3112587564093,-18,-19,-17,-18
1280,4,0,0,1,13.3812153,3694,3686,3652,3870,32.0044358148039,76.0105350601593,2.00027723842525,42.0058220069302,-20,-19,-17,-18
1280,4,0,0,1,14.9257456,3666,3674,3558,3854,31.5761110580944,80.6945060373524,3.50845678423271,28.0676542738617,-19,-20,-17,-18
1280,4,0,0,1,13.3846799,3670,3694,3648,3854,64.629543456905,21.5431811523017,3.59053019205028,35.9053019205028,-19,-19,-17,-18
1280,4,0,0,1,13.9627299,3674,3686,3554,3862,52.9816428699197,169.036670108791,2.52293537475808,2.52293537475808,-18,-21,-16,-17
1280,4,0,0,1,15.6911111,3670,3686,3492,3862,14.0883168406104,126.794851565494,3.5220792101526,186.670198138088,-20,-21,-17,-17
1280,4,0,0,1,13.8849957,3670,3686,3644,3862,10.6479353866244,72.4059606290459,2.12958707732488,25.5550449278986,-18,-24,-17,-18
1280,4,0,0,3,22.4036554,3674,3682,3664,3866,7.14349750638361,71.4349750638361,3.5717487531918,25.0022412723426,-20,-19,-17,-18
1280,4,0,0,1,15.9665563,3678,3678,3624,3870,2.24061166906076,15.6842816834253,2.24061166906076,4.48122333812152,-19,-22,-17,-19
1280,4,0,0,1,13.6013337,3664,3670,3542,3870,16.5901937734633,85.3209965492397,2.37002768192332,40.2904705926965,-19,-20,-17,-17
1280,4,0,0,1,16.2907839,3678,3678,3542,3890,8.48201240833595,42.4100620416798,2.12050310208399,16.9640248166719,-21,-23,-17,-18
1280,4,0,0,1,13.8743556,3678,3706,3596,3858,24.9467476034194,81.9678849826638,3.56382108620277,14.2552843448111,-20,-22,-17,-17
1280,4,0,0,1,15.2768968,3674,3726,3666,3862,28.9758591251681,101.415506938088,3.62198239064601,25.3538767345221,-19,-19,-17,-18
1280,4,0,0,1,12.5762238,3670,3694,3628,3858,117.40012545558,48.7662059584718,1.8061557762397,507.529773123355,-23,-20,-17,-20
1280,4,0,0,1,17.3580112,3666,3694,3534,3870,13.4809724499477,64.0346191372515,3.37024311248692,20.2214586749215,-20,-19,-17,-18
1280,4,0,0,1,15.1195373,3674,3682,3514,3870,10.3894511746443,72.7261582225104,2.59736279366108,57.1419814605439,-19,-21,-17,-17
1280,4,0,0,1,15.05955,3666,3694,3656,3842,85.1283110656589,18.4444673975594,1.41880518442765,21.2820777664147,-20,-21,-17,-18
1280,4,0,0,1,13.2531117,3678,3682,3562,3874,14.0900716282881,61.9963151644678,1.40900716282881,16.9080859539458,-21,-21,-17,-18
1280,4,0,0,1,14.5390727,3670,3686,3640,3882,59.9353297791683,125.489596725134,1.87297905559901,378.341769231,-19,-20,-17,-18
1280,4,0,0,1,13.8747431,3674,3706,3558,3854,11.0207086462602,58.7771127800546,3.67356954875341,33.0621259387807,-19,-19,-16,-17
1280,4,0,0,1,13.9497794,3686,3714,3656,3854,19.9664098431738,159.731278745391,3.32773497386231,76.537904398833,-17,-19,-17,-18
1280,4,0,0,1,14.1097336,3660,3702,3648,3866,71.2738054510206,10.7990614319728,2.15981228639457,25.9177474367348,-19,-19,-17,-17
