firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi
407,0,3,0,10,17.5425937,3768,3686,3370,3.7888307794509,56.8324616917635,1.2629435931503,-17,-18,-20
407,3,0,0,5,35.1658934,3768,3686,3432,43.6608613487495,76.4065073603116,3.63840511239579,-18,-17,-20
407,3,0,0,3,11.3070072,3738,3636,3796,4.81784684643017,62.6320090035922,4.81784684643017,-17,-20,-19
407,3,0,0,1,8.5039287,3750,3566,3738,59.9178491042987,88.1144839769098,3.52457935907639,-19,-18,-17
407,3,0,0,3,10.5003766,3746,3612,3738,3.48698621873307,10.4609586561992,20.9219173123984,-19,-19,-18
407,3,0,0,1,6.8590575,3750,3582,3734,26.8405113807603,32.5920495337803,1.91717938434002,-19,-18,-17
407,3,0,0,1,7.0802919,3746,3592,3764,88.0587037605661,197.174923637789,1.91431964696883,-17,-18,-17
407,3,0,0,1,6.4087519,3746,3592,3776,3.5299915139004,3.5299915139004,7.0599830278008,-17,-20,-19
407,3,0,0,1,6.542978,3738,3616,3768,15.8122816521557,69.5740392694852,3.16245633043115,-19,-19,-18
407,3,0,0,1,6.2278261,3746,3584,3772,3.62428882392553,68.861487654585,57.9886211828084,-18,-20,-20
407,3,0,0,1,7.4981468,3746,3592,3768,3.84575300036035,19.2287650018017,7.69150600072069,-17,-18,-18
407,3,0,0,1,7.7568501,3734,3596,3760,70.5146667201403,110.179166750219,2.20358333500438,-21,-18,-18
407,3,0,0,1,6.0066871,3742,3596,3746,52.5355977927169,32.834748620448,3.2834748620448,-18,-18,-18
407,3,0,0,1,6.2340398,3730,3596,3764,15.8663419355351,15.8663419355351,7.93317096776753,-18,-22,-18
407,3,0,0,1,6.7375586,3742,3616,3750,35.4147778785131,88.5369446962829,3.54147778785131,-20,-18,-17
407,3,0,0,1,6.2310873,3746,3588,3776,2.37848102590546,52.3265825699202,57.0835446217311,-18,-18,-18
407,3,0,0,1,6.4582631,3738,3612,3746,4.034504697979,4.034504697979,8.06900939595799,-18,-18,-18
407,3,0,0,1,7.9128379,3750,3570,3742,163.658197127662,50.0066713445635,2.27303051566198,-18,-20,-18
407,3,0,0,1,6.9021048,3750,3570,3788,2.21376269703595,48.7027793347909,11.0688134851797,-18,-21,-17
407,3,0,0,1,6.5000924,3742,3604,3760,64.9693777666127,110.447942203242,2.16564592555376,-21,-18,-17
407,3,0,0,1,6.4265891,3752,3584,3702,57.2992190906772,49.3958785264459,1.97583514105783,-18,-18,-17
407,3,0,0,1,7.4412556,3742,3596,3768,3.51604582673489,24.6123207871442,3.51604582673489,-18,-18,-18
407,3,0,0,1,6.7762742,3750,3604,3752,33.9919153628501,49.8548091988468,2.26612769085667,-17,-21,-18
407,3,0,0,1,7.2670019,3746,3592,3760,1.92491336446175,92.3958414941639,34.6484405603115,-18,-19,-18
407,3,0,0,1,8.1006078,3746,3616,3760,15.3315064565765,30.663012913153,1.91643830707206,-18,-21,-19
407,3,0,0,1,7.2153689,3734,3624,3746,15.9337266232313,72.8398931347718,2.27624666046162,-18,-21,-18
407,3,0,0,1,6.3254001,3750,3574,3742,9.43350838780398,101.410215168893,2.358377096951,-18,-20,-18
407,3,0,0,1,7.1148345,3752,3570,3734,6.56258408310857,62.3445487895314,3.28129204155428,-18,-20,-18
407,3,0,0,1,6.9693982,3742,3592,3784,111.667213836014,94.9171317606123,1.86112023060024,-18,-18,-17
407,3,0,0,1,6.9860676,3750,3584,3742,69.2640187639872,72.909493435776,3.6454746717888,-19,-18,-18
407,3,0,0,1,6.6800163,3750,3592,3784,44.5855030682629,35.6684024546103,2.22927515341314,-19,-19,-18
407,3,0,0,1,6.9556554,3750,3574,3752,64.9373919363633,24.0508859023568,2.40508859023568,-18,-20,-19
407,3,0,0,1,7.7730634,3742,3608,3738,50.9096536921717,27.1518153024916,3.39397691281145,-17,-18,-17
407,3,0,0,1,6.0932791,3742,3616,3742,4.96328410582714,19.8531364233086,4.96328410582714,-19,-18,-17
407,3,0,0,1,6.1491949,3738,3238,3756,29.7346087057648,171.799961411086,3.30384541175165,-20,-20,-19
407,3,0,0,1,6.2691501,3742,3608,3734,40.2369265196122,48.8591250595291,2.8740661799723,-17,-18,-18
407,3,0,0,1,6.506717,3746,3588,3776,10.6233536015116,123.939125350969,3.54111786717054,-17,-19,-18
407,3,0,0,3,23.3824459,3742,3600,3768,71.1506121239627,2.54109329014152,27.9520261915568,-20,-19,-18
407,3,0,0,1,8.9561578,3746,3558,3746,12.2096096954069,93.0982739274774,1.52620121192586,-18,-21,-18
407,3,0,0,1,6.5659873,3742,3612,3752,47.0891725613439,71.6574365063929,2.04735532875408,-18,-18,-18
407,3,0,0,1,7.1518244,3734,3592,3776,24.60759599577,98.4303839830798,2.0506329996475,-17,-19,-17
407,3,0,0,1,6.0182802,3734,3578,3746,46.8663357193269,144.859583132465,2.13028798724213,-19,-18,-18
407,3,0,0,1,7.248715,3742,3574,3738,24.0381988833164,93.9675047256914,2.18529080757422,-20,-19,-17
407,3,0,0,1,6.261469,3746,3584,3756,90.7840729874896,3.63136291949958,32.6822662754963,-18,-19,-18
407,3,0,0,1,6.224814,3750,3578,3750,17.7142646596169,92.1141762300077,3.54285293192337,-19,-20,-17
407,3,0,0,1,6.9306635,3752,3574,3746,20.8690812966656,71.8823911329592,2.31878681074062,-17,-20,-19
407,3,0,0,2,8.8121603,3742,3612,3738,5.18072707359896,5.18072707359896,10.3614541471979,-17,-20,-20
407,3,0,0,1,7.217968,3742,3600,3752,34.518577367284,92.934631373457,2.65527518209877,-19,-19,-17
407,3,0,0,1,6.876328,3734,3624,3734,51.3270955290976,75.8748368691007,2.2316128490912,-18,-18,-17
407,3,0,0,1,6.589727,3750,3592,3750,18.7575205934129,142.557156509938,1.87575205934129,-18,-19,-18
407,3,0,0,1,6.491339,3730,3612,3742,20.7796211610594,90.6747105209867,1.88905646918722,-19,-18,-17
407,3,0,0,1,6.6100165,3742,3632,3734,99.7479938184743,28.4994268052784,3.5624283506598,-18,-18,-17
407,3,0,0,1,6.7876762,3750,3596,3746,84.1834570202468,2.21535413211176,17.7228330568941,-20,-19,-18
407,3,0,0,1,6.765377,3750,3570,3772,94.9661416028267,23.7415354007067,5.93538385017667,-18,-21,-18
407,3,0,0,3,13.3134997,3752,3584,3772,6.12711684228005,18.3813505268401,6.12711684228005,-17,-18,-18
407,3,0,0,3,11.174745,3746,3588,3776,3.65551855358442,47.5217411965974,36.5551855358442,-18,-18,-17
407,3,0,0,1,6.2228068,3742,3620,3752,92.4972329939577,2.43413771036731,2.43413771036731,-19,-20,-17
407,3,0,0,1,7.0125517,3752,3570,3750,57.7066719372094,57.7066719372094,3.60666699607559,-18,-20,-18
407,3,0,0,1,6.9255034,3730,3616,3738,61.1070293213094,61.1070293213094,3.59453113654761,-17,-18,-18
407,3,0,0,1,6.3273583,3742,3582,3750,47.8092464612552,26.7731780183029,1.91236985845021,-19,-20,-17
