firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,4,0,0,1,41.7497548,3608,3574,3998,3992,1.91611773087207,1.91611773087207,45.9868255409296,3.83223546174414,-18,-20,-19,-17
1280,4,0,0,1,43.9627561,3620,3554,3988,3928,3.44146650523894,65.3878635995399,44.7390645681063,13.7658660209558,-20,-21,-18,-17
1280,4,0,0,1,41.1969528,3636,3514,3982,3980,5.02930829408377,70.4103161171728,25.1465414704189,20.1172331763351,-21,-22,-17,-17
1280,4,0,0,1,44.204861,3624,3526,3962,3936,9.42246863024631,4.71123431512316,28.2674058907389,28.2674058907389,-22,-21,-19,-18
1280,4,0,0,2,47.9306366,3620,3526,3978,3948,13.9364340660336,4.6454780220112,4.6454780220112,4.6454780220112,-21,-23,-17,-16
1280,4,0,0,1,46.2287687,3632,3518,3976,3936,8.1109447466222,24.3328342398666,24.3328342398666,16.2218894932444,-20,-21,-17,-17
1280,4,0,0,1,45.9022764,3644,3518,3978,3944,4.39821045612961,8.79642091225922,13.1946313683888,4.39821045612961,-19,-20,-18,-17
1280,4,0,0,1,44.1042395,3636,3514,3984,3936,7.11474880312138,3.55737440156069,7.11474880312138,17.7868720078035,-20,-21,-16,-17
1280,4,0,0,1,41.6238863,3640,3518,3972,3948,1.92397453119475,23.087694374337,32.7075670303107,1.92397453119475,-20,-24,-17,-17
1280,4,0,0,1,44.8699447,3644,3506,3962,3956,7.58920253798111,3.79460126899056,11.3838038069717,26.5622088829339,-22,-20,-18,-19
1280,4,0,0,2,53.8370067,3636,3518,3996,3936,51.4362882078101,4.67602620071001,60.7883406092301,4.67602620071001,-19,-20,-17,-17
1280,4,0,0,1,40.6385481,3628,3526,3986,3910,14.1776200596311,14.1776200596311,7.08881002981554,42.5328601788932,-17,-22,-17,-17
1280,4,0,0,1,43.4974429,3616,3518,3974,3932,30.4298443741684,15.2149221870842,7.6074610935421,91.2895331225052,-19,-22,-17,-17
1280,4,0,0,1,48.4995275,3624,3538,3966,3940,6.62404315696598,46.3683020987618,33.1202157848299,13.248086313932,-21,-23,-17,-17
1280,4,0,0,1,44.124307,3620,3518,3984,3944,26.8333194694516,5.36666389389032,10.7333277877806,10.7333277877806,-19,-19,-17,-18
1280,4,0,0,1,43.538205,3644,3526,3972,3910,6.10653087370412,42.7457161159288,12.2130617474082,6.10653087370412,-18,-20,-17,-17
1280,4,0,0,1,44.0585698,3632,3514,3940,3924,4.9424110267167,39.5392882137336,29.6544661603002,9.88482205343339,-19,-21,-17,-18
1280,4,0,0,1,45.2925142,3620,3518,3970,3910,5.86972612444876,29.3486306222438,5.86972612444876,11.7394522488975,-20,-23,-16,-17
1280,4,0,0,1,43.6171394,3624,3538,3984,3944,11.290026672688,5.64501333634401,372.570880198705,135.480320072256,-19,-18,-18,-19
1280,4,0,0,1,42.831592,3628,3526,3982,3944,13.0797603787899,32.6994009469747,6.53988018939493,13.0797603787899,-20,-22,-17,-17
1280,4,0,0,1,44.6428268,3644,3542,3990,3956,46.0555282292755,36.8444225834204,18.4222112917102,9.2111056458551,-21,-21,-17,-16
1280,4,0,0,3,61.9720871,3636,3502,3988,3932,3.38647961559393,37.2512757715332,23.7053573091575,3.38647961559393,-21,-22,-17,-16
1280,4,0,0,1,42.1016737,3636,3506,3948,3944,3.39457255372675,6.7891451074535,50.9185883059012,6.7891451074535,-20,-20,-17,-18
1280,4,0,0,2,49.8081273,3628,3526,3978,3952,5.14900181450824,10.2980036290165,20.596007258033,10.2980036290165,-19,-22,-17,-17
1280,4,0,0,1,44.4107637,3624,3522,3962,3952,7.9360733420154,79.360733420154,7.9360733420154,47.6164400520924,-19,-20,-17,-17
1280,4,0,0,2,51.9737677,3636,3506,3958,3886,17.8239965892,3.56479931784,74.8607856746401,24.95359522488,-19,-19,-18,-17
1280,4,0,0,1,42.7564898,3624,3506,3974,3952,4.36109899694723,4.36109899694723,26.1665939816834,4.36109899694723,-17,-21,-17,-16
1280,4,0,0,1,43.7454604,3632,3514,3992,3928,4.42163861505435,4.42163861505435,4.42163861505435,13.2649158451631,-20,-20,-19,-18
1280,4,0,0,1,37.727556,3636,3510,3964,3952,3.5658581915251,10.6975745745753,39.2244401067761,57.0537310644015,-19,-21,-18,-18
1280,4,0,0,1,44.8630299,3636,3514,3982,3944,9.53182533501983,33.3613886725694,4.76591266750992,4.76591266750992,-20,-21,-16,-17
1280,4,0,0,1,45.7415926,3600,3518,3966,3948,13.2913386105855,4.4304462035285,13.2913386105855,17.721784814114,-20,-20,-17,-17
1280,4,0,0,1,44.6117219,3624,3522,3962,3964,16.9491956335482,8.47459781677411,8.47459781677411,16.9491956335482,-18,-21,-17,-16
1280,4,0,0,1,42.3509694,3636,3518,3976,3964,17.4574224377632,8.7287112188816,4.3643556094408,4.3643556094408,-20,-22,-16,-16
1280,4,0,0,1,41.2881706,3632,3500,3938,3932,33.1567918372399,3.68408798191555,69.9976716563954,18.4204399095777,-21,-22,-16,-16
1280,4,0,0,1,39.8189639,3620,3534,3966,3944,26.7150672444958,42.7441075911932,58.7731479378907,5.34301344889915,-21,-23,-18,-17
1280,4,0,0,2,53.5861508,3632,3510,3968,3944,3.53840514172728,7.07681028345456,14.1536205669091,7.07681028345456,-17,-21,-17,-17
1280,4,0,0,1,44.3703429,3628,3554,3988,3960,3.16555170659641,37.9866204791569,158.27758532982,41.1521721857533,-20,-21,-17,-18
1280,4,0,0,1,41.48286,3628,3522,3982,3948,11.7181732461605,3.90605774872018,11.7181732461605,11.7181732461605,-22,-22,-18,-18
1280,4,0,0,1,41.7448631,3624,3522,3968,3968,8.0436221717619,16.0872443435238,40.2181108588095,4.02181108588095,-20,-18,-17,-16
1280,4,0,0,1,41.419808,3628,3526,3962,3940,5.05807939667229,35.406555776706,45.5227145700506,5.05807939667229,-21,-21,-19,-16
1280,4,0,0,1,41.1903312,3628,3518,3978,3944,3.53111708654591,7.06223417309183,10.5933512596377,7.06223417309183,-18,-20,-17,-17
1280,4,0,0,1,40.6431703,3628,3506,3982,3956,4.63570755731589,9.27141511463178,4.63570755731589,4.63570755731589,-19,-21,-16,-16
1280,4,0,0,1,42.7494486,3636,3526,3958,3948,5.48505733256177,27.4252866628088,5.48505733256177,27.4252866628088,-20,-22,-16,-18
1280,4,0,0,1,43.218286,3632,3506,3964,3956,20.0848585272777,13.3899056848518,3.34747642121296,3.34747642121296,-21,-24,-16,-16
1280,4,0,0,1,43.1688683,3636,3522,3986,3952,4.93633363691785,9.8726672738357,4.93633363691785,24.6816681845893,-17,-20,-17,-17
1280,4,0,0,1,43.0610546,3628,3526,3950,3944,3.59080738945071,28.7264591156057,46.6804960628592,3.59080738945071,-20,-21,-18,-17
1280,4,0,0,1,41.5774171,3632,3538,3958,3940,3.46514634525817,93.5589513219707,34.6514634525817,38.1166097978399,-19,-20,-18,-19
1280,4,0,0,1,42.8310957,3628,3518,3974,3914,3.4802521790729,34.802521790729,41.7630261488748,107.88781755126,-19,-22,-19,-18
1280,4,0,0,1,43.5014861,3632,3522,3978,3910,19.5130479849266,3.90260959698531,19.5130479849266,19.5130479849266,-19,-20,-16,-17
1280,4,0,0,1,43.4357278,3640,3510,3962,3928,4.3376100722776,4.3376100722776,26.0256604336656,8.67522014455519,-18,-20,-18,-17
1280,4,0,0,1,45.0810341,3636,3518,3960,3952,13.6097102560735,6.80485512803675,6.80485512803675,27.219420512147,-19,-18,-16,-17
1280,4,0,0,2,53.6319455,3628,3522,3986,3924,15.0708802335986,3.76772005839966,22.606320350398,7.53544011679932,-20,-20,-17,-18
1280,4,0,0,2,49.6261525,3628,3518,3970,3932,3.56520474257796,28.5216379406237,7.13040948515591,10.6956142277339,-19,-21,-17,-17
1280,4,0,0,2,46.046315,3640,3510,3974,3948,5.54676085806172,33.2805651483703,110.935217161234,11.0935217161234,-18,-20,-17,-18
1280,4,0,0,1,42.5758359,3620,3526,3972,3932,6.87708719596398,3.43854359798199,3.43854359798199,17.1927179899099,-19,-21,-16,-16
1280,4,0,0,1,39.3207584,3640,3554,3964,3952,25.0317590442874,6.25793976107186,6.25793976107186,6.25793976107186,-20,-22,-17,-16
1280,4,0,0,1,41.5575649,3624,3518,3968,3944,33.8304784794929,22.5536523196619,3.75894205327699,45.1073046393239,-21,-23,-17,-17
1280,4,0,0,1,44.2749623,3632,3522,3980,3948,3.49465475082587,55.914476013214,6.98930950165175,10.4839642524776,-19,-20,-17,-17
1280,4,0,0,3,47.4791545,3632,3530,3972,3940,31.4815864201029,17.4897702333905,69.959080933562,3.4979540466781,-17,-21,-17,-17
1280,4,0,0,1,42.5901443,3628,3518,3972,3944,5.80396526907183,29.0198263453591,11.6079305381437,34.823791614431,-19,-22,-16,-17
1280,4,0,0,1,43.5126259,3628,3514,3958,3952,22.6663483303968,7.55544944346559,30.2217977738624,7.55544944346559,-18,-19,-17,-16
1280,4,0,0,1,44.1132746,3628,3522,3988,3936,25.5366527577031,10.2146611030813,51.0733055154063,5.10733055154063,-18,-20,-17,-17
1280,4,0,0,1,45.3270483,3636,3546,3942,3932,5.237420109703,5.237420109703,10.474840219406,41.899360877624,-18,-19,-17,-17
1280,4,0,0,1,43.3187381,3632,3514,3964,3924,17.2273499110207,74.6518496144232,80.3942995847634,5.74244997034025,-20,-20,-17,-17
1280,4,0,0,1,39.1935833,3632,3522,3978,3944,4.90434564258698,4.90434564258698,9.80869128517397,29.4260738555219,-17,-18,-16,-19
1280,4,0,0,1,41.2435482,3632,3522,3962,3936,7.62493261465802,30.4997304586321,7.62493261465802,60.9994609172641,-17,-19,-16,-16
1280,4,0,0,1,43.0785891,3628,3530,3988,3932,3.61128946868543,50.558052561596,43.3354736242251,18.0564473434271,-20,-19,-16,-17
1280,4,0,0,2,45.3022154,3632,3518,3988,3956,3.34309740649189,23.4016818454433,23.4016818454433,10.0292922194757,-18,-20,-18,-19
