firmware_size,done,not_done,missing,attempts,duration_sec,0241.vcc,0242.vcc,0241.ReadRate,0242.ReadRate,0241.peak_rssi,0242.peak_rssi
407,2,0,0,1,9.907541,3998,3956,32.010601911353,1.33377507963971,-16,-16
407,2,0,0,1,9.1177797,3972,3968,3.93229840482383,15.7291936192953,-17,-18
407,2,0,0,1,8.8002012,3960,3948,8.75925963233884,8.75925963233884,-16,-17
407,2,0,0,1,8.0278332,3990,3972,23.3077414332396,3.32967734760566,-18,-17
407,2,0,0,1,9.2109635,3988,3964,20.7866413402229,4.15732826804457,-18,-17
407,2,0,0,1,8.7528688,3994,3940,25.8533832475986,3.69334046394266,-17,-17
407,2,0,0,1,9.0530718,3936,3960,8.87990637026723,17.7598127405345,-17,-17
407,2,0,0,1,9.9319154,3990,3964,5.8809864766716,5.8809864766716,-17,-17
407,2,0,0,1,7.658552,3944,3944,5.49127107549839,5.49127107549839,-16,-16
407,2,0,0,1,9.9370827,3970,3948,7.75522644097924,15.5104528819585,-17,-17
407,2,0,0,1,10.8770261,3976,3928,14.2451359983134,7.12256799915669,-18,-17
407,2,0,0,1,8.9902379,3978,3952,5.3691303995331,5.3691303995331,-17,-16
407,2,0,0,2,10.4704051,3966,3960,31.2874471633236,5.2145745272206,-18,-16
407,2,0,0,1,9.35531,3980,3948,6.53390640048403,13.0678128009681,-16,-17
407,2,0,0,1,8.2136176,3996,3928,25.6294376303364,8.54314587677879,-18,-17
407,2,0,0,1,8.8466774,3970,3952,4.72805861657951,9.45611723315901,-16,-17
407,2,0,0,1,9.2854028,3980,3932,36.0806460167508,3.60806460167508,-16,-18
407,2,0,0,1,10.0092473,3984,3944,4.79588704726826,4.79588704726826,-17,-16
407,2,0,0,1,10.5801791,3970,3952,27.3421639408808,13.6710819704404,-18,-16
407,2,0,0,1,9.0801367,3984,3944,8.58930905880069,8.58930905880069,-17,-17
407,2,0,0,1,9.3256247,3986,3928,9.30366271245495,4.65183135622748,-17,-17
407,2,0,0,1,7.9685147,3980,3968,5.32708572719248,5.32708572719248,-16,-17
407,2,0,0,1,9.4909644,3968,3952,10.7318994442486,5.36594972212429,-17,-18
407,2,0,0,1,8.5687885,3970,3948,13.3320179075665,4.44400596918882,-16,-16
407,2,0,0,1,8.4311186,3992,3944,5.14880563155765,25.7440281577882,-17,-18
407,2,0,0,1,9.1327486,3972,3948,5.21794576780246,10.4358915356049,-17,-17
407,2,0,0,1,9.2350625,3988,3956,9.01287398920618,9.01287398920618,-17,-17
407,2,0,0,1,9.7388621,3944,3944,3.6166940812078,3.6166940812078,-17,-18
407,2,0,0,1,9.4110183,3952,3940,10.8469399155457,5.42346995777286,-17,-16
407,2,0,0,1,7.9218153,3984,3940,3.63375261993564,10.9012578598069,-17,-19
407,2,0,0,1,10.4283388,3928,3940,22.2352833923927,7.41176113079757,-17,-16
407,2,0,0,1,7.8896055,3978,3944,19.0144072163478,3.80288144326957,-18,-16
407,2,0,0,1,9.0230318,3980,3940,18.05158420703,3.610316841406,-17,-17
407,2,0,0,1,10.4375299,3980,3956,15.950674135304,3.987668533826,-17,-16
407,2,0,0,1,9.9684301,3978,3940,16.5726376637221,4.14315941593053,-17,-17
407,2,0,0,1,9.5410833,3970,3940,3.5741806905603,3.5741806905603,-17,-17
407,2,0,0,1,7.6779526,3984,3956,13.2552686379018,13.2552686379018,-17,-16
407,2,0,0,1,10.0359023,3958,3948,6.14585465176666,6.14585465176666,-17,-17
407,2,0,0,1,8.3159464,3978,3948,6.55889527215152,6.55889527215152,-16,-16
407,2,0,0,1,7.8888723,3970,3944,21.0762036488178,5.26905091220444,-17,-17
407,2,0,0,1,9.0968492,3968,3936,47.4617780131279,3.39012700093771,-17,-17
407,2,0,0,1,8.5556243,3980,3948,4.49645746598542,4.49645746598542,-16,-17
407,2,0,0,1,10.2820727,3968,3952,24.5722433168105,6.14306082920264,-17,-17
407,2,0,0,1,9.3477206,3984,3944,26.9273956630737,3.84677080901052,-17,-16
407,2,0,0,1,8.0888215,3994,3944,4.79414653884194,4.79414653884194,-17,-17
407,2,0,0,1,9.0888376,3986,3894,19.7500174458487,6.58333914861625,-17,-17
407,2,0,0,1,8.1610137,3968,3968,6.65873832889639,13.3174766577928,-17,-17
407,2,0,0,1,9.2934082,3978,3936,8.59302160715283,17.1860432143057,-16,-17
407,2,0,0,1,10.1679003,3964,3944,15.518678863831,3.87966971595774,-18,-17
407,2,0,0,1,8.5221944,3982,3952,5.02425206471639,5.02425206471639,-17,-17
407,2,0,0,1,7.6942238,3966,3956,11.7571536401323,5.87857682006617,-18,-17
407,2,0,0,1,9.5484812,3964,3948,3.60268313429109,3.60268313429109,-17,-17
407,2,0,0,1,10.351754,3972,3944,4.49326728829522,4.49326728829522,-18,-17
407,2,0,0,1,9.1499819,3988,3952,3.53664315977846,7.07328631955693,-17,-17
407,2,0,0,1,9.0871532,3966,3952,4.67828815822345,4.67828815822345,-17,-17
407,2,0,0,1,8.3789116,3968,3948,84.0955190543627,5.60636793695751,-18,-17
