firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0241.vcc,0242.vcc,0237.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,3,0,0,1,13.4849428,3526,3980,3956,1.88598610480877,49.0356387250281,11.3159166288526,-22,-17,-17
407,3,0,0,1,14.1100843,3500,3978,3956,18.4672718391648,4.61681795979121,4.61681795979121,-20,-17,-16
407,3,0,0,1,12.7701893,3510,3990,3980,5.44075857232319,5.44075857232319,5.44075857232319,-20,-17,-17
407,3,0,0,1,13.4725634,3518,3974,3968,5.62203929355703,5.62203929355703,5.62203929355703,-18,-17,-17
407,3,0,0,1,12.9998225,3496,3974,3964,32.1389430787179,44.9945203102051,6.42778861574358,-20,-17,-16
407,3,0,0,1,13.7694542,3502,3988,3952,3.34588038477624,30.1129234629862,3.34588038477624,-22,-18,-17
407,3,0,0,1,15.0013385,3542,3978,3916,7.82330594133146,3.91165297066573,7.82330594133146,-24,-17,-17
407,3,0,0,1,12.8506417,3492,3972,3956,5.1690138296965,20.676055318786,5.1690138296965,-19,-17,-17
407,3,0,0,1,12.9456965,3506,3940,3960,30.8465845119299,5.14109741865499,20.5643896746199,-21,-16,-16
407,3,0,0,1,16.2593925,3518,3982,3948,5.49590060773669,27.4795030386834,10.9918012154734,-21,-18,-17
407,3,0,0,1,13.7004986,3502,3968,3972,8.68752744715703,26.0625823414711,4.34376372357851,-20,-18,-16
407,3,0,0,2,16.6157483,3534,3970,3920,13.0488055775815,13.0488055775815,4.34960185919382,-18,-17,-17
407,3,0,0,1,13.7831494,3514,3986,3948,3.84297452376899,3.84297452376899,7.68594904753798,-20,-17,-16
407,3,0,0,1,13.4134737,3510,3990,3948,7.7944631251744,7.7944631251744,109.122483752442,-20,-17,-17
407,3,0,0,1,14.0548562,3522,3968,3924,28.1182033030453,28.1182033030453,4.68636721717422,-19,-17,-17
407,3,0,0,3,16.2039618,3530,3978,3964,3.59024143655613,17.9512071827806,7.18048287311225,-20,-18,-18
407,3,0,0,1,14.866546,3530,3968,3956,27.8770121975867,34.8462652469834,6.96925304939667,-20,-17,-17
407,3,0,0,1,14.5651257,3530,3970,3940,29.0361788853166,61.9438482886754,1.93574525902111,-22,-17,-17
407,3,0,0,1,14.9357413,3502,3976,3956,5.21012702810707,10.4202540562141,5.21012702810707,-20,-17,-18
407,3,0,0,1,12.3656702,3522,3954,3948,6.69264752435622,26.7705900974249,6.69264752435622,-19,-18,-18
407,3,0,0,1,14.0133739,3518,3978,3928,5.02360340057761,10.0472068011552,5.02360340057761,-20,-17,-17
407,3,0,0,1,14.3189872,3518,3942,3944,4.37832205185685,26.2699323111411,48.1615425704253,-19,-17,-17
407,3,0,0,1,14.6966831,3534,3966,3948,4.6462183499606,9.2924366999212,4.6462183499606,-19,-17,-17
407,3,0,0,1,13.1448527,3510,3964,3944,14.1069456957828,56.4277827831311,4.70231523192759,-20,-18,-18
407,3,0,0,1,13.45486,3546,3968,3944,28.0916552052713,5.61833104105427,5.61833104105427,-22,-17,-16
407,3,0,0,1,13.6629421,3522,3980,3932,28.3762674141606,75.6700464377616,4.7293779023601,-20,-18,-17
407,3,0,0,1,15.4033718,3514,3986,3916,4.79962063798477,4.79962063798477,19.1984825519391,-21,-17,-18
407,3,0,0,1,15.7568536,3522,3980,3940,30.4397632598145,43.9685469308432,3.38219591775717,-20,-17,-17
407,3,0,0,1,12.9838607,3522,3972,3932,3.50652037463664,3.50652037463664,7.01304074927327,-22,-17,-16
407,3,0,0,1,14.338914,3506,3982,3952,7.29512197079179,18.2378049269795,3.6475609853959,-19,-18,-18
407,3,0,0,1,13.3201252,3522,3986,3956,22.9303627812696,5.73259069531739,80.2562697344435,-20,-17,-17
407,3,0,0,1,13.0656199,3546,3956,3948,28.822482689397,14.4112413446985,3.60281033617463,-19,-19,-17
407,3,0,0,2,17.2610876,3522,3948,3940,3.41641251404573,17.0820625702286,6.83282502809145,-20,-17,-16
407,3,0,0,1,13.0360917,3500,3972,3940,4.91140319771639,9.82280639543279,4.91140319771639,-21,-17,-17
407,3,0,0,1,13.8137056,3518,3986,3914,65.0083752456775,7.22315280507528,7.22315280507528,-20,-16,-17
407,3,0,0,1,11.7868568,3546,3974,3960,36.4443145047157,40.4936827830174,4.04936827830174,-20,-18,-17
407,3,0,0,1,13.6623262,3522,3970,3916,21.6444781905909,21.6444781905909,4.32889563811818,-21,-17,-17
407,3,0,0,1,12.1501384,3546,3964,3928,72.7931306578461,7.27931306578461,7.27931306578461,-21,-17,-16
407,3,0,0,2,15.6924546,3514,3948,3964,3.4425055105907,24.0975385741349,6.88501102118139,-23,-17,-17
407,3,0,0,1,12.3357463,3534,3966,3956,3.66257435025931,3.66257435025931,3.66257435025931,-21,-17,-16
407,3,0,0,1,12.4783455,3522,3968,3940,28.5631724544382,14.2815862272191,4.76052874240636,-21,-17,-16
407,3,0,0,1,13.3467036,3522,3948,3952,3.48043265954477,24.3630286168134,3.48043265954477,-21,-17,-16
407,3,0,0,1,11.8398167,3522,3952,3936,6.44282156927805,122.413609816283,25.7712862771122,-19,-18,-18
407,3,0,0,2,17.1808118,3546,3930,3910,38.6767709730834,33.842174601448,4.83459637163542,-20,-16,-18
407,3,0,0,1,13.8193421,3514,3982,3936,6.73907806042594,3.36953903021297,3.36953903021297,-22,-17,-17
407,3,0,0,1,12.9225029,3502,3972,3952,5.59423972324177,27.9711986162089,5.59423972324177,-22,-18,-17
407,3,0,0,1,12.8652338,3514,3952,3948,3.35494589478756,20.1296753687253,40.2593507374507,-20,-17,-18
407,3,0,0,1,12.6317641,3502,3986,3956,4.95647471727029,4.95647471727029,4.95647471727029,-19,-17,-17
407,3,0,0,2,14.6361631,3522,3972,3952,2.96741716603352,8.90225149810056,8.90225149810056,-22,-16,-17
407,3,0,0,1,13.2140851,3510,3984,3940,9.16452522260632,9.16452522260632,18.3290504452126,-22,-17,-17
407,3,0,0,1,13.8032462,3506,3960,3948,9.7387673057895,24.3469182644738,4.86938365289475,-19,-16,-17
407,3,0,0,1,14.3527565,3514,3978,3944,33.1499404958568,5.5249900826428,11.0499801652856,-21,-16,-17
407,3,0,0,1,14.0801382,3522,3970,3940,38.0102977498664,7.60205954997328,15.2041190999466,-20,-16,-18
407,3,0,0,1,14.3147793,3522,3976,3948,3.73001133550445,29.8400906840356,29.8400906840356,-20,-17,-18
407,3,0,0,1,13.3120527,3510,3980,3936,7.25614105357717,3.62807052678858,3.62807052678858,-20,-17,-17
407,3,0,0,2,17.2414863,3518,3964,3940,18.9588657614801,408.969818569071,2.70840939449716,-22,-17,-17
407,3,0,0,1,12.6195684,3496,3962,3952,11.9579319952407,53.8106939785834,5.97896599762037,-20,-17,-18
407,3,0,0,1,12.0479562,3522,3962,3948,41.8057724713866,73.1601018249265,3.48381437261555,-20,-17,-17
407,3,0,0,1,12.9321361,3502,3964,3960,4.62934886819364,4.62934886819364,4.62934886819364,-20,-16,-17
407,3,0,0,1,13.7941407,3518,3972,3948,5.78520237794959,17.3556071338488,28.9260118897479,-20,-17,-16
407,3,0,0,1,13.0582449,3530,3988,3940,14.4283765767811,28.8567531535622,4.80945885892703,-22,-17,-17
407,3,0,0,1,12.9415495,3496,3978,3948,7.82362727613766,11.7354409142065,3.91181363806883,-20,-18,-17
407,3,0,0,1,12.7186837,3506,3958,3968,5.11154672848231,10.2230934569646,5.11154672848231,-20,-16,-17
407,3,0,0,1,15.9094084,3510,3966,3944,25.7822709318891,3.68318156169845,18.4159078084922,-25,-16,-17
407,3,0,0,1,15.3092284,3522,3964,3936,7.59377553407023,7.59377553407023,7.59377553407023,-20,-17,-17
407,3,0,0,2,16.8918594,3514,3980,3940,109.363198600151,20.5055997375283,6.83519991250944,-20,-17,-17
407,3,0,0,2,14.6064761,3522,3972,3944,25.0499567709317,17.8928262649512,3.57856525299025,-21,-18,-16
407,3,0,0,1,11.9255946,3506,3962,3940,5.17478884274127,5.17478884274127,10.3495776854825,-22,-17,-18
407,3,0,0,1,12.4171225,3518,3974,3914,4.83965028687027,19.3586011474811,4.83965028687027,-20,-17,-17
407,3,0,0,1,13.3056686,3514,3936,3932,4.67222911116448,9.34445822232896,32.7056037781513,-20,-16,-16
