firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,3,26.8158197,3546,3440,3496,3460,2.0291359573849,38.5535831903131,38.5535831903131,12.1748157443094,-18,-20,-19,-18
407,4,0,0,1,19.6694222,3566,3420,3504,3452,13.3143989899317,41.8452539683566,43.7473109669183,1.90205699856166,-19,-20,-20,-19
407,4,0,0,1,22.9032251,3570,3410,3544,3460,19.2340982093055,113.267467232577,14.9598541627931,2.13712202325616,-20,-21,-18,-19
407,4,0,0,2,24.4192732,3546,3406,3516,3432,42.2461348147133,36.4852982490705,36.4852982490705,1.92027885521424,-19,-20,-19,-18
407,4,0,0,3,26.1118146,3566,3414,3524,3476,60.1914237754619,30.095711887731,33.8576758736973,1.88098199298319,-19,-20,-19,-18
407,4,0,0,1,20.944397,3558,3398,3508,3468,39.1130156176213,47.3473346950152,18.5272179241364,2.05857976934849,-18,-20,-20,-19
407,4,0,0,1,22.0753294,3562,3424,3522,3456,100.87371308068,115.546253165142,99.0396455701217,1.83406751055781,-20,-21,-17,-18
407,4,0,0,1,19.5617783,3554,3398,3494,3424,41.8403856233088,30.6829494570931,27.8935904155392,2.78935904155392,-18,-22,-18,-18
407,4,0,0,1,20.5923335,3546,3406,3532,3436,73.9361420934353,112.752616692489,96.1169847214659,1.84840355233588,-18,-21,-18,-18
407,4,0,0,7,46.5290874,3554,3428,3504,3492,3.95718640880585,7.91437281761169,19.7859320440292,7.91437281761169,-18,-20,-18,-18
407,4,0,0,2,22.3375752,3566,3420,3516,3440,31.7672633119315,24.2926131208888,24.2926131208888,1.86866254776068,-19,-20,-21,-19
407,4,0,0,1,22.4520281,3554,3378,3506,3436,22.0288416280489,40.386209651423,34.8789992444107,1.83573680233741,-19,-21,-18,-20
407,4,0,0,4,34.6411071,3550,3402,3478,3410,35.9991049485696,75.7875893654097,54.946002289922,1.89468973413524,-19,-21,-18,-20
407,4,0,0,2,26.7858227,3500,3436,3530,3444,32.1526205157383,81.0246036996606,86.1690229821787,1.28610482062953,-21,-22,-18,-18
407,4,0,0,3,27.1104309,3550,3386,3476,3464,68.501207284849,90.0301581458015,113.51628635775,1.95717735099568,-18,-19,-18,-18
407,4,0,0,4,31.28242,3510,3440,3538,3484,4.06597036924093,2.03298518462047,44.7256740616503,2.03298518462047,-20,-21,-18,-18
407,4,0,0,2,24.6109128,3546,3382,3522,3448,7.00642454098285,56.0513963278628,73.56745768032,3.50321227049143,-19,-19,-18,-18
407,4,0,0,1,26.1436982,3546,3416,3520,3460,7.11421733649394,3.55710866824697,7.11421733649394,7.11421733649394,-20,-21,-17,-19
