firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,4,0,0,1,11.9566694,3592,3578,3978,3944,1.97126875785427,3.94253751570855,55.1955252199197,15.7701500628342,-20,-22,-16,-18
1280,4,0,0,1,13.0329203,3636,3574,3982,3920,7.2350419125978,14.4700838251956,25.3226466940923,3.6175209562989,-19,-20,-18,-17
1280,4,0,0,1,12.0745944,3636,3550,3974,3960,3.55684550485865,35.5684550485865,53.3526825728798,32.0116095437279,-20,-25,-18,-16
1280,4,0,0,1,11.9801224,3640,3550,3992,3956,4.80857310882426,33.6600117617698,24.0428655441213,4.80857310882426,-20,-24,-18,-16
1280,4,0,0,1,12.4163015,3632,3550,3970,3956,20.2773399374376,6.75911331247922,94.627586374709,6.75911331247922,-18,-20,-17,-17
1280,4,0,0,1,12.8230367,3604,3542,3954,3940,11.9083674938086,1.98472791563477,35.7251024814259,9.92363957817387,-21,-25,-17,-16
1280,4,0,0,1,12.3386234,3652,3550,3962,3956,1.90630619433228,41.9387362753103,51.4702672469717,30.5008991093166,-20,-20,-17,-17
1280,4,0,0,1,12.4744542,3640,3578,3960,3960,3.80925534771835,15.2370213908734,11.4277660431551,3.80925534771835,-19,-20,-17,-17
1280,4,0,0,1,12.5383108,3596,3554,3984,3956,1.86606644017596,27.9909966026394,55.9819932052789,37.3213288035193,-20,-21,-16,-18
1280,4,0,0,3,22.1447821,3632,3562,3982,3960,4.44671127903869,35.5736902323095,31.1269789532708,17.7868451161548,-19,-19,-18,-19
1280,4,0,0,1,12.0381604,3640,3566,3966,3956,9.69026520802335,4.84513260401167,14.535397812035,19.3805304160467,-21,-22,-17,-17
1280,4,0,0,3,16.2470304,3644,3554,3978,3948,8.29521681208182,16.5904336241636,8.29521681208182,8.29521681208182,-20,-20,-16,-16
1280,4,0,0,1,12.2679876,3636,3558,3964,3952,5.21565970532566,15.646979115977,5.21565970532566,46.9409373479309,-19,-19,-17,-20
1280,4,0,0,1,12.6566276,3636,3566,3980,3952,4.81550824800253,28.8930494880152,28.8930494880152,14.4465247440076,-20,-25,-17,-16
1280,4,0,0,3,23.4883018,3636,3554,3988,3952,8.13390357419991,8.13390357419991,16.2678071483998,16.2678071483998,-18,-20,-17,-17
1280,4,0,0,1,12.8145313,3636,3546,3970,3952,3.52772634156787,109.359516588604,3.52772634156787,59.9713478066538,-21,-18,-17,-18
1280,4,0,0,1,12.3460841,3636,3558,3966,3956,6.2951004603607,44.0657032225249,75.5412055243284,12.5902009207214,-19,-20,-18,-17
1280,4,0,0,1,12.239075,3640,3588,3982,3928,9.51170700898666,161.699019152773,9.51170700898666,9.51170700898666,-20,-22,-17,-16
1280,4,0,0,1,11.7860421,3640,3566,3986,3956,10.8900254445445,5.44501272227223,32.6700763336334,5.44501272227223,-20,-21,-16,-17
1280,4,0,0,1,11.5707534,3640,3566,3984,3956,10.0330337636669,5.01651688183344,5.01651688183344,5.01651688183344,-20,-20,-16,-17
1280,4,0,0,1,12.3025214,3644,3570,3984,3940,14.6434806674938,10.9826105006203,21.9652210012407,3.66087016687344,-21,-20,-17,-17
1280,4,0,0,1,12.7008434,3644,3554,3968,3952,13.2991633496337,33.2479083740842,6.64958167481684,6.64958167481684,-20,-20,-17,-17
1280,4,0,0,1,11.9506604,3640,3566,3974,3948,30.0684056227919,5.01140093713198,25.0570046856599,5.01140093713198,-19,-20,-17,-16
1280,4,0,0,2,23.4754003,3636,3582,3970,3952,5.94416880012792,41.6091816008954,23.7766752005117,17.8325064003838,-20,-21,-17,-18
1280,4,0,0,1,13.0700587,3648,3538,3982,3952,3.50630767218688,3.50630767218688,3.50630767218688,3.50630767218688,-19,-21,-17,-16
1280,4,0,0,1,12.467578,3632,3554,3976,3948,6.85906339489343,6.85906339489343,6.85906339489343,6.85906339489343,-19,-21,-16,-16
1280,4,0,0,1,13.071907,3632,3570,3970,3936,3.62635489684834,3.62635489684834,10.879064690545,3.62635489684834,-19,-21,-17,-16
1280,4,0,0,1,12.1347036,3636,3578,3986,3948,10.6692272812142,32.0076818436425,10.6692272812142,10.6692272812142,-19,-20,-17,-17
1280,4,0,0,1,11.4630744,3644,3542,3980,3916,21.0179298705243,5.25448246763107,36.7813772734175,388.8317026047,-18,-18,-17,-17
1280,4,0,0,1,12.307052,3608,3570,3972,3948,12.2234196646301,48.8936786585204,85.5639376524108,4.07447322154337,-20,-19,-18,-17
1280,4,0,0,1,12.2020979,3636,3558,3958,3968,8.74112120613487,17.4822424122697,17.4822424122697,61.1878484429441,-18,-19,-18,-17
1280,4,0,0,1,12.3852035,3636,3550,3978,3952,18.1495449909071,54.4486349727212,6.04984833030236,18.1495449909071,-23,-25,-17,-17
1280,4,0,0,1,11.6433605,3624,3522,3964,3932,7.65636400804531,22.9690920241359,7.65636400804531,84.2200040884984,-18,-20,-16,-16
1280,4,0,0,1,12.503516,3636,3550,3970,3944,18.7380837498653,4.68452093746633,14.053562812399,4.68452093746633,-21,-20,-17,-16
1280,4,0,0,1,12.6839074,3640,3562,3990,3924,29.5401152655298,4.22001646650425,8.4400329330085,8.4400329330085,-19,-22,-16,-16
1280,4,0,0,1,12.0015436,3644,3542,3974,3940,1.90865119055935,17.1778607150342,40.0816750017464,9.54325595279677,-19,-20,-17,-17
1280,4,0,0,3,16.3620961,3636,3566,3952,3952,3.90256086043662,15.6102434417465,7.80512172087324,3.90256086043662,-19,-20,-18,-17
1280,4,0,0,1,13.0810599,3636,3550,3972,3944,4.05995580332112,4.05995580332112,12.1798674099634,12.1798674099634,-20,-20,-17,-17
1280,4,0,0,1,12.8251027,3636,3566,3980,3940,10.0372750939405,26.7660669171748,20.0745501878811,3.34575836464684,-19,-19,-17,-17
1280,4,0,0,1,13.0046463,3636,3558,3978,3940,4.71337939876132,28.2802763925679,14.140138196284,14.140138196284,-20,-20,-16,-17
1280,4,0,0,1,12.4060045,3644,3570,3984,3944,3.47631171670006,41.7157406004007,86.9077929175016,52.1446757505009,-19,-20,-18,-18
1280,4,0,0,1,12.9416577,3640,3542,3968,3948,11.6625080106852,34.9875240320556,5.8312540053426,5.8312540053426,-20,-20,-17,-17
1280,4,0,0,1,12.3940151,3624,3566,3968,3932,18.8971902145814,3.77943804291628,62.3607277081185,1.88971902145814,-22,-25,-17,-17
1280,4,0,0,1,13.1902117,3636,3550,3976,3940,3.73115254929132,37.3115254929132,37.3115254929132,26.1180678450393,-20,-24,-17,-16
1280,4,0,0,1,12.1458439,3636,3554,3962,3948,3.56575901459536,71.3151802919073,21.3945540875722,39.223349160549,-18,-20,-18,-19
1280,4,0,0,1,12.4444348,3636,3542,3970,3944,7.38517529452079,73.8517529452079,29.5407011780832,88.6221035342495,-19,-22,-16,-17
1280,4,0,0,1,11.499804,3636,3566,3984,3952,33.0474945372492,39.656993444699,6.60949890744983,26.4379956297993,-18,-21,-17,-16
1280,4,0,0,1,11.2474792,3628,3538,3976,3940,6.98246006032846,13.9649201206569,3.49123003016423,13.9649201206569,-20,-20,-17,-18
1280,4,0,0,1,12.8929386,3636,3550,3976,3952,13.1562848230414,6.5781424115207,19.7344272345621,92.0939937612897,-17,-19,-17,-18
1280,4,0,0,1,11.9563665,3648,3554,3976,3944,14.7470396055344,35.3928950532825,50.1399346588169,2.94940792110688,-20,-19,-16,-18
1280,4,0,0,1,11.6331326,3640,3550,3970,3944,8.74500441622723,26.2350132486817,8.74500441622723,78.7050397460451,-20,-21,-17,-18
1280,4,0,0,1,12.3204463,3640,3570,3958,3944,4.49585302516958,4.49585302516958,4.49585302516958,4.49585302516958,-18,-20,-17,-16
1280,4,0,0,1,12.1826163,3640,3546,3988,3944,5.82376924828534,23.2950769931413,34.942615489712,11.6475384965707,-19,-20,-18,-16
1280,4,0,0,1,11.7235775,3644,3570,3964,3920,4.37237793960434,13.117133818813,8.74475587920869,4.37237793960434,-18,-21,-18,-16
1280,4,0,0,1,12.2951763,3640,3550,3986,3948,9.1753557285416,4.5876778642708,27.5260671856248,13.7630335928124,-19,-20,-17,-17
1280,4,0,0,1,12.0370043,3640,3550,3960,3936,9.41816019066124,4.70908009533062,4.70908009533062,14.1272402859919,-21,-21,-17,-16
1280,4,0,0,1,11.7520477,3640,3554,3976,3932,19.2295581384057,4.80738953460143,9.61477906920285,14.4221686038043,-21,-24,-17,-17
1280,4,0,0,1,12.5504795,3644,3558,3994,3976,6.84042251921817,10.2606337788273,17.1010562980454,3.42021125960908,-21,-23,-16,-16
1280,4,0,0,1,12.6734468,3636,3546,3986,3960,4.7906968499731,14.3720905499193,9.5813936999462,28.7441810998386,-17,-22,-17,-16
1280,4,0,0,1,11.7497806,3636,3566,3968,3952,30.7738137002557,49.2381019204091,6.15476274005113,30.7738137002557,-21,-21,-16,-17
1280,4,0,0,1,12.5487316,3636,3542,3986,3948,7.11766569036019,7.11766569036019,3.5588328451801,14.2353313807204,-19,-22,-16,-17
1280,4,0,0,3,23.0888757,3636,3574,3964,3952,4.51408371548814,4.51408371548814,31.598586008417,4.51408371548814,-16,-19,-18,-17
1280,4,0,0,1,12.1931924,3608,3522,3948,3910,1.90990555326049,42.0179221717307,42.0179221717307,42.0179221717307,-19,-21,-16,-18
1280,4,0,0,1,11.5240157,3640,3546,3972,3944,16.6408954665541,3.32817909331083,33.2817909331083,16.6408954665541,-20,-18,-17,-18
1280,4,0,0,1,12.1573265,3632,3558,3972,3944,5.86797984231565,29.3398992115782,23.4719193692626,5.86797984231565,-21,-25,-17,-17
1280,4,0,0,1,11.7986246,3640,3562,3966,3940,7.80536540818159,23.4160962245448,23.4160962245448,39.0268270409079,-22,-26,-16,-17
1280,4,0,0,1,12.2823532,3640,3550,3978,3952,30.4151714351138,4.34502449073054,13.0350734721916,4.34502449073054,-19,-20,-17,-17
1280,4,0,0,1,13.219914,3640,3554,3968,3948,30.2503031080371,6.05006062160743,54.4505455944669,6.05006062160743,-20,-20,-17,-17
1280,4,0,0,1,12.3476473,3640,3550,3970,3944,9.19516554976056,4.59758277488028,50.5734105236831,13.7927483246408,-20,-19,-17,-17
1280,4,0,0,1,12.7293939,3640,3554,3970,3952,8.60674079939409,17.2134815987882,25.8202223981823,17.2134815987882,-18,-20,-18,-18
1280,4,0,0,1,12.2073017,3640,3550,3966,3944,6.18646883164206,6.18646883164206,12.3729376632841,6.18646883164206,-19,-21,-18,-16
1280,4,0,0,1,12.094731,3636,3546,3936,3944,3.52526398058003,3.52526398058003,10.5757919417401,21.1515838834802,-18,-20,-16,-18
1280,4,0,0,1,13.1197175,3644,3554,3962,3944,50.3658660452638,33.5772440301759,8.39431100754397,50.3658660452638,-19,-20,-16,-17
1280,4,0,0,1,13.050146,3648,3550,3984,3944,4.65438622376148,37.2350897900918,46.5438622376148,13.9631586712844,-19,-20,-17,-17
1280,4,0,0,1,12.1919124,3640,3554,3984,3964,3.65650499551713,36.5650499551713,14.6260199820685,54.8475749327569,-19,-22,-16,-18
1280,4,0,0,1,12.2211777,3640,3562,3960,3948,40.1224829980978,3.64749845437253,25.5324891806077,25.5324891806077,-20,-20,-17,-17
1280,4,0,0,1,12.4047187,3644,3558,3984,3952,10.7698697815045,28.7196527506786,57.4393055013572,3.58995659383482,-20,-22,-18,-17
1280,4,0,0,1,13.035467,3628,3542,3958,3940,4.46167045834294,4.46167045834294,13.3850113750288,4.46167045834294,-20,-22,-18,-16
1280,4,0,0,1,13.0462145,3644,3546,3966,3944,7.89582875210769,23.6874862563231,3.94791437605385,7.89582875210769,-20,-21,-17,-17
1280,4,0,0,1,12.2617334,3644,3558,3982,3952,5.20688516839587,5.20688516839587,15.6206555051876,26.0344258419794,-18,-20,-17,-17
1280,4,0,0,2,26.811599,3628,3542,3968,3932,14.1521449934428,18.8695266579238,99.0650149540999,4.71738166448095,-20,-20,-17,-17
1280,4,0,0,1,12.1069788,3632,3550,3972,3932,3.93021355601399,39.3021355601399,11.790640668042,15.720854224056,-19,-24,-17,-16
1280,4,0,0,1,12.0863888,3644,3546,3978,3948,14.2927177173958,4.76423923913194,38.1139139130555,19.0569569565277,-19,-23,-18,-16
1280,4,0,0,1,11.8123277,3640,3566,3976,3944,31.2281403017888,36.4328303520869,5.20469005029813,31.2281403017888,-20,-22,-17,-17
1280,4,0,0,1,12.0882843,3632,3554,3976,3936,4.42735485470528,35.4188388376423,13.2820645641158,35.4188388376423,-19,-20,-16,-18
1280,4,0,0,1,12.2229019,3636,3542,3958,3948,5.56088782910724,16.6826634873217,16.6826634873217,11.1217756582145,-19,-20,-18,-17
1280,4,0,0,1,12.8553128,3628,3554,3984,3906,2.02754542107252,62.8539080532482,85.156907685046,8.11018168429009,-20,-25,-16,-17
1280,4,0,0,1,11.6978037,3632,3574,3958,3944,14.7201099886618,3.68002749716546,25.7601924801582,3.68002749716546,-19,-19,-18,-17
1280,4,0,0,1,12.1976486,3640,3542,3980,3936,7.18849380926913,43.1309628556148,14.3769876185383,21.5654814278074,-18,-22,-17,-16
1280,4,0,0,1,13.0410522,3636,3558,3998,3948,6.48072599684907,6.48072599684907,45.3650819779435,45.3650819779435,-17,-17,-18,-18
1280,4,0,0,1,11.8059931,3628,3538,3952,3928,4.94180774292321,39.5344619433857,108.719770344311,4.94180774292321,-19,-20,-18,-17
1280,4,0,0,1,13.0836354,3636,3546,3968,3948,1.96450724755836,13.7515507329085,19.6450724755836,13.7515507329085,-19,-20,-18,-17
1280,4,0,0,3,18.7985462,3632,3562,3970,3956,5.63878718709665,22.5551487483866,11.2775743741933,11.2775743741933,-19,-20,-16,-17
1280,4,0,0,4,23.4954002,3628,3574,3984,3944,15.9951715908691,15.9951715908691,5.33172386362303,5.33172386362303,-20,-24,-16,-16
1280,4,0,0,1,12.0247589,3620,3550,3976,3944,7.05024214056632,28.2009685622653,21.150726421699,84.6029056867958,-20,-19,-16,-18
1280,4,0,0,1,12.6684822,3640,3554,3996,3956,29.7424684634234,4.24892406620334,38.24031659583,4.24892406620334,-20,-23,-17,-16
1280,4,0,0,1,12.4808579,3632,3546,3966,3920,3.95072809943509,3.95072809943509,3.95072809943509,3.95072809943509,-18,-22,-16,-16
1280,4,0,0,1,12.1688005,3640,3558,3970,3944,3.93339348803108,35.4005413922797,59.0009023204662,47.2007218563729,-19,-17,-18,-18
1280,4,0,0,1,12.2322952,3632,3562,3962,3944,25.6625295247402,5.13250590494804,10.2650118098961,5.13250590494804,-19,-19,-18,-17
1280,4,0,0,1,12.1915726,3640,3562,3990,3940,4.39534164111508,35.1627331289206,39.5580747700357,8.79068328223016,-19,-20,-17,-18
