firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,2,9.2965226,0,0,0
407,1,0,0,1,5.8515795,3972,3.78159904159154,-17
407,1,0,0,1,6.0128952,3968,6.11155046368333,-17
407,1,0,0,1,5.920705,3964,3.61136641465348,-18
407,1,0,0,1,4.4373223,3906,3.84709934480051,-18
407,1,0,0,1,5.9476349,3960,4.6987093585134,-17
407,1,0,0,1,4.7401962,3976,3.44019614622347,-17
407,1,0,0,1,5.2617412,3972,5.26015683683625,-18
407,1,0,0,1,4.7852454,3964,4.79583414662687,-17
407,1,0,0,1,5.6076855,3964,4.01539663686439,-17
407,1,0,0,1,5.5662416,3952,4.8302225090301,-16
407,1,0,0,1,4.4971263,3952,4.91984587106855,-17
407,1,0,0,1,7.314285,3948,5.47852145662929,-17
407,1,0,0,1,5.2537156,3936,4.35759277859725,-16
407,1,0,0,1,5.2532192,3952,4.90229240997675,-17
407,1,0,0,1,5.3235347,3960,5.42121190107806,-16
407,1,0,0,1,6.322104,3960,5.17733672621467,-17
407,1,0,0,1,6.2522925,3952,3.58431289617858,-16
407,1,0,0,1,5.8034109,3956,3.59563489923233,-17
407,1,0,0,1,6.6948799,3952,4.8301781804429,-17
407,1,0,0,1,4.9367959,3944,3.62030003598578,-17
407,1,0,0,1,5.1965282,3948,4.34496407800949,-17
407,1,0,0,1,6.4456399,3960,4.7604698202875,-17
407,1,0,0,1,5.0042211,3960,3.32546417660343,-17
407,1,0,0,1,5.4701385,3952,4.97979448388165,-17
407,1,0,0,1,6.5506213,3960,3.58314288928877,-17
407,1,0,0,1,5.9302679,3944,3.60658244575339,-17
407,1,0,0,1,5.0823076,3944,4.71580218153009,-17
407,1,0,0,1,5.8147144,3940,3.78107285673666,-18
407,1,0,0,1,4.8884722,3952,3.38070832600847,-17
407,1,0,0,1,5.5786557,3944,4.4522130615465,-17
407,1,0,0,2,6.5850088,3956,3.67748054336982,-16
407,1,0,0,1,5.4455839,3932,4.58278339932541,-17
407,1,0,0,1,5.0901802,3980,4.7450778121585,-17
407,1,0,0,1,5.2984559,3944,4.27500235125129,-17
407,1,0,0,1,5.429097,3940,4.20824411855802,-17
407,1,0,0,1,5.8229773,3944,4.20113876067247,-16
407,1,0,0,1,5.9713604,3910,3.34082011120254,-17
407,1,0,0,1,4.7943789,3968,3.77093813398897,-17
407,1,0,0,1,5.0836289,3940,3.8509423448465,-17
407,1,0,0,1,5.0695431,3952,3.81374289881072,-17
407,1,0,0,1,5.5949913,3956,3.57143367347668,-17
407,1,0,0,1,5.9710123,3940,3.36511686209583,-16
407,1,0,0,1,5.2368989,3972,3.24624417664373,-17
407,1,0,0,1,5.4587614,3936,3.72435317296269,-17
407,1,0,0,1,6.0400409,3940,3.13631228637793,-16
407,1,0,0,1,6.0128431,3944,4.05401077474984,-17
407,1,0,0,1,5.8275768,3944,3.82661895638152,-16
407,1,0,0,1,5.7748598,3948,4.17730835971304,-17
407,1,0,0,1,4.7738461,3914,3.59286385381356,-17
407,1,0,0,1,5.4690488,3952,4.21653065544283,-17
407,1,0,0,1,4.4114829,3956,3.1740237893083,-17
407,1,0,0,1,6.305321,3944,3.83385601570347,-17
407,1,0,0,1,5.7195228,3948,4.03495562759296,-17
407,1,0,0,1,5.4662941,3944,3.60842654199794,-18
407,1,0,0,1,5.6727886,3948,3.66602645624652,-17
407,1,0,0,1,5.1062893,3952,3.6411302068162,-18
407,1,0,0,1,5.404859,3940,3.51100665476201,-18
407,1,0,0,1,5.5467624,3948,3.55611441869264,-17
407,1,0,0,1,5.0081871,3952,3.58112959570837,-17
407,1,0,0,1,6.2260139,3944,3.56818789221075,-17
407,1,0,0,1,6.4266498,3948,3.50618350522982,-17
407,1,0,0,1,6.782329,3902,3.62599066597483,-16
407,1,0,0,1,4.8107371,3952,3.45965334965367,-17
407,1,0,0,1,6.3121502,3944,3.14698562834603,-17
407,1,0,0,1,4.9066562,3972,3.57369659244456,-16
407,1,0,0,1,5.8833825,3952,3.47982225067944,-17
407,1,0,0,1,5.1252932,3952,3.47418006744773,-17
407,1,0,0,1,7.0055741,3948,3.47927137098949,-18
407,1,0,0,1,5.2316844,3956,3.65585933715614,-16
407,1,0,0,1,5.4042824,3952,3.47087966668448,-16
407,1,0,0,1,5.0057717,3956,3.30640814963481,-17
407,1,0,0,1,6.9724818,3964,3.23891570171271,-17
407,1,0,0,1,5.7842541,3952,3.46226580368537,-17
407,1,0,0,1,4.9780287,3944,2.62264470114308,-16
407,1,0,0,1,7.3329139,3948,2.83240062380791,-17
407,1,0,0,1,5.2952956,3936,3.31372162418752,-18
407,1,0,0,1,5.7983413,3948,3.37714731690711,-16
407,1,0,0,1,5.6400673,3952,2.90484117926094,-16
407,1,0,0,1,6.4082815,3948,3.30808930385561,-16
407,1,0,0,1,6.6005638,3968,3.19970716280046,-16
407,1,0,0,1,6.3411625,3932,3.21722786917207,-18
407,1,0,0,1,4.978959,3940,3.22488163878165,-17
407,1,0,0,1,8.105588,3948,3.04828328306206,-17
407,1,0,0,1,5.5252718,3936,2.61904680839027,-17
407,1,0,0,1,4.9519862,3936,3.08403819026172,-17
407,1,0,0,1,5.359435,3952,3.08485257181074,-17
407,1,0,0,1,5.0921251,3940,3.09885342423303,-17
407,1,0,0,1,6.1795291,3948,2.70797080374198,-17
407,1,0,0,1,5.540971,3944,2.56488781437189,-16
407,1,0,0,1,5.8037147,3936,3.05264096180169,-17
407,1,0,0,1,5.5892774,3948,3.05834714686795,-17
407,1,0,0,1,6.5759546,3944,2.50199095930587,-16
407,1,0,0,1,6.4491342,3948,3.11282108749518,-17
407,1,0,0,1,5.5340906,3976,2.68362575014049,-16
407,1,0,0,1,5.7114258,3968,2.88913131910802,-17
407,1,0,0,1,7.2153282,3928,2.84174950603289,-17
407,1,0,0,1,6.22979,3940,2.98607028074734,-16
407,1,0,0,1,7.1760904,3976,2.99832633424023,-17
407,1,0,0,1,5.6670908,3948,2.83424137703318,-17
