firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0241.vcc,0242.vcc,0237.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,3,0,0,1,7.0137281,3558,3982,3940,9.12267590708591,32.8416332655093,1.82453518141718,-21,-17,-16
407,3,0,0,1,6.3511016,3530,3988,3952,22.3180659164077,5.57951647910192,5.57951647910192,-22,-17,-17
407,3,0,0,1,6.8964089,3518,3990,3948,3.56136390265653,10.6840917079696,7.12272780531306,-20,-17,-17
407,3,0,0,1,6.5775927,3526,3972,3956,14.870817210889,29.741634421778,7.4354086054445,-21,-17,-17
407,3,0,0,1,6.4031194,3526,3980,3940,21.0248124323921,3.50413540539868,10.512406216196,-21,-17,-18
407,3,0,0,1,6.0336547,3538,3978,3956,7.34305774470465,14.6861154894093,3.67152887235232,-19,-17,-17
407,3,0,0,1,6.4100639,3530,3954,3960,7.33250182762608,7.33250182762608,21.9975054828782,-19,-17,-18
407,3,0,0,1,6.4309434,3530,3980,3960,4.10742729648314,12.3222818894494,8.21485459296628,-20,-18,-17
407,3,0,0,1,6.7543473,3530,3976,3960,34.1215845893275,8.53039614733189,4.26519807366594,-24,-17,-16
407,3,0,0,1,6.4268019,3538,3960,3964,17.1539533000775,5.71798443335918,28.5899221667959,-20,-17,-17
407,3,0,0,1,6.036492,3526,3986,3952,41.8904664838567,46.0795131322423,4.18904664838567,-20,-17,-17
407,3,0,0,1,6.8262712,3518,3984,3944,5.24967452017975,78.7451178026962,10.4993490403595,-19,-18,-18
407,2,0,0,1,6.3175049,3530,3980,3956,8.86227449388658,4.43113724694329,8.86227449388658,-22,-16,-18
407,3,0,0,1,6.7296378,3534,3970,3960,3.89457691847833,11.683730755435,15.5783076739133,-20,-17,-18
407,3,0,0,1,6.5960142,3538,3976,3956,35.3299619717122,8.83249049292805,4.41624524646402,-20,-17,-17
407,3,0,0,1,6.518042,3554,3978,3964,2.90978587176748,2.90978587176748,2.90978587176748,-20,-17,-16
407,3,0,0,3,11.5699896,3534,3970,3960,111.058790081117,44.4235160324469,7.40391933874116,-23,-16,-17
407,3,0,0,1,6.5769767,3530,3962,3948,3.53070940425634,10.592128212769,10.592128212769,-20,-16,-18
407,3,0,0,1,6.2973089,3522,3972,3944,6.00500336880689,36.0300202128413,18.0150101064207,-21,-17,-17
407,3,0,0,3,11.5308436,3526,3972,3948,33.711937116,67.4238742319999,5.61865618599999,-20,-18,-17
407,3,0,0,3,12.5548633,3538,3950,3956,6.41370171925688,115.446630946624,19.2411051577706,-21,-18,-17
407,3,0,0,1,7.0101513,3534,3974,3948,18.6973552590986,6.23245175303287,12.4649035060657,-20,-16,-19
407,3,0,0,1,6.2268222,3550,3972,3948,3.7092497189316,3.7092497189316,3.7092497189316,-22,-17,-16
407,3,0,0,1,6.4856728,3538,3992,3952,2.27510216915066,11.3755108457533,6.82530650745198,-22,-18,-17
407,3,0,0,1,6.3358907,3522,3960,3940,4.28985890225085,38.6087301202576,4.28985890225085,-20,-17,-17
407,3,0,0,1,6.9766765,3542,3958,3952,5.12216097825079,5.12216097825079,5.12216097825079,-19,-17,-17
407,3,0,0,1,6.0831587,3506,3970,3940,47.5775116961383,5.28639018845981,5.28639018845981,-25,-16,-16
407,3,0,0,1,6.3500518,3542,3990,3956,49.1683904284878,14.7505171285463,4.91683904284878,-24,-16,-16
407,3,0,0,1,6.3398619,3550,3974,3948,4.89028164110027,4.89028164110027,9.78056328220055,-21,-17,-18
407,3,0,0,1,6.6052329,3530,3978,3956,8.28474331379791,107.701663079373,33.1389732551916,-20,-18,-18
407,3,0,0,1,6.6213316,3542,3998,3960,7.93364930413962,55.5355451289773,23.8009479124189,-19,-17,-18
407,3,0,0,1,7.1610695,3554,3980,3956,3.51011069836109,10.5303320950833,7.02022139672219,-22,-18,-16
407,3,0,0,1,6.1339645,3506,3962,3914,3.91018003641942,46.922160437033,3.91018003641942,-20,-18,-16
407,3,0,0,1,6.1628797,3526,3984,3910,18.8068643174072,9.40343215870361,4.7017160793518,-21,-16,-17
407,3,0,0,1,6.176059,3542,3982,3960,28.7485378174238,38.3313837565651,3.19428197971375,-22,-17,-16
407,3,0,0,3,10.6296005,3534,3972,3956,36.9015264316408,9.22538160791021,46.1269080395511,-21,-16,-18
407,3,0,0,1,6.5022888,3530,3972,3948,5.2429504598854,47.1865541389686,5.2429504598854,-19,-18,-17
407,3,0,0,1,6.7323577,3542,3956,3928,8.56864253851176,17.1372850770235,51.4118552310706,-19,-17,-17
407,3,0,0,1,6.1965688,3534,3968,3948,6.24741513198914,56.2267361879023,49.9793210559131,-20,-17,-18
407,3,0,0,1,7.3499798,3546,3996,3960,5.10137191194828,10.2027438238966,25.5068595597414,-20,-18,-18
407,3,0,0,3,12.4985489,3550,3978,3956,49.9358097863292,22.6980953574224,4.53961907148447,-22,-17,-16
407,3,0,0,1,6.4855429,3538,3990,3928,9.36362904298093,70.227217822357,4.68181452149047,-21,-17,-18
407,3,0,0,1,6.2656287,3526,3932,3940,53.3560796229219,35.5707197486146,3.55707197486146,-23,-17,-17
407,2,0,0,1,6.8688147,3542,3988,3948,55.141656157586,38.5991593103102,5.5141656157586,-22,-19,-18
407,3,0,0,1,6.201601,3550,3988,3936,183.924517378068,31.9868725874901,7.99671814687252,-22,-18,-16
407,3,0,0,1,6.3456209,3546,3976,3956,80.1503085452919,53.4335390301946,6.67919237877433,-21,-17,-17
407,3,0,0,3,11.0903441,3542,3978,3956,3.89272127298214,46.7126552757857,11.6781638189464,-21,-16,-18
407,3,0,0,1,7.1234469,3538,3994,3944,30.6438268010909,11.4914350504091,3.83047835013637,-25,-17,-17
407,3,0,0,1,7.0098339,3546,3982,3960,5.80205590048778,17.4061677014633,11.6041118009756,-19,-17,-18
407,3,0,0,1,6.2826483,3538,3974,3940,58.7735851615686,31.6473150869985,4.52104501242835,-24,-17,-16
407,3,0,0,1,6.1343959,3534,3972,3936,69.6300555150486,9.94715078786408,218.83731733301,-23,-16,-17
407,3,0,0,1,6.1350949,3542,3982,3956,6.38931502070458,44.725205144932,25.5572600828183,-20,-17,-17
407,3,0,0,1,7.4007179,3554,3984,3924,17.3191762537929,23.0922350050572,5.7730587512643,-20,-18,-17
407,3,0,0,1,7.3283204,3522,3972,3940,47.0800372403095,117.700093100774,11.7700093100774,-22,-17,-16
407,3,0,0,1,6.2810362,3562,3946,3952,16.4416084496714,16.4416084496714,5.48053614989047,-22,-17,-17
407,3,0,0,1,6.8374921,3542,3974,3956,9.39408172851104,42.2733677782997,4.69704086425552,-20,-18,-17
407,3,0,0,2,14.8490441,3522,3990,3920,23.968009418469,4.7936018836938,19.1744075347752,-22,-17,-16
407,3,0,0,1,6.3533116,3562,3994,3956,8.05197063929426,80.5197063929426,24.1559119178828,-19,-18,-18
407,3,0,0,1,7.0253889,3542,3968,3960,4.2674514225336,4.2674514225336,12.8023542676008,-20,-16,-17
407,2,0,0,1,6.1818121,3538,3988,3952,6.91554323666787,20.7466297100036,6.91554323666787,-20,-19,-18
407,3,0,0,1,6.845154,3546,3974,3948,19.2913328864175,4.82283322160436,4.82283322160436,-20,-16,-17
407,3,0,0,1,6.1843045,3558,3980,3936,24.6071226793023,63.9785189661859,4.92142453586045,-21,-18,-18
407,3,0,0,1,6.1498395,3534,3980,3948,23.8206968506657,7.94023228355522,7.94023228355522,-22,-16,-16
407,3,0,0,1,6.7486167,3530,3976,3968,3.76710548422751,7.53421096845501,3.76710548422751,-19,-17,-16
407,3,0,0,3,11.1921607,3534,3934,3948,4.9816277568328,49.816277568328,9.9632555136656,-22,-18,-17
407,3,0,0,1,8.0763554,3534,3994,3952,5.28268994572036,5.28268994572036,31.6961396743222,-18,-17,-19
407,3,0,0,1,6.8370973,3518,3984,3928,8.58267064387624,21.4566766096906,4.29133532193812,-21,-18,-17
407,3,0,0,1,6.2200917,3542,3978,3948,6.14150645011715,36.8490387007029,6.14150645011715,-21,-18,-18
407,3,0,0,1,6.2661367,3534,3986,3952,8.72168070275815,43.6084035137907,104.660168433098,-22,-17,-16
407,3,0,0,1,6.2965827,3522,3982,3944,75.5522396517042,18.888059912926,9.44402995646302,-24,-17,-16
407,3,0,0,1,5.5569891,3526,3962,3932,54.0255602643548,7.71793718062211,23.1538115418663,-21,-17,-16
407,3,0,0,1,5.8827377,3530,3942,3948,40.5712666175561,5.79589523107945,5.79589523107945,-22,-16,-16
407,3,0,0,1,6.8421855,3538,3984,3980,10.8780508853464,7.25203392356429,3.62601696178214,-20,-18,-17
407,3,0,0,1,6.2312252,3538,3966,3944,40.2737000656461,10.0684250164115,10.0684250164115,-21,-17,-16
407,3,0,0,1,6.5692349,3530,3982,3936,4.71144518398429,56.5373422078115,4.71144518398429,-20,-17,-17
407,3,0,0,1,6.2672713,3530,3974,3952,4.34196443496931,4.34196443496931,4.34196443496931,-20,-17,-16
407,3,0,0,1,6.3126824,3538,3990,3956,13.7661408000881,9.17742720005874,4.58871360002937,-20,-18,-17
407,3,0,0,1,6.5878885,3546,3970,3964,73.7199309981446,31.0399709465872,3.8799963683234,-23,-17,-16
407,3,0,0,1,6.854444,3546,3970,3952,4.22288202407803,4.22288202407803,4.22288202407803,-19,-17,-17
407,3,0,0,1,6.5718495,3534,3972,3956,6.31732292070054,37.9039375242032,12.6346458414011,-19,-17,-19
407,3,0,0,1,6.6350209,3534,3972,3948,32.0608092789478,9.16023122255652,4.58011561127826,-20,-17,-18
407,3,0,0,1,6.3297458,3526,3980,3948,8.61241876336002,8.61241876336002,8.61241876336002,-20,-17,-16
407,3,0,0,1,6.7894751,3526,3970,3944,4.74305675778869,4.74305675778869,4.74305675778869,-19,-18,-17
407,3,0,0,1,6.706021,3562,3956,3960,4.76190249433215,4.76190249433215,9.52380498866429,-20,-16,-17
407,3,0,0,1,6.3684206,3526,3970,3924,7.85878085160893,27.5057329806312,3.92939042580446,-20,-17,-17
407,3,0,0,1,6.5420954,3546,3976,3952,9.86842429882378,9.86842429882378,4.93421214941189,-21,-18,-17
407,3,0,0,1,6.8390579,3522,3972,3936,3.79440113346351,15.177604533854,3.79440113346351,-20,-18,-17
407,3,0,0,1,6.3978714,3546,3994,3960,24.5279766101215,21.0239799515327,3.50399665858879,-24,-18,-16
407,3,0,0,1,6.2875063,3534,3966,3956,6.84383297078128,3.42191648539064,17.1095824269532,-23,-17,-17
407,3,0,0,1,6.2619798,3526,3986,3944,7.90765128523056,23.7229538556917,55.3535589966139,-19,-18,-18
407,3,0,0,1,6.302421,3542,3982,3944,14.2432591995431,3.56081479988577,14.2432591995431,-20,-18,-17
407,3,0,0,1,5.7121218,3538,3982,3952,4.70875635623249,4.70875635623249,14.1262690686975,-19,-17,-17
407,3,0,0,1,6.8208849,3558,3972,3956,8.38997967946922,4.19498983973461,4.19498983973461,-23,-16,-16
407,3,0,0,1,7.0544234,3538,3956,3956,17.0534289613836,34.1068579227673,5.68447632046122,-19,-16,-17
407,3,0,0,1,7.0806046,3550,3984,3948,41.3834609224846,29.5596149446319,5.91192298892638,-25,-17,-16
407,3,0,0,1,6.5012728,3534,3984,3952,3.45887313372177,6.91774626744353,6.91774626744353,-20,-17,-19
407,3,0,0,1,6.1397993,3534,3964,3936,4.43043638912346,4.43043638912346,4.43043638912346,-19,-17,-17
407,3,0,0,1,6.0387835,3530,3964,3944,90.968443047107,20.9927176262555,6.99757254208515,-23,-17,-16
407,3,0,0,1,5.8831628,3534,3970,3944,36.7141564280063,9.17853910700157,18.3570782140031,-24,-16,-17
407,3,0,0,1,6.4294887,3526,3992,3968,13.9727008357422,3.49317520893554,13.9727008357422,-21,-17,-17
