firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,3,12.8714745,3506,3428,3524,3506,2.40851264709991,16.8595885296994,185.455473826693,19.2681011767993,-18,-20,-20,-19
407,4,0,0,1,7.5523947,3534,3390,3540,3502,2.32231449293773,18.5785159435018,85.9256362386959,4.64462898587545,-18,-20,-19,-19
407,4,0,0,3,13.1094436,3550,3378,3556,3510,45.4756296100919,155.15214808149,104.326444399623,2.67503703588776,-20,-21,-18,-19
407,4,0,0,5,16.8915316,3542,3420,3528,3502,23.167215815486,141.577429983526,185.337726523888,2.57413509060956,-20,-22,-18,-19
407,4,0,0,1,8.1743784,3566,3390,3536,3502,63.3229401116411,49.5570835656322,110.126852368071,2.75317130920179,-19,-21,-18,-19
407,4,0,0,1,8.1825924,3558,3414,3562,3174,87.6818301953677,3.13149393554884,56.3668908398792,62.6298787109769,-19,-21,-18,-19
407,4,0,0,1,7.7379858,3534,3386,3546,3488,2.60597659885134,132.904806541418,57.3314851747294,2.60597659885134,-19,-22,-18,-19
407,4,0,0,1,9.4665987,3522,3378,3566,3226,2.32185778342454,37.1497245347926,67.3338757193115,27.8622934010944,-19,-21,-18,-19
407,4,0,0,3,12.6869707,3570,3394,3542,3468,30.1748709207032,2.51457257672527,85.4954676086591,2.51457257672527,-20,-20,-17,-18
407,4,0,0,6,23.5676178,3542,3420,3500,3460,62.7613280834977,4.48295200596412,31.3806640417488,2.24147600298206,-21,-22,-17,-18
407,3,0,0,5,19.5185145,3554,3428,3480,3444,2.52101327590801,78.1514115531484,78.1514115531484,2.52101327590801,-18,-21,-18,-18
407,4,0,0,1,8.1053264,3530,3370,3558,3500,2.96328694900272,2.96328694900272,74.082173725068,2.96328694900272,-19,-20,-19,-18
407,4,0,0,4,16.1343479,3538,3378,3542,3496,11.0326225823663,37.5109167800453,121.358848406029,2.20652451647325,-19,-22,-18,-19
407,4,0,0,4,15.746379,3538,3406,3500,3416,2.35472190027941,9.41888760111765,75.3511008089412,2.35472190027941,-21,-23,-18,-17
407,4,0,0,1,8.5834316,3542,3406,3518,3468,9.76664315347328,2.44166078836832,73.2498236510496,9.76664315347328,-22,-21,-17,-18
407,4,0,0,1,8.7488514,3558,3402,3540,3496,30.8208517445116,5.13680862408526,233.724792395879,2.56840431204263,-20,-22,-18,-18
407,4,0,0,1,8.8607442,3534,3410,3542,3358,4.99907642063129,2.49953821031564,47.4912259959972,77.485684519785,-19,-20,-19,-18
407,1,0,3,9,34.3484921,3550,3416,3484,3436,2.49534368867693,137.243902877231,129.7578718112,54.8975611508924,-18,-20,-18,-18
407,4,0,0,4,19.3012389,3522,3444,3472,3410,2.39053901156471,54.9823972659883,148.213418717012,2.39053901156471,-21,-21,-17,-18
407,4,0,0,4,17.8585093,3550,3428,3474,3480,10.9814301819337,2.19628603638675,65.8885810916025,2.19628603638675,-19,-20,-16,-16
407,4,0,0,3,14.2198458,3546,3402,3486,3502,2.67356517777604,2.67356517777604,104.269041933266,5.34713035555209,-19,-21,-19,-19
407,4,0,0,5,15.2284808,3562,3424,3454,3492,28.8665724041866,2.62423385492605,97.096652632264,2.62423385492605,-18,-19,-18,-17
407,4,0,0,1,8.0783993,3566,3416,3504,3464,73.8839989871175,127.617816432294,71.6450899269019,2.23890906021568,-23,-22,-17,-18
407,4,0,0,7,33.0773733,3566,3440,3494,3460,100.257238968406,2.63834839390542,63.32036145373,7.91504518171625,-21,-21,-17,-18
407,4,0,0,5,19.3351951,3530,3410,3472,3468,8.7091728492117,2.9030576164039,89.9947861085209,34.8366913968468,-18,-20,-19,-19
407,4,0,0,1,8.0158842,3530,3424,3496,3456,4.19241420381547,33.5393136305238,96.4255266877559,2.09620710190774,-21,-21,-17,-18
407,4,0,0,3,14.8553634,3522,3432,3454,3448,2.17742153226024,4.35484306452048,74.0323320968482,8.70968612904097,-20,-19,-17,-18
407,4,0,0,1,9.0436861,3518,3398,3536,3480,7.97820991308538,2.65940330436179,79.7820991308538,21.2752264348943,-20,-20,-17,-18
407,4,0,0,3,13.1728518,3526,3410,3544,3500,2.50612559749167,32.5796327673917,120.2940286796,2.50612559749167,-18,-20,-19,-18
407,4,0,0,1,8.6904912,3534,3436,3502,3476,50.437899651825,8.7718086351,59.209708286925,2.192952158775,-19,-20,-18,-17
407,4,0,0,2,16.1881415,3566,3444,3468,3460,47.6301120053147,37.2757398302463,107.685470620711,2.07087443501368,-19,-21,-17,-18
407,4,0,0,3,15.0262115,3554,3416,3486,3460,71.8556345967536,2.47778050333633,52.033390570063,2.47778050333633,-21,-21,-18,-18
407,4,0,0,1,8.440489,3538,3420,3522,3476,2.16558355005411,2.16558355005411,75.7954242518937,2.16558355005411,-19,-20,-18,-17
407,4,0,0,1,7.8859657,3562,3420,3530,3500,67.5050944570478,4.35516738432567,108.879184608142,2.17758369216283,-20,-20,-17,-18
407,4,0,0,1,9.5754362,3534,3448,3476,3406,2.70481099321742,5.40962198643483,110.897250721914,2.70481099321742,-20,-22,-17,-18
407,4,0,0,1,9.4810516,3534,3436,3506,3394,5.05743475782727,2.52871737891363,106.206129914373,2.52871737891363,-19,-19,-18,-18
407,4,0,0,1,8.1631501,3558,3420,3530,3496,46.8768195607593,7.40160308854094,125.827252505196,2.46720102951365,-19,-20,-19,-19
407,4,0,0,1,7.9642954,3562,3074,3514,3480,66.5770273570332,173.100271128286,34.6200542256572,2.66308109428133,-21,-21,-18,-19
407,4,0,0,1,7.9900259,3554,3444,3520,3484,68.8658843358736,66.7138254503775,75.3220609923617,2.15205888549605,-18,-20,-19,-19
407,4,0,0,1,8.1456429,3546,3428,3528,3488,78.6583851040246,2.18495514177846,21.8495514177846,10.9247757088923,-20,-21,-18,-19
407,4,0,0,3,13.847576,3526,3416,3530,3488,33.870481536636,2.2580321024424,90.321284097696,4.5160642048848,-20,-20,-18,-19
407,4,0,0,1,8.4882985,3530,3424,3530,3488,2.195911300994,4.391822601988,46.114137320874,2.195911300994,-19,-20,-18,-18
407,4,0,0,1,8.6046382,3538,3234,3488,3500,10.9932029026453,46.1714521911102,57.1646550937555,2.19864058052906,-20,-21,-18,-18
407,4,0,0,4,16.9843509,3518,3378,3562,3460,2.24036419360331,71.691654195306,15.6825493552232,91.8549319377358,-20,-23,-17,-19
407,4,0,0,1,8.1713193,3538,3414,3558,3496,2.4894193454271,141.896902689345,82.1508383990943,7.46825803628129,-20,-21,-18,-19
407,4,0,0,3,13.7092465,3518,3402,3476,3472,4.24496594794441,4.24496594794441,65.7969721931383,2.1224829739722,-20,-22,-18,-19
407,4,0,0,4,18.5244807,3530,3420,3520,3480,1.41946273619328,22.7114037790924,68.1342113372773,7.09731368096638,-19,-19,-20,-19
407,4,0,0,5,17.3594414,3522,3406,3546,3496,32.1485885067661,109.68341961132,54.8417098056599,1.89109344157448,-20,-21,-18,-20
407,4,0,0,1,8.2487174,3518,3428,3524,3492,94.2036907253399,41.6248865995688,56.9603711362521,2.19078350524046,-19,-20,-20,-18
407,4,0,0,1,8.8113962,3522,3406,3492,3480,8.09621706281794,42.5051395797942,97.1546047538153,2.02405426570449,-18,-19,-18,-18
407,4,0,0,1,8.1031072,3542,3414,3494,3416,38.8347740273031,146.201502220435,118.788720554104,2.2843984721943,-21,-22,-18,-18
407,4,0,0,1,10.3308066,3522,3424,3484,3386,4.54460449784052,6.81690674676078,52.262951725166,2.27230224892026,-21,-21,-17,-18
407,4,0,0,4,17.5551191,3522,3406,3538,3488,19.9573223748415,2.21748026387128,70.959368443881,6.65244079161385,-20,-20,-17,-18
407,4,0,0,3,13.6534125,3522,3410,3544,3416,38.2755148107105,78.565530400932,66.4785257238655,2.01450077951108,-19,-20,-19,-19
407,4,0,0,1,9.3380342,3514,3416,3462,3480,2.02855227903791,6.08565683711374,62.8851206501754,2.02855227903791,-18,-20,-18,-18
