firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
391,4,0,0,7,56.3303028,3726,3464,3464,3902,7.25970336489066,23.5940359358946,1.81492584122266,1.81492584122266,-17,-22,-22,-19
391,1,0,1,9,68.2480734,3648,0,2996,3320,41.047340484171,0,53.7524696816525,9.77317630575499,-24,0,-17,-19
391,3,1,0,10,51.5505172,3234,0,3952,3612,26.3240150869755,0,76.0471546957071,11.699562260878,-23,0,-20,-18
391,4,0,0,10,65.6473334,3768,2960,2304,3640,39.2351459351253,2.06500768079607,2.06500768079607,2.06500768079607,-19,-27,-31,-19
391,3,1,0,10,59.4384603,3752,2460,3264,2964,35.8764457416242,2.11037916127201,18.9934124514481,40.0972040641682,-17,-33,-26,-20
391,3,0,0,5,36.2703345,0,3690,3002,3906,0,45.3638440896799,15.4430107539336,58.8764784993718,0,-21,-25,-17
391,3,0,1,9,80.9683818,3666,0,3866,3104,32.9553547992883,0,48.4637570577769,4.84637570577769,-20,0,-18,-27
391,2,0,0,5,32.5615802,3742,2468,3366,2858,49.0488688595108,1.22622172148777,73.5733032892662,30.6555430371942,-18,-30,-23,-17
391,3,0,0,2,30.883774,3702,2424,3964,3132,53.8368341319911,2.34073191878222,32.7702468629511,7.02219575634666,-21,-32,-16,-27
391,2,1,1,10,66.1748252,0,3678,3944,3554,0,85.0398568124305,89.9272049050989,21.5043316077411,0,-18,-21,-21
391,2,0,0,2,21.4197019,3034,2296,2186,3820,45.8363256977167,0.975240972291844,2.92572291687553,16.5790965289613,-17,-33,-34,-18
391,0,2,1,10,63.9430378,3726,0,3960,2472,49.8390930223218,0,52.770804376576,11.7268454170169,-18,0,-16,-32
391,0,1,3,10,55.0429721,0,3070,3070,3136,0,51.1275308730701,34.7281341779344,43.410167722418,0,-20,-26,-18
391,3,0,0,2,41.3063043,2866,2496,2730,2902,32.2609376851936,8.4158967874418,79.9510194806971,1.40264946457363,-21,-31,-16,-28
391,3,0,1,10,83.1058738,0,3664,3944,3500,0,51.7168329704373,69.2810403943594,11.7094716159481,0,-19,-20,-23
391,0,1,3,10,69.4413624,3808,2932,3510,3944,25.673688277779,2.13947402314825,25.673688277779,34.231584370372,-17,-28,-23,-23
391,3,0,0,8,86.4533898,3062,2902,0,3250,10.7503605035664,128.027020542473,0,10.7503605035664,-26,-17,0,-25
391,2,0,0,8,51.1205695,3304,3018,3616,3928,2.15732741650334,4.31465483300668,77.6637869941202,19.4159467485301,-28,-29,-18,-17
391,0,4,0,10,20.9649017,3656,2764,3968,3346,68.9024062012166,2.15320019378802,6.45960058136405,2.15320019378802,-21,-29,-17,-22
391,0,1,2,10,72.9885657,3656,2166,3968,3092,84.7248099661024,1.92556386286596,65.4691713374427,13.4789470400617,-22,-34,-19,-22
391,1,0,2,9,114.9462965,2984,0,3518,0,13.8180862759853,0,80.9345053307709,0,-25,0,-22,0
391,0,1,2,10,49.4314886,3242,3026,3656,3784,18.7204322472924,1.87204322472924,74.8817289891697,39.3129077193141,-22,-28,-18,-17
391,2,1,0,10,73.3781517,3242,2752,2760,0,162.686275785775,11.6204482704125,9.6837068920104,0,-19,-31,-29,0
391,0,4,0,10,31.8086605,3584,3152,3722,3222,46.4738191760273,12.1236050024419,143.462659195562,2.02060083374032,-19,-26,-17,-25
391,2,1,1,10,100.7775663,3584,2656,3722,2916,32.972341151625,10.990780383875,84.2626496097082,1.83179673064583,-18,-32,-18,-28
391,0,3,1,10,40.3433597,2792,3026,3558,0,13.7576074655853,61.9092335951341,23.5844699410035,0,-26,-18,-21,0
391,3,0,0,1,22.3562126,3042,3026,3070,2792,4.1997801835052,4.1997801835052,25.1986811010312,16.7991207340208,-24,-28,-20,-18
391,0,1,3,10,58.4281012,2460,3702,3656,3902,1.27655196166463,122.548988319805,38.296558849939,285.947639412878,-30,-21,-18,-17
391,0,1,3,10,28.1747619,3000,2910,0,0,241.367719010298,1.96233917894551,0,0,-17,-28,0,0
391,0,1,2,10,29.3079225,0,3170,2624,3472,0,58.2200033274212,7.89423773931135,34.5372901094872,0,-26,-30,-21
391,0,2,2,10,26.4557764,0,3190,0,3432,0,73.3535143522019,0,27.385312024822,0,-25,0,-21
391,2,1,1,10,52.7457719,0,2832,0,3534,0,15.4048431286312,0,30.8096862572624,0,-30,0,-20
391,4,0,0,7,92.1920923,3206,2690,3984,3546,1.86094082468709,55.8282247406128,39.0797573184289,42.8016389678031,-25,-19,-17,-19
391,3,1,0,10,39.8431522,3690,3300,3616,2256,18.1068951418838,36.2137902837676,3.62137902837676,36.2137902837676,-18,-27,-20,-21
