firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
391,0,1,1,10,39.9771836,3458,3468,3838,3810,118.3970794485,27.0621895882285,3.38277369852856,135.310947941142,-47,-47,-16,-42
391,0,1,1,10,29.1836304,3496,3480,3844,3878,1.64210137742748,164.210137742748,44.3367371905419,119.873400552206,-19,-50,-20,-16
391,0,1,0,10,107.7545342,3490,3402,3862,3822,98.6271388152679,27.1581976447839,1.42937882340968,160.090428221884,-33,-35,-21,-43
391,0,1,0,10,181.0040413,3506,3476,3846,3912,261.778505715934,58.1730012702075,1.45432503175519,190.51657915993,-38,-35,-24,-21
391,0,1,0,10,60.6205289,3488,3482,3848,3794,3.34130233941283,157.041209952403,3.34130233941283,46.7782327517797,-32,-55,-18,-44
391,0,1,1,10,76.5458969,3530,3832,3796,3816,4.58487824626573,18.3395129850629,68.773173693986,169.640495111832,-31,-31,-50,-38
391,0,1,1,10,54.3338983,0,3542,3832,3816,0,128.849400235326,216.701264032139,153.252695734441,0,-46,-16,-45
391,0,1,1,10,35.5262583,0,3530,3882,3842,0,81.9812760691815,118.527146124118,264.710626343863,0,-21,-16,-16
391,0,1,1,10,20.5811195,0,3084,3304,3288,0,16.7753445853135,14.8017746341001,40.4581839998737,0,-16,-16,-17
391,0,1,0,10,24.7121626,3412,3462,3960,3788,112.577154929032,3.51803609153226,84.4328661967743,10.5541082745968,-40,-20,-31,-31
391,0,1,0,10,33.8925723,3442,3530,3954,3866,14.0599911703255,3.51499779258139,77.3299514367905,274.169827821348,-34,-16,-18,-23
391,0,1,0,10,23.5695092,3404,3458,3872,3850,163.596245375282,2.27217007465669,104.519823434208,106.791993508865,-25,-20,-18,-16
391,0,1,0,10,40.8254612,3364,3492,3868,3812,340.953029004947,2.41810658868757,2.41810658868757,152.340715087317,-50,-27,-20,-26
391,0,1,0,10,17.109893,3572,3564,3948,3888,52.3444078833296,2.18101699513873,181.024410596515,85.0596628104105,-22,-21,-16,-34
391,0,1,0,10,24.5657798,3570,3514,3926,3788,52.2681775654528,11.6151505701006,5.80757528505031,209.072710261811,-16,-17,-16,-16
391,0,1,0,10,24.9373212,3442,3464,3894,3874,57.4958110194829,2.05342182212439,240.250353188553,39.0150146203634,-20,-19,-16,-17
391,0,2,0,10,22.014685,3442,3408,3830,3900,2.3202189915493,20.8819709239437,167.055767391549,118.331168569014,-16,-29,-23,-20
391,0,1,0,10,25.1228599,3394,3398,3826,3814,29.2889985761886,3.66112482202357,252.617612719626,117.155994304754,-19,-44,-18,-16
391,0,1,0,10,44.3832417,3404,3386,3874,3842,3.56519076087945,74.8690059784684,64.17343369583,295.910833152994,-18,-20,-23,-29
391,0,1,0,10,29.5760176,3582,3722,3910,3830,2.99578253734393,50.9283031348468,11.9831301493757,122.827084031101,-24,-24,-15,-39
391,0,1,0,10,32.9537877,3398,3436,3840,3822,159.773737148382,1.45248851953074,146.701340472605,108.936638964806,-27,-27,-19,-15
391,0,1,0,10,26.1054667,3492,3326,3910,3816,10.0473683179349,10.0473683179349,80.3789465434792,5.02368415896745,-18,-46,-17,-15
391,0,1,0,10,30.6439742,3342,3608,3818,3832,5.48205640707119,32.8923384424272,296.031045981844,2.7410282035356,-17,-37,-16,-16
391,0,1,0,10,33.7019412,3380,3630,3798,3816,3.91700646697768,15.6680258679107,137.095226344219,137.095226344219,-19,-48,-15,-18
391,0,1,0,10,42.6054825,3590,3606,3972,3860,2.12615633670067,61.6585337643194,21.2615633670067,284.90494911789,-20,-17,-17,-18
391,0,4,0,10,14.1865434,3524,3484,3916,3936,120.090380349266,32.9014740682919,1.6450737034146,310.918929945359,-28,-23,-18,-19
