firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
391,4,0,0,1,11.7942665,3570,3482,3576,3656,3.857127374,11.57138212,15.42850949,3.857127374,-18,-20,-20,-18
391,4,0,0,1,11.9625562,3602,3544,3620,3676,5.902741705,29.51370853,53.12467535,11.80548341,-20,-20,-20,-18
391,4,0,0,10,96.5732351,3592,3054,3490,3692,23.84151685,38.14642697,9.536606742,4.768303371,-21,-25,-21,-16
391,1,0,3,9,76.115285,3590,3382,3590,3676,55.60146538,13.90036634,3.475091586,107.7278392,-18,-22,-20,-19
391,4,0,0,1,11.9024734,3568,3568,3510,3532,68.58668225,20.57600467,48.01067757,6.858668225,-18,-18,-20,-19
391,4,0,0,1,37.1470359,3600,3550,3572,3552,5.454841008,10.90968202,54.54841008,5.454841008,-17,-19,-20,-19
391,4,0,0,1,15.9353919,3588,3552,3528,3534,14.40331219,10.80248414,7.201656093,3.600828046,-19,-18,-20,-18
391,4,0,0,3,48.6379389,3592,3528,3626,3630,26.31949498,26.31949498,21.93291248,4.386582497,-20,-18,-19,-18
391,4,0,0,1,22.8973148,3560,3538,3548,3550,3.745447409,26.21813186,7.490894817,3.745447409,-18,-18,-20,-18
391,4,0,0,1,10.0069407,3584,3568,3578,3562,7.775891044,5.831918283,11.66383657,1.943972761,-20,-18,-19,-19
391,4,0,0,3,58.8130119,3584,3562,3568,3590,50.3613896,1.865236652,33.57425973,3.730473304,-19,-18,-19,-18
391,4,0,0,1,28.2627945,3610,3540,3564,3564,4.082392478,20.41196239,16.32956991,4.082392478,-18,-19,-19,-18
391,4,0,0,1,24.9542418,3582,3562,3612,3590,11.19645296,5.598226482,5.598226482,27.99113241,-19,-19,-19,-18
391,4,0,0,1,44.1894702,3590,3566,3576,3612,21.46427111,1.533162222,21.46427111,10.73213556,-19,-18,-20,-19
391,4,0,0,1,11.3290495,3582,3564,3570,3560,38.69778438,3.517980398,24.62586278,35.17980398,-19,-18,-19,-18
391,4,0,0,1,9.1540967,3580,3574,3564,3560,20.06460438,1.824054943,27.36082415,5.47216483,-18,-20,-20,-19
391,4,0,0,1,17.6328673,3592,3574,3636,3640,21.43350023,22.69429436,25.21588263,1.260794131,-18,-19,-20,-19
391,4,0,0,1,28.4347563,3616,3556,3598,3582,20.66261565,3.443769274,27.55015419,6.887538549,-18,-20,-19,-19
391,4,0,0,1,9.908876,3594,3580,3596,3564,10.39168333,31.17504998,41.56673331,176.6586166,-18,-18,-19,-18
391,4,0,0,1,34.8971627,3576,3572,3602,3576,20.92759471,48.83105432,41.85518942,3.487932451,-19,-18,-19,-18
391,4,0,0,1,18.7990791,3592,3576,3610,3580,7.964294475,15.92858895,7.964294475,63.7143558,-18,-18,-20,-19
391,3,0,0,1,10.6923656,3562,3564,3560,3536,3.506204404,3.506204404,14.02481762,3.506204404,-18,-19,-20,-19
391,4,0,0,1,10.9483893,3584,3572,3564,3566,52.05391745,30.36478518,4.337826454,73.74304972,-20,-18,-19,-18
391,4,0,0,3,16.0796311,3576,3564,3534,3522,3.803095492,11.40928647,7.606190983,7.606190983,-18,-18,-20,-19
391,4,0,0,3,16.3966706,3576,3562,3540,3510,17.01630204,4.254075511,12.76222653,21.27037755,-18,-19,-20,-19
391,4,0,0,1,28.8972408,3596,3574,3598,3584,42.73881739,21.36940869,17.80784058,3.561568116,-18,-20,-21,-19
391,4,0,0,1,16.1786431,3606,3560,3640,3624,22.29932834,7.433109448,3.716554724,14.8662189,-18,-20,-20,-19
391,4,0,0,1,11.539439,3604,3554,3596,3524,34.1538074,4.269225925,34.1538074,4.269225925,-18,-20,-20,-19
391,4,0,0,1,11.9151794,3572,3562,3528,3534,17.43864648,4.359661621,39.23695458,21.7983081,-18,-20,-20,-19
391,4,0,0,1,21.3554396,3580,3572,3650,3642,34.30138372,34.30138372,4.900197674,4.900197674,-18,-20,-20,-19
391,4,0,0,1,23.704054,3608,3566,3686,3662,22.24564606,7.415215355,17.30216916,1.235869226,-19,-19,-20,-18
391,4,0,0,1,24.1991394,3608,3570,3616,3592,34.63373783,13.85349513,69.26747566,6.926747566,-18,-20,-19,-18
391,4,0,0,1,10.7978059,3612,3566,3524,3508,24.80369646,63.78093375,21.26031125,3.543385208,-19,-18,-20,-19
391,4,0,0,4,105.9298302,3532,3526,3576,3568,6.959344207,3.479672104,10.43901631,3.479672104,-18,-19,-20,-20
391,4,0,0,1,19.7209464,3584,3572,3578,3594,29.44991968,3.681239959,88.34975903,136.2058785,-19,-18,-19,-19
391,4,0,0,1,14.8576561,3604,3574,3630,3624,9.011874948,18.0237499,18.0237499,252.3324985,-18,-19,-19,-18
391,4,0,0,1,10.3299852,3574,3564,3500,3494,51.33808439,17.1126948,34.22538959,4.278173699,-19,-18,-20,-19
391,4,0,0,1,25.644399,3602,3582,3616,3592,4.566729277,4.566729277,27.40037566,4.566729277,-18,-20,-19,-18
391,4,0,0,1,10.5029445,3584,3576,3570,3508,11.42525484,3.80841828,45.70101936,26.65892796,-20,-18,-20,-19
391,4,0,0,1,19.5041237,3598,3580,3628,3632,4.790657834,19.16263134,9.581315668,4.790657834,-17,-19,-21,-19
391,4,0,0,1,10.9556948,3576,3572,3502,3506,16.49499501,20.61874376,24.74249251,4.123748752,-19,-18,-20,-19
391,4,0,0,1,25.6824777,3582,3574,3584,3610,26.56628154,17.07832385,34.1566477,1.897591539,-18,-19,-20,-19
391,4,0,0,1,23.9821185,3600,3572,3642,3612,12.90915569,3.227288922,12.90915569,19.36373353,-19,-18,-20,-18
391,4,0,0,1,16.3427767,3578,3572,3508,3518,85.87563376,51.52538026,34.3502535,5.725042251,-19,-18,-20,-19
391,4,0,0,1,12.164289,3546,3532,3540,3522,90.2020639,3.758419329,15.03367732,1.879209665,-19,-19,-20,-19
391,0,3,1,10,15.3587427,3616,0,2936,3792,24.08171369,0,30.82459352,26.00825078,-18,0,-25,-18
391,4,0,0,3,46.6406829,3548,3370,3566,3618,4.976139412,4.976139412,34.83297588,4.976139412,-18,-21,-20,-19
391,4,0,0,3,32.5876664,3530,3348,3568,3610,14.31358488,3.57839622,28.62716976,3.57839622,-19,-22,-20,-19
391,4,0,0,1,26.7466799,3594,3478,3586,3596,29.56005402,3.695006753,33.25506077,25.86504727,-20,-21,-20,-19
391,4,0,0,1,26.3228063,3598,3478,3592,3622,42.37515573,7.062525955,42.37515573,35.31262977,-18,-21,-20,-20
391,4,0,0,3,43.1161429,3574,3476,3592,3630,4.889781872,4.889781872,29.33869123,9.779563743,-18,-21,-19,-18
391,4,0,0,1,24.0604127,3588,3476,3478,3540,49.28320319,49.28320319,5.475911465,5.475911465,-20,-21,-21,-19
391,3,0,0,1,23.8377249,3590,3484,3568,3616,43.04421609,48.42474311,5.380527012,32.28316207,-19,-19,-20,-18
391,4,0,0,1,26.8812961,3596,3480,3616,3620,35.89944995,7.17988999,35.89944995,78.97878989,-19,-20,-20,-18
391,4,0,0,7,50.877094,3582,3474,3512,3582,16.19400854,5.398002847,10.79600569,5.398002847,-18,-20,-21,-18
391,4,0,0,1,42.2988251,3570,3416,3556,3632,28.46074676,14.23037338,64.03668021,3.557593345,-18,-21,-20,-19
391,3,0,0,3,41.9124296,3580,3434,3566,3592,20.94061034,55.84162756,6.980203445,27.92081378,-18,-21,-20,-20
391,3,0,0,7,34.7170529,3598,3422,3614,3654,6.451209182,12.90241836,12.90241836,45.15846428,-18,-21,-19,-19
391,4,0,0,3,33.2944618,3562,3458,3518,3592,4.892236266,4.892236266,34.24565386,4.892236266,-19,-20,-20,-18
391,4,0,0,1,19.221835,3556,3440,3528,3648,3.800818848,3.800818848,11.40245655,64.61392042,-19,-20,-20,-18
391,4,0,0,1,23.7221612,3582,3482,3592,3592,21.68366995,1.971242723,59.13728168,29.56864084,-18,-19,-20,-18
391,4,0,0,1,21.4534494,3600,3470,3600,3640,5.315490296,154.1492186,180.72667,69.10137384,-17,-20,-20,-19
391,4,0,0,1,23.5604792,3582,3476,3592,3600,47.32997417,37.86397933,9.465994833,198.7858915,-17,-21,-22,-20
391,4,0,0,1,24.4710301,3586,3482,3578,3618,4.900596305,14.70178891,49.00596305,29.40357783,-18,-20,-20,-19
391,4,0,0,1,25.6245905,3586,3494,3552,3592,55.64820595,3.478012872,20.86807723,59.12621883,-20,-19,-20,-18
391,4,0,0,1,28.9373638,3560,3492,3546,3562,4.613680393,23.06840196,27.68208236,4.613680393,-19,-19,-19,-18
391,4,0,0,1,14.7392361,3584,3482,3508,3606,3.716148673,3.716148673,3.716148673,14.86459469,-19,-19,-21,-18
391,4,0,0,1,19.5179358,3580,3484,3596,3576,5.947796193,35.68677716,11.89559239,17.84338858,-18,-21,-20,-19
391,4,0,0,1,22.2429621,3548,3488,3506,3542,26.32717482,57.04221211,35.10289976,4.38786247,-19,-19,-19,-18
391,4,0,0,3,43.390535,3560,3492,3514,3556,6.631425063,3.315712532,16.57856266,3.315712532,-20,-19,-20,-18
391,4,0,0,1,20.8201283,3590,3478,3560,3612,3.637882287,3.637882287,14.55152915,3.637882287,-20,-20,-20,-18
391,4,0,0,1,22.3687421,3592,3492,3574,3576,24.58315745,3.511879635,52.67819453,45.65443526,-18,-20,-20,-19
391,4,0,0,1,18.918454,3604,3478,3628,3626,21.80427069,32.70640604,5.451067673,38.15747371,-19,-19,-20,-19
391,4,0,0,1,7.663667,3592,3498,3482,3540,21.96021249,4.392042497,35.13633998,8.784084995,-19,-20,-20,-19
391,4,0,0,1,22.8496228,3592,3474,3606,3606,32.97841958,39.5741035,46.16978741,3.297841958,-18,-20,-19,-18
391,4,0,0,1,19.6214399,3598,3484,3620,3634,26.89202181,3.361502726,84.03756815,3.361502726,-18,-20,-20,-19
391,4,0,0,1,20.4973825,3572,3478,3564,3590,11.83827029,59.19135143,65.11048658,5.919135143,-18,-20,-21,-20
