firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,2,85.3135474,3628,3722,3760,3628,8.39046499660877,22.5618334274879,21.9932661129865,15.2594605967954,-17,-19,-16,-16
407,4,0,0,1,48.0185683,3636,3750,3750,3648,7.36664516424795,20.2901603070493,21.9213588853051,15.1822051869633,-17,-17,-17,-17
407,4,0,0,1,73.1399888,3686,3714,3768,3632,5.2848931103944,16.898545185726,22.2649750662095,14.1013061878104,-17,-17,-17,-17
407,4,0,0,2,88.2415278,3620,3678,3750,3628,6.4962195250474,24.5784865571389,22.0854483934281,14.0589492811125,-17,-19,-16,-16
407,4,0,0,6,272.4277595,3670,3694,3706,3592,7.67692807886263,24.0327208928202,22.3914257404121,15.2180301675466,-17,-19,-16,-16
407,4,0,0,3,96.0779755,3632,3678,3752,3648,8.62331951455555,24.8713535647009,22.9019812640574,15.8699671599596,-16,-18,-17,-16
407,4,0,0,7,243.5875957,3616,3674,3752,3640,6.57911401045355,24.9281852835073,22.2755313385993,13.2260089147885,-17,-19,-16,-16
407,4,0,0,2,104.1969646,3678,3690,3726,3632,8.08977566846399,19.7128138711186,22.6488816644082,15.4777391202135,-17,-16,-16,-16
407,4,0,0,1,52.6152663,3644,3656,3764,3648,8.30814387192803,16.5414798283546,22.5714454860105,15.3661957985892,-16,-18,-16,-16
407,4,0,0,3,125.3251784,3644,3648,3702,3640,8.01167411849938,27.164767737336,22.6709553322856,15.6763157538794,-17,-18,-16,-17
407,4,0,0,2,71.6610589,3652,3734,3746,3632,8.69017950928942,20.3179491209924,22.0941695910199,14.4329604970785,-19,-17,-17,-16
407,4,0,0,2,132.9237364,3674,3726,3756,3644,6.41191312941323,18.9446074504364,22.5539253457466,16.4469893369212,-17,-19,-16,-16
