firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,1,7.5675647,3522,14.2771708342411,-18
407,1,0,0,1,7.7620218,3522,13.7850925458323,-18
407,1,0,0,1,6.8958279,3514,16.5317504230642,-19
407,1,0,0,1,8.9965177,3518,17.6735289051955,-19
407,1,0,0,1,6.9167702,3510,16.0479950133819,-18
407,1,0,0,1,6.3613142,3496,14.1480339286831,-17
407,1,0,0,1,9.447766,3472,17.9936820160325,-18
407,1,0,0,1,6.0764179,3510,16.9507921138069,-17
407,1,0,0,2,12.2176363,3500,15.2239006072454,-17
407,1,0,0,1,6.8559389,3518,16.6279352462693,-18
407,1,0,0,1,10.2966623,3502,15.0534299157512,-20
407,1,0,0,1,5.9749724,3506,15.0628588161256,-19
407,1,0,0,1,6.5457562,3514,15.8881755980722,-18
407,1,0,0,1,7.5243287,3518,16.6127924881471,-19
407,1,0,0,1,4.9700643,3502,14.8891646558917,-19
407,1,0,0,1,6.988177,3496,17.171906366231,-19
407,1,0,0,1,5.3815829,3500,17.2811782418817,-17
407,1,0,0,1,7.0383894,3514,17.191446706842,-19
407,1,0,0,1,10.090167,3464,15.8570309475628,-19
407,1,0,0,1,9.6671326,3506,16.1371642409543,-19
407,1,0,0,1,7.9760037,3502,14.7943870446606,-19
407,1,0,0,1,7.6533257,3522,15.6794692102459,-18
407,1,0,0,1,8.2691109,3514,15.2374395790171,-19
407,1,0,0,1,6.3103875,3518,16.7977155233663,-18
407,1,0,0,1,8.0175662,3510,16.5885986013018,-18
407,1,0,0,1,7.2662513,3480,17.3404543331153,-17
407,1,0,0,1,6.1424298,3502,16.4430255108331,-17
407,1,0,0,1,8.3860927,3500,15.6211114909731,-20
407,1,0,0,1,5.6870443,3480,15.8254618951188,-19
407,1,0,0,1,6.1397827,3496,15.4728736582535,-19
407,1,0,0,1,7.5703125,3500,16.1155932935196,-17
407,1,0,0,1,8.3916607,3506,16.5640760487476,-19
