firmware_size,done,not_done,missing,attempts,duration_sec,0241.vcc,0242.vcc,0241.ReadRate,0242.ReadRate,0241.peak_rssi,0242.peak_rssi
407,2,1,0,11,38.6737621,3328,3496,14.1801002691011,16.4270136490003,-19,-17
407,2,1,0,11,30.9586747,3346,3510,12.3103604851597,19.734701901442,-19,-18
407,2,1,0,11,28.6505405,3332,3484,13.1819117604025,16.8245219046072,-19,-18
407,2,1,0,11,37.9468784,3300,3514,15.253517605747,17.303288666624,-19,-17
407,2,1,0,11,35.6863498,3328,3484,13.3617506935776,15.3880488134145,-19,-17
407,2,1,0,11,37.9445474,3280,3502,15.322343978727,16.3902913797709,-19,-18
407,2,1,0,11,28.0920003,3324,3488,14.310313650995,16.7524710200138,-19,-19
407,2,1,0,11,36.1311676,3308,3488,12.7645823520718,18.0710943173658,-20,-17
407,2,1,0,11,33.6307924,3324,3496,14.4135115214906,17.6381520118241,-20,-17
407,2,1,0,12,38.9600748,3324,3492,13.196940888964,17.1826749379624,-19,-19
407,2,1,0,11,34.022889,3292,3496,14.0773760142636,15.9419838087021,-19,-17
407,2,1,0,11,38.31042,3300,3502,15.502013565258,17.4600372888196,-20,-20
407,2,1,0,11,35.3671143,3300,3492,14.0673428577347,18.8924583195634,-19,-18
407,2,1,0,11,42.9916681,3292,3506,14.3751861210415,17.436002047548,-19,-17
407,2,1,0,11,36.9548943,3334,3464,14.0474253566641,16.723004111699,-19,-18
407,2,1,0,11,39.144965,3288,3500,15.095700497873,16.9775380984228,-19,-17
407,2,1,0,11,26.3009224,3328,3500,13.2056757484495,17.4936631448035,-19,-17
407,2,1,0,11,42.006366,3296,3496,14.5093354311298,17.0847412364805,-19,-18
407,2,1,0,11,36.4522361,3292,3500,13.9712463831127,17.3802167002732,-20,-18
407,2,1,0,11,29.966164,3366,3492,13.8447823270858,19.4013632613078,-19,-18
407,2,1,0,11,44.9398993,3280,3448,16.2033014678626,17.4803240505338,-19,-17
407,2,1,0,11,33.7700431,3288,3476,13.3235883073225,18.0909563774567,-20,-17
407,2,1,0,11,29.4045036,3332,3500,13.0873400882843,17.2432319236997,-20,-18
407,2,1,0,11,33.5832768,3316,3496,13.4021021509328,17.9563333161068,-19,-17
407,2,1,0,11,33.4400329,3346,3484,12.6505918345194,15.9556477432172,-19,-18
407,2,1,0,11,29.5345567,3362,3502,13.5145499968079,20.184373797677,-20,-17
407,2,1,0,11,38.7294959,3328,3488,14.7287429472771,18.5429628895394,-19,-18
407,2,1,0,11,29.9378584,3324,3502,12.7670827235543,19.5899827149999,-20,-17
407,2,1,0,11,30.3703787,3280,3500,14.286593011462,17.0680048155831,-19,-17
407,2,1,0,11,37.9321224,3342,3488,14.6660296311946,17.9180000645048,-19,-17
407,2,1,0,11,36.5364316,3292,3480,13.0412183027891,18.0258012586219,-20,-19
407,2,1,0,11,48.7005569,3320,3500,14.7110652053359,18.9685286040412,-19,-19
407,2,1,0,11,33.671061,3320,3496,15.4736750083996,19.9566794305328,-19,-19
407,2,1,0,11,33.3051361,3288,3496,14.3564130778829,16.0711465998194,-19,-19
407,2,1,0,11,35.9048176,3332,3480,13.9159478261558,19.2711786021826,-19,-19
407,2,1,0,11,42.8181806,3288,3496,15.005273545675,17.8840706766224,-20,-19
407,2,1,0,12,42.2226347,3354,3492,13.275944633038,16.2261687735583,-20,-18
407,2,1,0,11,40.2865556,3320,3518,15.0066068584615,17.3808215523664,-19,-18
407,2,1,0,11,45.214138,3338,3480,14.49600003964,17.8913848183955,-19,-19
407,2,1,0,12,45.9630772,3324,3484,15.2775628857138,17.0406281916448,-20,-19
407,2,1,0,12,45.1746209,3284,3488,14.688811002095,17.8795171022354,-19,-19
407,2,1,0,12,34.2789472,3350,3476,13.4360044921153,15.0288736660081,-19,-18
407,2,1,0,11,39.7741775,3324,3468,14.7850880464031,17.3067622935936,-20,-17
407,2,1,0,11,34.5554984,3334,3510,13.0958193187869,20.1675646061247,-19,-18
407,2,1,0,11,37.1429177,3338,3500,16.0349527079074,18.3541102111663,-19,-18
