firmware_size,done,not_done,missing,attempts,duration_sec,0241.vcc,0242.vcc,0241.ReadRate,0242.ReadRate,0241.peak_rssi,0242.peak_rssi
407,2,0,0,2,11.5930041,3800,3746,13.6034201718996,3.39664221537157,-16,-16
407,2,0,0,1,6.4652941,3812,3816,3.90242988699344,34.5098640694799,-18,-18
407,2,0,0,1,6.2246668,3824,3828,4.71245539660967,9.39909251761742,-16,-16
407,2,0,0,1,6.1102857,3832,3832,3.81861866815746,11.2286375171237,-16,-16
407,2,0,0,1,5.1823672,3828,3808,7.70092087611837,14.8232256228349,-17,-17
407,2,0,0,1,6.1201436,3804,3780,4.97496597123276,44.5000640306477,-18,-17
407,2,0,0,1,5.6781076,3780,3808,6.89721290523712,13.2886480395258,-18,-18
407,2,0,0,1,6.3087117,3804,3804,6.63351237183225,92.2752438702874,-18,-18
407,2,0,0,1,6.3273071,3796,3776,6.84219169084241,33.7530183636672,-18,-19
407,2,0,0,1,8.3117434,3816,3816,7.21654580756576,17.5810080106105,-18,-17
407,2,0,0,1,6.8634392,3800,3750,3.95205056095406,74.6333733734835,-16,-17
407,2,0,0,1,6.4399788,3788,3788,5.16291047719749,41.1493211133566,-18,-19
407,2,0,0,1,6.0472966,3820,3816,4.08950453198892,4.08144773849022,-18,-18
407,2,0,0,1,5.6302107,3816,3816,27.900228781876,13.8221299211102,-17,-18
407,2,0,0,1,6.1943408,3792,3792,21.3189084860981,7.08517872717598,-17,-17
407,2,0,0,1,5.9555692,3808,3812,27.9678686479726,4.64472067114356,-18,-17
407,2,0,0,1,6.3127896,3820,3820,5.87351847838281,23.2209015979463,-18,-18
407,2,0,0,1,5.5004534,3800,3800,4.02775445036659,31.8944930170994,-18,-17
407,2,0,0,2,9.7604017,3834,3828,3.9445677779303,62.519732790662,-18,-17
407,2,0,0,1,6.5322088,3784,3784,7.63792566159712,90.3948673794302,-18,-18
407,2,0,0,1,5.9637561,3828,3828,44.88028184817,26.6759854775935,-17,-18
407,2,0,0,1,6.9442522,3834,3828,3.85741155341049,26.9473295196446,-18,-18
407,2,0,0,1,6.8051012,3784,3808,8.98761686148824,43.5932712913896,-17,-16
407,2,0,0,1,6.1994684,3824,3828,4.51602647475361,85.5346500867501,-17,-17
407,2,0,0,1,5.7663746,3832,3832,5.21486821506534,119.456814284126,-18,-18
407,2,0,0,1,6.4874665,3834,3828,24.032568937424,9.54083764738209,-17,-17
407,2,0,0,1,6.7909828,3820,3812,6.27631344411445,31.2731030048448,-18,-18
407,2,0,0,1,6.2512711,3808,3808,3.77885533937144,131.979848562551,-17,-17
407,2,0,0,1,6.6184104,3808,3808,6.65762561108681,6.5682825517515,-17,-17
407,2,0,0,1,6.519633,3832,3832,5.03304951967092,20.0607841760534,-17,-17
407,2,0,0,1,7.4527613,3792,3804,7.48191061062117,59.4818977996903,-18,-17
407,2,0,0,1,6.5765484,3828,3832,29.6275666731354,7.40357400131339,-17,-17
407,2,0,0,1,5.6908037,3796,3800,4.5526021307999,104.399011205191,-19,-18
407,2,0,0,1,6.0562336,3816,3816,4.55285085862214,31.7580580401195,-17,-18
407,2,0,0,1,5.7310384,3824,3824,4.53528108538347,72.1612334519634,-18,-18
407,2,0,0,1,5.0733957,3792,3792,6.34089675498268,36.6107254781361,-18,-18
407,2,0,0,1,6.7663412,3812,3812,3.52366156358254,31.5981057988844,-16,-16
407,2,0,0,1,5.1495202,3792,3788,14.1430913120404,14.0098470544997,-17,-18
407,2,0,0,1,7.3374354,3796,3808,2.35174648925405,161.858188300186,-17,-17
407,2,0,0,1,6.1573519,3792,3804,4.00767068168475,23.7779519732926,-18,-18
407,2,0,0,1,7.4017139,3804,3792,5.7515624119292,11.3432314370853,-18,-17
407,2,0,0,1,5.8398824,3780,3784,5.99557047253489,101.307582932175,-18,-18
407,2,0,0,1,6.671379,3796,3780,4.58063591136103,41.1299399914176,-19,-17
407,2,0,0,1,6.0610318,3808,3812,7.27176475550145,14.0873840432201,-17,-17
407,2,0,0,1,6.4016181,3824,3828,10.0141600222715,43.3966248998261,-17,-18
407,2,0,0,1,5.7366904,3792,3796,23.2031751224838,22.4144384846943,-18,-19
407,2,0,0,2,7.2528592,3804,3800,6.13315571714376,73.1771123945564,-17,-18
407,2,0,0,1,6.8546262,3768,3772,16.1873196631419,12.0999211488472,-18,-17
407,2,0,0,1,6.0515663,3804,3800,5.70433734994741,11.3721202237806,-17,-17
407,2,0,0,1,5.2071983,3788,3808,7.98939008996053,39.8941050874559,-17,-18
407,2,0,0,1,6.2307805,3780,3784,6.0628658560615,54.1989426388502,-19,-17
407,2,0,0,1,5.8328281,3788,3788,6.41306006856844,25.6406804780192,-18,-18
407,2,0,0,1,6.7294905,3780,3784,6.2154305521975,12.425169417185,-18,-18
407,2,0,0,1,6.2185805,3812,3804,3.54571328582314,81.3616113278003,-17,-18
407,2,0,0,1,5.637897,3800,3800,5.59559827857015,11.1878160208407,-17,-17
407,2,0,0,1,5.7758088,3812,3812,5.83780022347099,5.83595708237162,-17,-17
407,2,0,0,1,5.8009607,3792,3792,4.82422920877817,19.2915096619115,-17,-18
407,2,0,0,1,6.3811905,3780,3784,3.67119324794138,153.661928391346,-17,-18
407,2,0,0,1,5.9704648,3832,3828,34.0872873166317,5.67930766967784,-17,-17
407,2,0,0,1,6.2840858,3764,3788,10.2012710783764,203.821240619127,-17,-18
407,2,0,0,3,10.2844393,3800,3804,11.4280490034741,5.71230762376,-18,-17
407,2,0,0,1,6.1030792,3792,3800,8.74446529999419,4.36903299318955,-18,-18
407,2,0,0,1,7.1012328,3804,3796,19.6855625100273,4.91947798435212,-19,-19
407,2,0,0,1,6.1965286,3784,3788,4.95842115936812,9.91161318938367,-18,-18
407,2,0,0,1,6.9630448,3792,3792,4.81190503801646,14.4266905316187,-18,-19
407,2,0,0,1,6.0782018,3800,3800,13.2134870061872,6.60257328691284,-16,-16
407,2,0,0,1,5.3372304,3824,3808,5.24776537031119,10.4923592017203,-17,-17
407,2,0,0,1,4.9566595,3820,3816,24.8863781298509,6.21679068127944,-18,-17
407,2,0,0,1,7.0211286,3808,3812,4.63475360722873,32.4294474207471,-17,-17
407,2,0,0,1,6.0114138,3808,3812,3.6003237411108,118.623962040332,-17,-18
407,2,0,0,1,5.6217219,3796,3808,4.86056261012212,102.03085121424,-17,-18
407,2,0,0,1,5.0356756,3792,3792,6.08949239818217,12.1751369094145,-18,-18
407,2,0,0,1,5.5156709,3816,3800,3.56407130993877,46.3228890659453,-16,-16
407,2,0,0,1,5.5373143,3828,3816,5.54452503103548,82.9533149803732,-17,-18
407,2,0,0,1,5.5866513,3792,3784,37.6362668085136,6.26860600620216,-18,-17
407,2,0,0,2,11.0130719,3780,3776,6.37204862637748,44.5773557222041,-18,-18
407,2,0,0,2,11.1567375,3800,3756,7.44954423688359,29.7492878764215,-18,-19
407,2,0,0,1,6.7289602,3776,3780,6.46835969513327,51.7250966289461,-18,-18
407,2,0,0,1,5.8255031,3816,3816,7.21417440988053,7.21039277172545,-17,-18
407,2,0,0,1,5.8534484,3800,3804,4.44432790429051,44.4154066385932,-17,-18
407,2,0,0,1,4.6927163,3824,3828,6.32438264538807,12.6444549955397,-17,-17
407,2,0,0,1,5.6411349,3796,3796,4.04190158535506,4.04092976944879,-17,-17
407,2,0,0,1,5.526149,3800,3796,6.78852522005004,27.1334893056744,-17,-18
407,2,0,0,2,10.6134685,3768,3788,3.76513395593588,7.52863516384569,-17,-17
407,2,0,0,1,5.6468414,3820,3796,10.0151729870754,20.0160128102482,-18,-19
407,2,0,0,1,5.1744152,3816,3812,23.3969027180182,5.84473348599777,-17,-16
407,2,0,0,1,6.5027826,3780,3780,5.09931944482689,56.0790163536608,-17,-18
407,2,0,0,1,5.8983696,3788,3792,5.18294231488862,31.0894843446311,-17,-17
407,2,0,0,1,6.5149978,3788,3788,4.06551991901484,24.3865958263154,-17,-18
407,2,0,0,1,5.5791259,3808,3804,3.65217289678667,207.531122386564,-17,-17
407,2,0,0,1,5.8566947,3792,3792,3.8528667254871,15.4039592026141,-17,-18
407,2,0,0,1,6.0520793,3788,3784,3.73208830867356,141.289782369117,-19,-18
407,2,0,0,1,6.3184981,3780,3780,6.81843131078205,6.8131818717582,-18,-17
407,2,0,0,1,5.7791295,3832,3828,5.9462259006897,59.4159059945302,-17,-17
407,2,0,0,1,6.1111698,3784,3780,16.835427800847,4.20731635484843,-18,-17
407,2,0,0,1,5.4444052,3834,3824,32.4490603833748,5.4065831637919,-18,-17
407,2,0,0,1,7.341535,3776,3776,6.51106099041051,71.5950065737233,-17,-18
407,2,0,0,1,7.1250025,3792,3792,5.52927919210596,16.5468399672373,-19,-19
407,2,0,0,1,5.8574903,3800,3780,3.63944326708455,127.123922942563,-17,-17
407,2,0,0,1,6.3551467,3784,3784,18.8366308425342,4.70739758115083,-19,-17
