firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,1,6.3625723,3924,13.6737304267425,-17
407,1,0,0,1,4.7853398,3940,16.9267195917125,-17
407,1,0,0,1,5.7222928,3914,16.6017549697703,-17
407,1,0,0,1,4.5156062,3920,16.1661773186938,-17
407,1,0,0,2,6.6322998,3914,12.9668548343262,-17
407,1,0,0,1,5.8988314,3916,13.0534457570673,-17
407,1,0,0,1,4.2061332,3928,14.0271530972703,-17
407,1,0,0,1,5.0605369,3928,13.6349319685069,-17
407,1,0,0,1,5.0199953,3916,13.1474386438919,-16
407,1,0,0,1,5.9938049,3928,14.1813214078542,-16
407,1,0,0,1,4.4113179,3910,11.334495119083,-18
407,1,0,0,1,4.4878508,3940,17.1574553042719,-16
407,1,0,0,1,5.9998245,3920,18.167212894201,-16
407,1,0,0,1,6.2539642,3920,15.3502762753917,-17
407,1,0,0,1,4.5366148,3914,15.6504547206555,-16
407,1,0,0,1,5.8825961,3920,14.2794221117871,-17
407,1,0,0,1,5.4773149,3924,14.7882816487758,-17
407,1,0,0,1,5.5865796,3902,17.1840568397048,-17
407,1,0,0,1,5.7497313,3914,12.8701785093759,-17
407,1,0,0,1,5.0301586,3910,15.7052901898277,-17
407,1,0,0,1,4.994694,3910,18.819990970809,-17
407,1,0,0,1,5.2594248,3902,11.4081126625658,-16
407,1,0,0,1,5.6326271,3924,13.6703649975027,-18
407,1,0,0,1,4.9505475,3906,17.1698364676095,-17
407,1,0,0,1,5.6177908,3916,13.8844733494654,-16
407,1,0,0,1,4.9626102,3916,14.9115220807199,-16
407,1,0,0,1,5.1220078,3928,14.8379539242483,-17
407,1,0,0,1,5.7160691,3906,16.61983168939,-17
407,1,0,0,1,5.5399172,3906,14.4406649413562,-17
407,1,0,0,1,5.1967988,3906,14.8168305879574,-17
407,1,0,0,1,5.2921849,3924,16.8172830726847,-17
407,1,0,0,1,4.6308977,3910,14.899934308565,-17
407,1,0,0,1,5.0009167,3914,15.3971912443732,-16
407,1,0,0,1,5.2147177,3920,15.9165076006693,-16
407,1,0,0,1,4.6522671,3916,16.5510891927879,-17
407,1,0,0,1,5.9512137,3924,14.786912110812,-17
407,1,0,0,1,4.5330105,3902,14.1186671325239,-17
407,1,0,0,1,5.721179,3902,13.6335663717668,-17
407,1,0,0,1,5.2509909,3916,14.2830334283542,-16
407,1,0,0,1,5.7589944,3914,12.6758357643011,-16
407,1,0,0,1,5.490322,3928,12.5675819442315,-16
407,1,0,0,1,6.2793921,3914,18.3138913063225,-17
407,1,0,0,1,4.9808588,3910,14.4553701388874,-17
