firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
115,4,0,0,1,13.1828508,3620,3644,3996,3928,3.26591124914757,16.873733490709,22.8218070408245,13.5227307208737,-28,-22,-17,-17
115,4,0,0,1,12.7189502,3612,3612,3996,3936,3.80786270338171,14.7042195925058,30.1773757562005,14.5373903200386,-20,-22,-17,-17
115,4,0,0,1,11.1434583,3616,3632,3992,3932,6.32460045917749,13.8843733572491,24.2062291186153,17.3144554893926,-22,-20,-17,-17
115,4,0,0,1,12.375015,3600,3632,3996,3932,4.29831887554975,18.5338128743563,25.4319640283519,16.7531098497117,-19,-21,-17,-17
115,4,0,0,1,11.8453637,3616,3636,3992,3914,4.52079463815673,18.6968457439646,20.9349215247785,16.7934816002384,-20,-23,-17,-16
115,4,0,0,1,12.5410756,3612,3644,3996,3920,4.68265804795952,11.6936127110928,32.4195238954537,19.0453520317173,-22,-22,-17,-17
115,4,0,0,1,11.5750586,3600,3632,3988,3928,4.99439990424736,27.7224331425121,20.2409145618852,14.3098221546033,-23,-23,-17,-17
115,4,0,0,1,11.0017641,3616,3632,3980,3916,4.85990939527976,19.1415288058315,31.3288970719968,14.048483853358,-20,-21,-17,-17
115,4,0,0,1,12.0393676,3608,3612,3988,3916,5.15638923401912,18.1215259181477,26.9712484146574,12.4144206043951,-24,-22,-17,-17
115,4,0,0,1,12.2671254,3592,3608,3992,3932,3.95913416903031,22.0325249028733,19.4355465119005,16.4709610305298,-22,-22,-17,-16
115,4,0,0,1,12.8784641,3596,3612,3984,3914,4.08170976524571,16.4291281706523,19.3152379799028,17.9000087286952,-19,-25,-16,-17
115,4,0,0,1,11.9802094,3592,3632,3996,3910,6.39444559698406,14.3396275607642,27.3976949081958,17.2518620632141,-21,-21,-16,-16
115,4,0,0,1,12.1679257,3612,3612,3996,3906,5.28705852978666,14.066977474971,24.410192317854,16.6042347440291,-24,-22,-17,-17
115,4,0,0,1,11.2317629,3596,3640,3992,3916,5.82301543523339,14.4738024978888,23.1400202984258,15.8857469600584,-19,-21,-17,-16
115,4,0,0,1,12.1831617,3612,3628,3996,3910,5.60619456692921,13.3591194024733,22.3730576260883,16.3798436605347,-19,-24,-16,-17
115,4,0,0,1,12.0950571,3612,3608,3992,3894,4.7841188131558,18.2049731738884,23.3820407221621,19.2610802725872,-24,-24,-17,-16
115,4,0,0,1,11.5509732,3612,3604,3996,3906,4.18317957437077,20.9846991377781,22.4256010661771,20.2966081363906,-19,-18,-17,-17
115,4,0,0,1,11.5814853,3600,3636,3996,3916,5.57553701539784,18.4034579571688,27.0059001562334,24.0008603736995,-21,-23,-17,-17
115,4,0,0,1,11.1914783,3596,3632,3996,3906,5.01852882663869,21.0506693642577,21.4220213176655,15.5914783216085,-21,-23,-16,-16
115,4,0,0,1,12.3393617,3592,3616,3996,3910,3.66770375744839,20.4927531281944,21.6711930712685,18.5833549658537,-21,-21,-17,-17
115,4,0,0,1,12.1979594,3592,3620,3972,3924,4.35825858950118,15.1216577533158,20.1111605407866,17.7692236111832,-22,-23,-17,-17
115,4,0,0,1,11.7358863,3616,3600,3996,3906,5.13490683995266,18.3302571597603,21.8070044840769,17.5532633234497,-23,-23,-17,-17
115,4,0,0,1,12.973205,3608,3620,3992,3916,3.68432680203672,17.7255958743929,21.2642642811224,18.4144796995222,-22,-22,-17,-17
115,4,0,0,1,11.5975921,3566,3592,3972,3920,4.66880697228428,17.2434017763865,22.1008024146518,15.452498014893,-20,-21,-17,-16
115,4,0,0,1,12.0693779,3616,3624,3992,3906,4.15453858759675,14.7844258230038,20.9949938936703,16.8470990980063,-23,-21,-16,-17
115,4,0,0,1,10.5283436,3604,3632,3980,3906,5.00341928114319,18.8095766210274,22.2068196882006,13.6677058158314,-17,-22,-17,-17
