firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,9.2478307,3866,3768,3788,3792,2.36485503793346,2.36315221819646,11.8065343500491,42.4745082159857,-18,-18,-17,-17
407,4,0,0,1,8.8946358,3808,3730,3854,3838,31.6419791425114,53.7264196982545,4.46905802982471,52.9561443690408,-18,-19,-17,-17
407,4,0,0,1,8.4402283,3862,3722,3820,3816,2.39469852062709,19.1016539883418,30.9716349854636,107.122350864263,-18,-18,-17,-17
407,4,0,0,1,8.9504871,3816,3706,3866,3828,5.96661203238916,5.90739682879123,76.5397892094205,105.936505190006,-18,-19,-18,-17
407,4,0,0,1,9.8067782,3820,3726,3858,3832,8.41809655051658,8.37147587026724,4.17543682376191,20.8375095175325,-18,-19,-18,-18
407,4,0,0,1,9.1085791,3816,3722,3854,3838,3.5486701890767,3.5386405392322,28.2464730747557,59.95757824993,-18,-18,-17,-17
407,4,0,0,1,7.8165905,3828,3742,3816,3812,6.47171697887308,19.2649645428328,25.6180186896255,95.868698230903,-20,-19,-19,-18
407,4,0,0,2,14.1867659,3820,3726,3834,3808,5.29936651372695,10.5535606394402,15.8056037187424,152.390641322877,-18,-20,-18,-18
407,4,0,0,1,9.1876602,3842,3742,3816,3812,56.7897869247195,7.05539045941881,7.02887885164989,63.1312245633774,-19,-17,-17,-18
407,4,0,0,1,7.0677338,3862,3750,3784,3776,7.82784992446125,7.79106847492172,15.5384822165956,46.4468543480836,-18,-18,-17,-17
407,4,0,0,1,8.4723578,3824,3746,3812,3804,36.5310415219124,7.27977939356526,7.25876931921454,43.4068283281643,-18,-20,-17,-18
407,4,0,0,1,9.5739766,3858,3750,3792,3776,49.3904721827922,9.79821554898422,9.71805020927821,67.7350745763171,-18,-18,-18,-18
407,4,0,0,1,10.0675351,3808,3746,3842,3824,2.10409372475088,16.7763490386523,29.3054769424507,73.1330185131013,-19,-19,-17,-17
407,4,0,0,1,7.627968,3800,3734,3846,3824,34.2962108860289,6.83182839540163,34.0660021979385,121.90397759134,-18,-18,-18,-18
407,4,0,0,1,8.0892037,3796,3722,3866,3846,10.2119698583498,20.3536652880451,20.3452590460108,91.2137817943373,-19,-19,-18,-18
407,4,0,0,1,8.3956798,3816,3750,3800,3796,10.4582272259029,72.6855870711031,10.354110581901,195.93668563815,-18,-19,-18,-18
407,4,0,0,1,8.7675694,3808,3730,3834,3824,56.7523201057863,10.5983623410511,35.275471447857,112.731111990257,-20,-19,-18,-17
407,4,0,0,1,9.0768589,3804,3742,3788,3788,7.53820077470089,33.7838852368926,7.49310914949839,149.400623374101,-17,-18,-18,-18
407,4,0,0,2,14.6010723,3824,3750,3800,3796,4.64291998809555,4.6234735602041,9.18375265582647,55.0032818624845,-18,-18,-17,-18
407,4,0,0,2,13.6566084,3800,3760,3846,3828,6.51460705193184,38.8918922072316,32.3345618311192,32.2782644622764,-18,-19,-18,-17
407,4,0,0,1,9.0655313,3854,3764,3828,3812,20.5800274949167,6.85648620166434,6.85405187557703,27.3970726227903,-19,-18,-18,-18
407,4,0,0,1,8.8440846,3828,3752,3792,3788,59.226070724072,7.35696316331759,36.7782678686295,54.3221214888897,-17,-21,-18,-18
407,4,0,0,1,7.897081,3796,3722,3866,3850,7.61654068908367,7.56497748284452,22.5857524556359,89.064180390591,-17,-18,-18,-18
407,4,0,0,1,8.8107755,3838,3738,3850,3834,34.206875581992,11.3033177498259,7.43145504545635,99.9482490177308,-17,-17,-18,-18
407,4,0,0,1,8.633383,3812,3742,3820,3816,11.1799547882628,3.70059794261557,3.6438368144121,130.894287955071,-19,-18,-18,-18
407,4,0,0,1,7.5785713,3828,3752,3768,3788,6.80594812642457,13.4429200173145,6.68758096152702,139.960064728198,-18,-19,-17,-17
407,4,0,0,1,7.787042,3820,3750,3812,3828,51.682944333039,12.2495908024192,12.2483124887469,7.27486299614262,-20,-19,-18,-18
407,4,0,0,1,8.7063644,3812,3742,3832,3812,4.842654878999,42.9560235322643,28.4302790052814,40.844667728628,-18,-18,-18,-18
407,4,0,0,1,8.5256095,3828,3750,3788,3784,13.3952641043759,53.1228605597954,6.59269226433268,91.8197761433858,-18,-18,-17,-18
407,4,0,0,1,7.997454,3824,3752,3784,3816,36.5003588648919,46.1678690098839,13.1886277100981,6.38955588752848,-19,-17,-17,-17
407,4,0,0,2,14.374432,3824,3752,3780,3776,5.965658092624,11.8912568344999,29.0234311964735,16.4964145043075,-17,-17,-18,-18
407,4,0,0,1,8.0300226,3796,3750,3772,3828,30.178862573759,37.6166680961,7.51932560672498,67.6177732565696,-18,-18,-17,-17
407,4,0,0,1,9.0607568,3804,3734,3846,3828,8.05657325741356,8.04943641870915,16.0777520087141,12.0491025025183,-19,-19,-17,-17
407,4,0,0,1,8.2731932,3812,3750,3812,3800,4.04968149255061,8.08256828456783,8.07970467063488,161.300989258967,-19,-18,-18,-18
407,4,0,0,1,8.3176339,3828,3752,3788,3842,6.86375716576248,13.6470331349965,20.3982139323881,168.930333130617,-17,-18,-18,-17
407,4,0,0,1,8.1014875,3800,3730,3850,3834,21.677502708333,10.7864392885265,26.7635578831524,26.7064913866224,-18,-21,-18,-17
407,4,0,0,1,7.8283695,3828,3752,3780,3784,19.4951915110138,6.47232434111738,25.7888652705864,51.372908881798,-19,-19,-18,-18
407,4,0,0,1,9.1029257,3812,3742,3816,3800,5.51692482196884,5.49243225222128,10.9360791640899,21.712202583535,-17,-18,-18,-17
