firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,1,4.9352218,3894,2.25660281985088,-17
407,1,0,0,1,6.1599159,3890,4.05044259186201,-16
407,1,0,0,1,5.1177626,3894,6.13659571125599,-17
407,1,0,0,1,4.2452545,3902,5.61658915773629,-17
407,1,0,0,1,4.9851188,3910,13.1303383031664,-16
407,1,0,0,1,4.3010817,3924,7.50026625945221,-17
407,1,0,0,1,4.1476242,3890,4.40449663870839,-17
407,1,0,0,1,5.3189911,3898,7.82892851718528,-17
407,1,0,0,1,4.1883114,3910,8.06042741222396,-17
407,1,0,0,1,4.5249175,3910,8.42540901148046,-17
407,1,0,0,1,7.7317237,3874,7.12917930313698,-17
407,1,0,0,1,4.7543981,3906,9.13861264893654,-17
407,1,0,0,1,4.1241894,3916,6.48874948171114,-17
407,1,0,0,1,4.9705613,3910,10.2931065007143,-18
407,1,0,0,1,4.2498778,3920,12.3323874392167,-18
407,1,0,0,1,4.9751989,3890,15.3571850894019,-17
407,1,0,0,1,5.7681807,3910,11.7315538912391,-17
407,1,0,0,1,4.2506597,3914,8.7661241896814,-17
407,1,0,0,2,17.5913392,3910,5.92782282923128,-17
407,1,0,0,1,4.3101893,3902,12.3758393913067,-17
407,1,0,0,1,4.3108515,3902,11.1583481181446,-18
407,1,0,0,1,5.5857431,3898,6.79762518166653,-16
407,1,0,0,1,5.2151872,3910,11.877641290482,-17
407,1,0,0,1,4.773327,3898,12.9129063207385,-18
407,1,0,0,1,5.2254748,3924,9.77885127834033,-17
407,1,0,0,1,4.98504,3894,7.98948583663898,-18
407,1,0,0,1,5.1369361,3914,7.77762827447872,-17
407,1,0,0,1,4.1253601,3898,9.83187493855078,-17
407,1,0,0,1,4.6494214,3898,6.34947645391899,-17
407,1,0,0,1,4.3418644,3906,8.31506098681481,-16
407,1,0,0,2,6.4136145,3898,5.80124808051204,-17
407,1,0,0,2,7.0881077,3914,7.53009780091024,-17
407,1,0,0,1,4.9681053,3890,5.60194903010655,-17
407,1,0,0,1,4.0149599,3902,9.06833717528552,-18
407,1,0,0,1,4.0007294,3886,7.15154115711936,-17
407,1,0,0,2,9.1876903,3906,8.8934660594208,-17
407,1,0,0,1,5.1339959,3906,4.78954499801473,-17
407,1,0,0,1,4.3916507,3890,10.3030328007352,-17
