firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,4,0,0,1,12.8636814,3870,3772,3808,3828,9.076418177,1.812012738,38.02889363,81.31623885,-20,-19,-18,-19
1280,4,0,0,2,17.1737475,3858,3726,3796,3800,11.11099589,7.386803697,3.685808421,3.68112342,-18,-18,-17,-17
1280,4,0,0,1,15.0944785,3828,3722,3862,3832,23.38630591,62.02343711,7.710486647,130.6656029,-17,-18,-18,-18
1280,4,0,0,1,14.155244,3832,3752,3792,3792,4.881511082,14.60729742,9.704498035,9.667930749,-22,-21,-18,-18
1280,4,0,0,1,14.2528788,3828,3742,3804,3816,25.97371564,15.57987516,5.177116936,10.33675066,-20,-19,-18,-18
1280,4,0,0,1,13.7930029,3858,3756,3796,3792,2.644864519,23.65443084,36.41618918,197.3888571,-17,-17,-17,-17
1280,4,0,0,1,13.2413385,3832,3746,3808,3812,9.308737786,4.636618903,9.195833552,31.95401543,-18,-18,-18,-17
1280,4,0,0,1,13.8023935,3788,3726,3854,3838,4.308144331,4.290832636,16.50673702,53.46366404,-18,-17,-18,-18
1280,4,0,0,2,19.5560082,3820,3746,3854,3838,7.858039796,54.24254165,38.26599921,102.2901299,-21,-20,-17,-17
1280,4,0,0,1,13.4562712,3808,3738,3832,3828,9.542075783,9.491313076,151.0548348,169.1099929,-17,-17,-17,-17
1280,4,0,0,1,13.0111597,3834,3730,3846,3832,44.00743929,3.362118673,42.64182507,35.95294087,-20,-18,-17,-17
1280,4,0,0,1,14.7831557,3832,3756,3796,3784,6.765039359,33.23031934,13.28640575,59.58690386,-20,-20,-19,-18
1280,4,0,0,1,14.0730272,3796,3726,3858,3834,8.440585034,58.72842884,8.354183984,66.80785393,-19,-19,-17,-16
1280,4,0,0,1,13.5747105,3816,3750,3820,3808,6.036482083,17.9831965,41.69903306,41.54970918,-17,-18,-18,-17
1280,4,0,0,1,13.6141545,3820,3746,3812,3800,6.298728539,24.57784479,12.2009025,171.9230662,-20,-18,-17,-17
1280,4,0,0,1,13.3071161,3808,3746,3816,3816,10.73357548,10.65584601,15.91038423,68.57520247,-19,-19,-18,-17
1280,4,0,0,1,12.893247,3792,3730,3850,3834,11.98405641,3.983346425,19.62025391,54.81767055,-17,-18,-17,-17
1280,4,0,0,1,14.2741279,3812,3738,3828,3804,25.62378981,8.534972048,24.41817591,217.5293181,-17,-18,-18,-18
1280,4,0,0,1,12.050021,3812,3742,3828,3816,6.321260358,25.0751628,6.233628932,55.8463357,-19,-20,-17,-17
1280,4,0,0,2,16.5567296,3804,3734,3832,3824,7.141862383,35.37528937,6.805072773,54.1557791,-18,-17,-18,-18
1280,4,0,0,1,14.3391224,3828,3756,3804,3784,82.23044039,16.25914916,10.77884716,174.3096151,-19,-19,-18,-19
1280,4,0,0,2,24.8011896,3812,3746,3820,3808,6.889087754,27.23365317,92.30633307,98.53815364,-18,-19,-17,-17
1280,4,0,0,1,12.9853096,3834,3750,3854,3792,10.86183207,10.72747284,10.70758965,32.0682755,-17,-18,-17,-18
1280,4,0,0,1,12.946085,3808,3742,3824,3804,6.584483533,6.578843492,6.57635144,6.568977217,-18,-17,-17,-17
1280,4,0,0,1,12.7410453,3824,3750,3784,3772,10.18619862,5.091336023,5.090151676,71.24533279,-18,-17,-17,-18
1280,4,0,0,1,12.9297639,3828,3756,3780,3776,5.319601668,5.31787604,5.316453946,26.57209834,-18,-18,-17,-17
1280,4,0,0,1,14.7229143,3808,3738,3828,3828,176.6166934,18.57959032,9.285602858,92.81784776,-17,-18,-17,-17
1280,4,0,0,1,14.3017618,3812,3750,3784,3788,7.774979649,7.771438874,7.76883671,31.06424552,-17,-17,-17,-17
1280,4,0,0,1,12.8297935,3812,3746,3816,3808,6.58931253,19.75488143,6.580783061,85.49970963,-17,-21,-18,-18
1280,4,0,0,2,27.9486759,3788,3722,3862,3842,21.89672337,7.295787267,29.17325192,65.59298243,-18,-18,-18,-18
1280,4,0,0,1,13.4697825,3792,3730,3854,3828,6.337701911,56.99398523,37.96922847,56.86445599,-17,-18,-18,-18
1280,4,0,0,1,13.1195763,3846,3742,3816,3796,25.16470298,8.374872702,50.19257217,16.70199138,-20,-19,-19,-19
1280,4,0,0,1,14.2104453,3800,3738,3850,3828,15.04825599,2.500265653,9.999417534,167.4565869,-18,-18,-18,-18
1280,4,0,0,1,13.5026956,3796,3734,3850,3846,9.914595673,9.906757597,19.80298015,64.31752672,-17,-19,-17,-17
1280,4,0,0,1,13.5466059,3812,3742,3820,3804,6.366020728,12.72038059,12.71505125,6.354903571,-19,-20,-18,-17
1280,4,0,0,1,12.6681949,3804,3738,3834,3824,5.758547556,5.753729999,5.74972042,34.47065427,-17,-18,-17,-17
1280,4,0,0,1,15.913622,3862,3756,3784,3792,4.343027985,34.54538702,17.26156492,107.818711,-19,-17,-17,-17
1280,4,0,0,2,17.3904706,3832,3756,3800,3792,4.249745653,4.228780403,67.62579772,76.0475872,-18,-19,-17,-17
1280,4,0,0,1,14.1046221,3796,3726,3862,3854,3.775405648,33.965853,3.772895818,3.770996437,-18,-19,-17,-17
1280,4,0,0,1,12.3881726,3824,3752,3800,3796,17.59363626,5.862413837,5.859150704,40.98507031,-20,-18,-17,-18
1280,4,0,0,1,12.3730925,3796,3742,3838,3824,3.477023654,34.66792118,31.19730039,135.1725113,-18,-19,-18,-18
1280,4,0,0,2,23.2676394,3820,3752,3792,3788,41.2939397,5.850324137,29.23253488,64.27715374,-20,-19,-17,-18
1280,4,0,0,1,12.7234347,3800,3734,3846,3816,35.69945769,42.68947992,56.89524093,7.109015689,-17,-18,-18,-17
1280,4,0,0,1,15.5037422,3846,3738,3828,3800,5.61846362,5.615305526,5.614060302,56.12305316,-17,-17,-17,-18
1280,4,0,0,1,12.9178701,3792,3726,3862,3846,6.587901714,6.585238004,26.32945654,32.90144701,-18,-17,-16,-17
1280,4,0,0,1,13.4871798,3820,3750,3816,3804,5.469056353,16.39821872,5.462779353,16.37879121,-19,-18,-16,-17
1280,4,0,0,1,14.7842064,3800,3730,3842,3824,6.041503924,12.07261436,18.0977896,48.24703447,-17,-18,-18,-17
1280,4,0,0,1,13.326441,3808,3734,3834,3812,22.59612533,11.29355217,5.644184937,90.28219393,-17,-18,-17,-17
1280,4,0,0,1,14.6408257,3800,3730,3846,3828,27.83724122,51.75890564,3.449478422,106.883136,-18,-18,-17,-17
1280,4,0,0,1,12.2129967,3812,3746,3800,3780,25.40196493,8.462313089,8.456201948,33.76553214,-17,-17,-17,-18
1280,4,0,0,1,13.1284885,3808,3738,3820,3808,7.22690606,7.220498128,7.218027746,36.01918814,-17,-18,-17,-17
1280,4,0,0,1,12.7519299,3792,3726,3846,3828,4.713697108,18.74113896,18.73703046,126.4465248,-18,-18,-16,-17
1280,4,0,0,1,14.2207436,3800,3734,3834,3828,7.641421702,61.04689317,22.86388444,30.44668329,-18,-19,-17,-18
1280,4,0,0,1,13.2579068,3824,3746,3804,3808,23.22256788,32.33918072,4.615665106,110.7073879,-19,-19,-17,-17
1280,4,0,0,1,13.2631528,3796,3726,3842,3834,17.5776272,35.14176775,5.855270593,76.08969219,-21,-21,-18,-18
1280,4,0,0,2,22.9071789,3842,3742,3828,3804,1.57150003,29.82302234,25.11243701,174.1809533,-18,-17,-17,-16
1280,4,0,0,1,13.3809085,3808,3742,3820,3804,8.043699812,40.19024454,8.032122063,8.026004254,-17,-18,-17,-17
1280,4,0,0,1,11.8938929,3824,3752,3800,3796,12.50354006,31.2462114,6.247290238,112.4062813,-18,-18,-18,-18
1280,4,0,0,1,12.5705619,3820,3750,3788,3780,92.11502474,63.71505495,21.21858324,7.067907037,-20,-19,-17,-17
1280,4,0,0,1,14.3454201,3816,3738,3828,3834,8.341494095,8.337293548,8.334611307,16.66383381,-18,-20,-17,-18
1280,4,0,0,1,14.0464098,3824,3750,3788,3784,35.51223063,8.856274183,4.42569915,101.7199967,-20,-19,-17,-17
1280,4,0,0,1,12.3798731,3808,3738,3838,3824,47.04723699,7.836051006,39.1454394,86.07023644,-19,-17,-18,-18
1280,4,0,0,1,12.1930582,3824,3752,3788,3784,55.22226617,6.897598256,6.894863671,27.56565622,-21,-18,-18,-19
1280,4,0,0,1,14.1501279,3828,3752,3796,3796,5.275193666,10.54677654,31.63268964,79.01727792,-18,-19,-17,-17
1280,4,0,0,1,14.0954406,3812,3746,3804,3796,46.40457363,18.49846139,4.623774989,198.790981,-18,-19,-17,-17
1280,4,0,0,1,11.9625025,3828,3756,3792,3800,4.716843187,37.61678837,14.09733363,112.7195036,-18,-18,-17,-17
1280,4,0,0,1,12.0964434,3824,3752,3792,3784,19.36353356,12.9035921,6.447004335,32.2257556,-21,-20,-18,-19
1280,4,0,0,1,13.5608594,3820,3750,3808,3800,5.522405781,5.518587153,11.03371573,66.18659324,-19,-18,-18,-18
1280,4,0,0,1,14.3253392,3816,3742,3788,3792,263.3794714,8.226809857,8.219027212,90.37928901,-20,-18,-17,-17
1280,4,0,0,1,12.4776096,3804,3738,3834,3834,7.782773454,23.33892949,7.775759536,85.48994677,-18,-17,-18,-18
1280,4,0,0,1,14.3892485,3828,3750,3792,3812,7.676364474,30.28800103,22.70735219,105.8737229,-18,-18,-17,-18
1280,4,0,0,1,13.9878025,3828,3756,3800,3776,21.79323451,10.89001951,43.54291263,10.87565322,-21,-19,-19,-18
1280,4,0,0,1,13.6254551,3820,3746,3816,3804,3.866660532,3.853861569,38.52690083,119.3931439,-19,-18,-17,-17
1280,4,0,0,1,13.99726,3824,3746,3804,3796,31.45170865,7.855539766,31.3895363,78.39085524,-18,-17,-17,-18
1280,4,0,0,1,13.0524547,3788,3726,3862,3846,11.00038611,5.4980732,5.495293556,98.89305705,-18,-18,-17,-18
1280,4,0,0,1,13.9308438,3816,3746,3808,3800,6.460119422,19.3576362,6.446730025,12.8817092,-19,-18,-17,-18
1280,4,0,0,1,12.6937585,3838,3742,3832,3808,6.016213696,6.011194046,6.009488983,6.005598419,-18,-18,-16,-17
1280,4,0,0,1,13.0428991,3828,3752,3788,3784,11.88570233,5.937977822,11.86389502,35.56436498,-20,-18,-18,-18
1280,4,0,0,1,11.9168182,3820,3750,3800,3792,11.23225725,11.22450354,33.65269743,89.68308241,-18,-17,-18,-17
1280,4,0,0,1,13.3200183,3788,3730,3842,3828,5.253386596,10.44688646,10.43925242,177.3193898,-18,-17,-17,-17
1280,4,0,0,1,12.6472428,3824,3738,3788,3784,137.516299,1.90715984,287.9146949,95.31647261,-18,-17,-17,-17
1280,4,0,0,1,12.9682436,3816,3746,3776,3772,6.273096758,25.07047939,6.264003964,6.260592139,-18,-18,-17,-17
1280,3,0,1,2,42.7977807,3808,3746,3834,3820,41.69430494,26.35722779,7.528552978,67.72750516,-19,-18,-18,-17
1280,4,0,0,1,14.5329757,3808,3734,3800,3800,83.28460095,1.632901262,96.33507101,235.110025,-17,-18,-17,-17
1280,4,0,0,1,13.4176655,3828,3752,3792,3780,93.55937278,7.193064735,14.38020249,100.6316794,-18,-18,-17,-17
1280,4,0,0,1,14.6410335,3808,3746,3824,3828,44.49833687,18.40817853,3.678689974,227.9814085,-19,-18,-17,-17
1280,4,0,0,1,13.0477112,3824,3752,3788,3788,17.82137282,5.938485603,23.74212726,23.7319148,-19,-18,-17,-17
1280,4,0,0,1,13.470619,3800,3734,3850,3832,11.84791308,5.920536922,29.59331096,17.75087009,-19,-18,-17,-17
1280,4,0,0,1,13.7251271,3820,3750,3788,3784,31.98976328,3.984424089,31.86515939,111.4959935,-17,-18,-18,-18
1280,4,0,0,1,13.3871075,3828,3752,3788,3788,3.527122869,31.66207977,28.13613246,105.4215491,-17,-18,-18,-17
1280,4,0,0,1,13.8558779,3820,3750,3800,3792,22.10037549,5.523403212,5.520396762,66.22944197,-19,-18,-17,-17
1280,4,0,0,1,12.6227732,3800,3738,3850,3834,6.052946332,12.10232516,6.04980441,48.37078139,-17,-17,-17,-17
