firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
115,4,0,0,1,6.698312,3698,3714,3596,3902,10.1857472875355,88.2764764919743,3.39524909584517,54.3239855335227,-22,-20,-17,-17
115,4,0,0,1,6.4268481,3670,3690,3562,3362,75.8421731599605,57.7845128837795,3.61153205523622,28.8922564418897,-20,-19,-17,-17
115,4,0,0,1,6.1606179,3670,3690,3612,3882,3.6055655509845,86.533573223628,3.6055655509845,68.5057454687055,-16,-19,-17,-17
115,4,0,0,1,6.9786288,3648,3698,3558,3874,7.19472338986587,187.062808136513,3.59736169493294,43.1683403391952,-19,-18,-17,-17
115,4,0,0,1,6.7722555,3670,3660,3530,3890,47.2969419310849,73.7832294124925,1.8918776772434,204.322789142287,-22,-20,-17,-19
115,4,0,0,1,6.4842628,3660,3686,3612,3866,6.1550860091202,102.58476681867,2.0516953363734,12.3101720182404,-18,-20,-18,-17
115,4,0,0,1,8.321558,3666,3698,3652,3878,32.3002806356049,48.4504209534074,2.69169005296708,8.07507015890123,-18,-19,-17,-17
115,4,0,0,1,8.6145468,3664,3678,3612,3874,3.40653755435131,6.81307510870261,3.40653755435131,13.6261502174052,-18,-20,-16,-18
115,3,0,0,1,8.1691031,3670,3660,3574,3886,16.5049918078108,72.3680410034781,1.26961475444698,676.704664120243,-18,-19,-17,-18
115,4,0,0,1,6.8696358,3644,3726,3530,3886,56.9124370537907,40.0494927415564,2.10786803902928,73.775381366025,-19,-20,-17,-18
115,4,0,0,1,6.0003128,3648,3670,3542,3878,45.5532015841301,49.0572940136786,3.50409242954847,73.5859410205179,-20,-20,-17,-17
115,4,0,0,1,5.7113421,3660,3682,3550,3866,37.0318625511923,94.2629228575805,3.3665329591993,131.294785408773,-17,-18,-17,-18
115,4,0,0,1,6.5455002,3648,3694,3608,3862,39.4093625010157,88.2019065498924,1.87663630957218,493.555349417483,-21,-19,-17,-18
115,4,0,0,1,6.1941764,3664,3670,3648,3882,65.434700894347,18.1763058039853,3.63526116079705,36.3526116079705,-19,-18,-17,-18
115,4,0,0,1,5.8565229,3648,3690,3664,3870,16.1725259188987,54.9865881242555,3.23450518377973,6.46901036755947,-20,-20,-16,-18
115,4,0,0,1,6.0792636,3660,3666,3612,3878,29.2160814076892,146.080407038446,1.46080407038446,287.778401865739,-20,-19,-17,-17
115,4,0,0,1,7.9188429,3660,3666,3648,3866,69.4573953546199,100.713223264199,3.472869767731,298.666800024866,-18,-19,-17,-18
115,4,0,0,1,8.1419341,3664,3686,3488,3858,17.903000113147,78.7732004978466,3.58060002262939,14.3224000905176,-18,-19,-17,-17
115,4,0,0,2,11.0039498,3660,3690,3652,3874,42.3236711213741,50.788405345649,2.11618355606871,46.5560382335115,-19,-19,-17,-17
115,4,0,0,1,6.0232777,3666,3670,3582,3866,50.9282384451976,140.561938108745,2.0371295378079,348.349150965151,-23,-22,-17,-18
115,4,0,0,3,11.0401195,3664,3666,3582,3886,1.88395479036011,79.1261011951244,1.88395479036011,11.3037287421606,-19,-20,-18,-18
115,4,0,0,1,7.0944907,3664,3664,3584,3878,3.67730068478693,7.35460136957387,33.0957061630824,11.0319020543608,-20,-21,-17,-17
115,4,0,0,1,6.1144939,3656,3678,3526,3866,23.0591675179343,126.825421348638,2.88239593974178,155.649380746056,-20,-19,-17,-18
115,4,0,0,1,6.7831618,3664,3686,3652,3858,42.5433168316832,125.696163366337,1.93378712871287,235.92202970297,-18,-20,-17,-18
115,4,0,0,1,6.8883472,3660,3686,3578,3854,2.19138841329673,28.4880493728575,10.9569420664837,6.57416523989019,-21,-20,-18,-17
115,4,0,0,1,6.5027901,3666,3694,3608,3854,7.25516537544876,67.7148768375218,2.41838845848292,12.0919422924146,-18,-21,-17,-17
115,3,0,0,1,6.1194055,3652,3666,3660,3874,28.9096773024727,25.055053662143,1.92731182016485,30.8369891226375,-18,-20,-17,-18
115,4,0,0,1,11.4101618,3664,3686,3648,3886,39.2134137760208,89.3194424898252,2.17852298755671,182.995930954764,-19,-19,-17,-17
115,4,0,0,1,6.5335302,3660,3678,3616,3870,16.7288608537965,76.2092550006283,1.85876231708849,20.4463854879734,-18,-19,-17,-17
115,4,0,0,1,6.192604,3660,3686,3656,3870,17.8113739872007,117.555068315525,3.56227479744015,10.6868243923204,-20,-18,-17,-17
115,4,0,0,1,8.0777425,3660,3686,3640,3862,38.497411049107,41.9971756899349,3.4997646408279,24.4983524857953,-19,-18,-17,-17
115,4,0,0,1,7.3824869,3652,3660,3644,3866,10.582071050988,52.9103552549401,2.1164142101976,14.8148994713832,-21,-19,-17,-17
115,4,0,0,1,7.7009093,3656,3682,3550,3854,21.5451438476918,124.65404654736,1.5389388462637,487.843614265594,-18,-17,-18,-18
