firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0235.ReadRate,0235.peak_rssi
407,1,0,0,1,4.6352593,3596,1.73166829962987,-18
407,1,0,0,1,4.0552593,3562,5.52612586525316,-18
407,1,0,0,1,4.5439267,3570,3.86861113378547,-20
407,1,0,0,1,6.0081502,3600,3.5944019346509,-18
407,1,0,0,1,4.6006663,3588,3.63666250390032,-18
407,1,0,0,1,5.5734354,3632,2.0097303102702,-18
407,1,0,0,1,4.5328786,3584,3.65750802274385,-18
407,1,0,0,1,4.2173257,3554,3.67549631145568,-18
407,1,0,0,1,3.6977162,3550,5.27759071650683,-19
407,1,0,0,1,4.9911514,3550,3.6365421575241,-18
407,1,0,0,1,4.9715574,3604,3.74902946999596,-19
407,1,0,0,1,4.2720978,3550,3.93366580676732,-18
407,1,0,0,1,4.2899602,3588,3.87965767452543,-19
407,1,0,0,1,4.7670192,3546,3.63489778122205,-20
407,1,0,0,1,4.814482,3542,3.68978637612797,-18
407,1,0,0,2,7.7936329,3584,5.88739878825558,-19
407,1,0,0,1,4.3461482,3562,4.60602163632603,-20
407,1,0,0,1,5.0074136,3584,3.50483053268167,-19
407,1,0,0,1,4.6401951,3570,3.57546629443679,-18
407,1,0,0,1,3.7851972,3562,5.81256117720639,-19
407,1,0,0,1,4.2615492,3550,3.57601864679163,-20
407,1,0,0,1,4.9775116,3546,3.67884560767908,-19
407,1,0,0,1,6.542024,3592,3.69026294599595,-19
407,1,0,0,1,6.0437406,3574,3.58793563817535,-18
407,1,0,0,1,4.5636678,3574,3.6336667949351,-18
407,1,0,0,1,5.2689396,3562,3.63254748011998,-18
407,1,0,0,1,4.238909,3574,5.33901974529672,-18
407,1,0,0,1,4.005516,3562,3.56947173603043,-20
407,1,0,0,1,3.9959751,3558,5.09137749763887,-20
407,1,0,0,1,4.5800045,3570,3.5907222917426,-19
407,1,0,0,1,5.0119168,3566,4.3114691546718,-19
407,1,0,0,1,5.7564677,3584,3.57369148392893,-18
407,1,0,0,1,5.2857444,3582,3.56597390491616,-18
407,1,0,0,1,5.0126449,3562,3.67260759913929,-18
407,1,0,0,1,4.5040372,3558,4.40225712527327,-18
407,1,0,0,1,5.0299751,3562,5.21157699714145,-19
407,1,0,0,1,4.7488564,3582,3.70955380744893,-18
407,1,0,0,1,4.5488156,3546,3.64919287152068,-20
407,1,0,0,1,4.8331609,3570,3.678565477178,-18
407,1,0,0,1,4.8176168,3582,3.65143143415082,-19
407,1,0,0,1,5.9681706,3554,3.7258559874692,-19
407,1,0,0,1,4.099472,3550,5.12219508597092,-20
407,1,0,0,1,4.2428684,3546,3.60386983542928,-18
407,1,0,0,1,4.0182646,3574,5.72474400376001,-19
407,1,0,0,1,4.0761866,3582,4.71719251570235,-19
407,1,0,0,1,4.8019108,3570,6.00518728077313,-18
407,1,0,0,1,4.568616,3566,3.58102443798507,-18
407,1,0,0,1,4.3042176,3538,3.67091562914355,-19
407,1,0,0,1,3.7789151,3574,5.87184234338182,-19
407,1,0,0,1,5.5364227,3554,3.55615741544169,-18
407,1,0,0,1,4.2616308,3558,4.14281098010622,-20
407,1,0,0,1,4.9980241,3554,3.92179470738117,-19
407,1,0,0,2,7.805418,3584,4.13881417179638,-19
407,1,0,0,1,4.8352739,3566,4.22753971562186,-19
407,1,0,0,2,9.5695824,3562,3.8181477325357,-18
407,1,0,0,1,4.7283572,3604,4.88944954577014,-19
407,1,0,0,1,5.2487394,3538,3.56426821118289,-20
407,1,0,0,1,4.2796054,3588,3.57239056517362,-18
407,1,0,0,1,4.5433558,3592,3.69275536788152,-18
407,1,0,0,1,5.7677439,3546,3.57109059321171,-19
407,1,0,0,1,4.7758216,3550,4.74940478084584,-20
407,1,0,0,1,5.3517432,3562,3.67917857187533,-18
407,1,0,0,1,4.0288648,3538,4.56988473379736,-19
407,1,0,0,1,4.5497178,3550,5.26128044834527,-19
407,1,0,0,1,5.242964,3562,3.49023328021198,-18
407,1,0,0,1,4.2879643,3538,5.73858122760877,-20
407,1,0,0,1,4.5364896,3566,4.73420739426385,-19
407,1,0,0,1,4.815338,3570,5.58854036267391,-18
407,1,0,0,1,4.6074934,3578,3.7970103100221,-18
407,1,0,0,1,4.5272167,3554,3.58518672548763,-19
407,1,0,0,1,5.1414035,3574,3.55379287428991,-18
407,1,0,0,1,4.300076,3608,1.96720898684016,-20
407,1,0,0,1,4.2260385,3558,3.64618579796047,-20
407,1,0,0,1,5.2336217,3550,3.65292400128145,-18
407,1,0,0,1,4.5572734,3582,3.59637715351064,-18
407,1,0,0,1,4.4761294,3522,4.687854518998,-19
407,1,0,0,1,4.7897078,3574,3.63814434264917,-19
407,1,0,0,1,4.3679574,3588,3.58250490892735,-18
