firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
391,4,0,0,3,29.6008914,0,0,0,0,2.135564343,6.406693029,19.22007909,10.67782172,-18,-18,-17,-18
391,4,0,0,1,19.4463388,0,0,0,0,2.048331194,2.048331194,2.048331194,12.28998716,-19,-18,-17,-19
391,4,0,0,1,22.6889604,0,0,0,0,4.909253673,2.454626837,29.45552204,2.454626837,-20,-20,-17,-19
391,4,0,0,1,19.6645629,0,0,0,0,2.453576493,4.907152985,2.453576493,2.453576493,-18,-17,-16,-18
391,4,0,0,1,15.7783701,0,0,0,0,2.114459499,8.457837995,2.114459499,6.343378496,-18,-17,-17,-17
391,4,0,0,1,18.7111087,0,0,0,0,2.423570287,14.54142172,29.08284345,7.270710862,-19,-18,-17,-18
391,4,0,0,1,20.8613262,0,0,0,0,2.386961272,2.386961272,2.386961272,7.160883815,-18,-17,-17,-17
391,4,0,0,1,18.1798083,0,0,0,0,1.871133186,11.22679912,1.871133186,9.355665932,-18,-17,-16,-18
391,4,0,0,1,20.3993717,0,0,0,0,2.697537283,5.395074567,13.48768642,8.09261185,-18,-17,-16,-18
391,4,0,0,1,18.6095927,0,0,0,0,1.890123349,1.890123349,1.890123349,5.670370048,-19,-19,-18,-19
391,3,0,0,1,26.8836685,0,0,0,0,1.904378127,3.808756254,3.808756254,1.904378127,-19,-19,-17,-19
391,4,0,0,1,22.6019543,0,0,0,0,1.888789581,1.888789581,11.33273748,1.888789581,-18,-17,-16,-17
391,4,0,0,1,24.4214119,0,0,0,0,41.15939727,2.421141016,7.263423048,2.421141016,-20,-20,-16,-19
391,4,0,0,1,21.7277804,0,0,0,0,1.861962307,1.861962307,1.861962307,11.17177384,-19,-18,-16,-19
391,4,0,0,1,19.1936389,0,0,0,0,2.07428728,6.22286184,2.07428728,6.22286184,-18,-17,-16,-17
391,4,0,0,1,21.8487119,0,0,0,0,2.022009165,2.022009165,16.17607332,8.088036661,-19,-19,-17,-19
391,4,0,0,3,36.3790271,0,0,0,0,1.813398074,10.88038844,9.06699037,14.50718459,-18,-17,-16,-18
391,4,0,0,1,25.2299196,0,0,0,0,4.692405764,2.346202882,51.6164634,4.692405764,-19,-18,-17,-18
391,4,0,0,1,26.6988332,0,0,0,0,2.252165006,4.504330012,42.79113512,13.51299004,-19,-18,-16,-18
391,4,0,0,1,18.3496268,0,0,0,0,1.782311662,1.782311662,3.564623324,1.782311662,-19,-19,-17,-19
391,4,0,0,1,21.2166295,0,0,0,0,5.254914593,31.52948756,2.627457297,5.254914593,-20,-19,-16,-19
391,4,0,0,1,24.6885946,0,0,0,0,2.311122369,6.933367107,9.244489475,23.11122369,-18,-17,-17,-18
391,4,0,0,1,20.5610152,0,63300,0,0,4.720622915,2.360311457,2.360311457,4.720622915,-19,-18,-16,-19
391,4,0,0,1,15.9326751,0,0,0,0,4.30355282,6.455329229,2.15177641,4.30355282,-18,-17,-16,-18
391,4,0,0,1,23.9424406,0,0,0,0,2.015047975,10.07523988,22.16552773,10.07523988,-18,-17,-16,-18
391,4,0,0,2,25.2542639,0,0,0,0,5.541968496,2.770984248,11.08393699,8.312952744,-18,-17,-17,-17
391,3,0,0,1,26.5533833,0,0,0,0,7.936444949,1.984111237,13.88877866,11.90466742,-19,-19,-16,-19
391,4,0,0,1,13.2517271,0,0,3710,0,2.471944053,2.471944053,103.8216502,12.35972026,-19,-19,-16,-19
391,4,0,0,3,23.1606102,0,0,13616,0,1.871348181,3.742696362,1.871348181,1.871348181,-20,-19,-16,-18
391,4,0,0,1,17.5953012,0,0,0,0,1.858578529,3.717157059,3.717157059,5.575735588,-20,-19,-16,-18
391,4,0,0,1,19.7881175,0,0,0,0,5.555399181,1.851799727,5.555399181,16.66619754,-18,-17,-16,-17
391,4,0,0,1,17.4353859,0,0,0,0,2.520760352,2.520760352,10.08304141,5.041520704,-19,-20,-17,-19
391,4,0,0,1,19.1752217,0,0,0,0,2.170070603,2.170070603,6.51021181,2.170070603,-18,-18,-16,-18
391,4,0,0,1,15.042466,0,0,0,0,4.215693425,2.107846712,2.107846712,6.323540137,-19,-19,-17,-18
391,4,0,0,1,16.5181573,0,0,0,0,2.028526766,6.085580299,2.028526766,4.057053532,-20,-19,-16,-19
391,3,0,0,1,20.8559721,0,0,0,0,7.673931578,1.918482894,5.755448683,13.42938026,-18,-17,-16,-18
391,4,0,0,1,19.7716499,0,0,0,0,3.84722071,1.923610355,1.923610355,7.69444142,-19,-18,-16,-18
391,4,0,0,1,17.4669424,0,0,0,32586,2.17171489,2.17171489,8.686859561,2.17171489,-18,-17,-16,-18
391,4,0,0,1,20.359789,0,0,0,0,1.994991773,1.994991773,3.989983545,1.994991773,-18,-17,-16,-17
391,3,0,0,1,23.8624785,0,0,0,0,2.249216823,6.747650468,17.99373458,2.249216823,-18,-17,-17,-17
391,4,0,0,1,22.41314,0,0,0,0,5.228976898,2.614488449,2.614488449,7.843465348,-18,-18,-17,-18
391,4,0,0,1,21.7958141,0,0,0,0,7.509044644,2.503014881,5.006029763,12.51507441,-18,-17,-16,-18
391,4,0,0,2,28.8101106,0,0,0,0,2.18415817,2.18415817,8.736632679,8.736632679,-19,-18,-17,-18
391,4,0,0,1,25.6356705,0,0,0,0,16.8094866,16.8094866,2.8015811,11.2063244,-18,-17,-16,-17
391,4,0,0,1,21.802143,0,0,0,0,16.03028227,2.671713712,8.015141136,56.10598795,-19,-19,-16,-19
391,4,0,0,1,20.0081749,0,0,0,0,7.744997506,2.581665835,10.32666334,2.581665835,-19,-19,-16,-19
391,4,0,0,3,26.5983177,0,0,0,0,5.86508888,1.955029627,13.68520739,21.50532589,-18,-19,-16,-19
391,4,0,0,1,20.1437068,0,0,0,0,2.436083265,2.436083265,4.872166531,7.308249796,-18,-17,-16,-17
391,4,0,0,1,23.7195396,0,0,0,0,4.451780979,2.22589049,4.451780979,22.2589049,-18,-17,-16,-17
391,4,0,0,1,21.688778,0,0,0,0,2.646844974,2.646844974,2.646844974,2.646844974,-19,-19,-17,-19
