Model: ,Oscilloscope MSO6104A
Serial Number:,MY44002304
Address: ,USBInstrument1
Date: ,2020-10-22 21:27:37

Sample Number,Time (s),1 (VOLT),4 (VOLT),
1,-0.045,-1.19209289550781E-07,0.400000408291817,
2,-0.04,-0.0575001239776611,0.431250404566526,
3,-0.035,-0.0575001239776611,0.431250404566526,
4,-0.03,-0.0287501215934753,0.400000408291817,
5,-0.025,-0.0575001239776611,0.431250404566526,
6,-0.02,-1.19209289550781E-07,0.431250404566526,
7,-0.015,-0.0287501215934753,0.431250404566526,
8,-0.01,-0.0575001239776611,0.431250404566526,
9,-0.005,-0.0287501215934753,0.400000408291817,
10,0,1.95500004291534,2.08750020712614,
11,0.005,2.07000005245209,2.11875020340085,
12,0.01,2.07000005245209,2.08750020712614,
13,0.015,2.07000005245209,2.11875020340085,
14,0.02,2.07000005245209,2.05625021085143,
15,0.025,2.07000005245209,2.05625021085143,
16,0.03,2.07000005245209,2.02500021457672,
17,0.035,2.07000005245209,2.05625021085143,
18,0.04,2.0412500500679,2.08750020712614,
19,0.045,2.0412500500679,2.05625021085143,
20,0.05,2.07000005245209,2.05625021085143,
21,0.055,2.0412500500679,2.08750020712614,
22,0.06,2.0412500500679,2.05625021085143,
23,0.065,2.0412500500679,2.05625021085143,
24,0.07,2.07000005245209,2.08750020712614,
25,0.075,2.0412500500679,2.05625021085143,
26,0.08,2.0412500500679,2.02500021457672,
27,0.085,2.0412500500679,2.08750020712614,
28,0.09,2.0412500500679,2.08750020712614,
29,0.095,2.0412500500679,2.05625021085143,
30,0.1,2.0412500500679,1.99375021830201,
31,0.105,2.01250004768372,2.05625021085143,
32,0.11,2.01250004768372,2.05625021085143,
33,0.115,2.0412500500679,2.05625021085143,
34,0.12,2.0412500500679,2.08750020712614,
35,0.125,2.0412500500679,2.05625021085143,
36,0.13,2.01250004768372,2.05625021085143,
37,0.135,2.0412500500679,2.05625021085143,
38,0.14,2.09875005483627,2.08750020712614,
39,0.145,2.07000005245209,2.05625021085143,
40,0.15,2.09875005483627,2.11875020340085,
41,0.155,2.09875005483627,2.08750020712614,
42,0.16,2.07000005245209,2.08750020712614,
43,0.165,2.09875005483627,2.08750020712614,
44,0.17,2.09875005483627,2.11875020340085,
45,0.175,2.0412500500679,2.08750020712614,
46,0.18,2.09875005483627,2.08750020712614,
47,0.185,2.09875005483627,2.11875020340085,
48,0.19,2.12750005722046,2.08750020712614,
49,0.195,2.09875005483627,2.11875020340085,
50,0.2,2.09875005483627,2.11875020340085,
51,0.205,2.12750005722046,2.11875020340085,
52,0.21,2.15625005960464,2.11875020340085,
53,0.215,2.12750005722046,2.11875020340085,
54,0.22,2.09875005483627,2.11875020340085,
55,0.225,2.09875005483627,2.11875020340085,
56,0.23,2.07000005245209,2.11875020340085,
57,0.235,2.09875005483627,2.11875020340085,
58,0.24,2.12750005722046,2.15000019967556,
59,0.245,2.12750005722046,2.15000019967556,
60,0.25,2.09875005483627,2.11875020340085,
61,0.255,2.09875005483627,2.08750020712614,
62,0.26,2.09875005483627,2.11875020340085,
63,0.265,2.09875005483627,2.11875020340085,
64,0.27,2.09875005483627,2.15000019967556,
65,0.275,2.12750005722046,2.11875020340085,
66,0.28,2.09875005483627,2.11875020340085,
67,0.285,2.09875005483627,2.11875020340085,
68,0.29,2.12750005722046,2.11875020340085,
69,0.295,2.12750005722046,2.11875020340085,
70,0.3,2.09875005483627,2.08750020712614,
71,0.305,2.09875005483627,2.11875020340085,
72,0.31,2.12750005722046,2.15000019967556,
73,0.315,2.07000005245209,2.08750020712614,
74,0.32,2.09875005483627,2.05625021085143,
75,0.325,2.09875005483627,2.08750020712614,
76,0.33,2.09875005483627,2.11875020340085,
77,0.335,2.09875005483627,2.08750020712614,
78,0.34,2.07000005245209,2.11875020340085,
79,0.345,2.09875005483627,2.11875020340085,
80,0.35,2.09875005483627,2.08750020712614,
81,0.355,2.09875005483627,2.08750020712614,
82,0.36,2.07000005245209,2.08750020712614,
83,0.365,2.07000005245209,2.08750020712614,
84,0.37,2.09875005483627,2.11875020340085,
85,0.375,2.09875005483627,2.11875020340085,
86,0.38,2.09875005483627,2.08750020712614,
87,0.385,2.07000005245209,2.11875020340085,
88,0.39,2.07000005245209,2.05625021085143,
89,0.395,2.07000005245209,2.08750020712614,
90,0.4,2.09875005483627,2.11875020340085,
91,0.405,2.09875005483627,2.11875020340085,
92,0.41,2.07000005245209,2.05625021085143,
93,0.415,2.07000005245209,2.08750020712614,
94,0.42,2.09875005483627,2.08750020712614,
95,0.425,2.09875005483627,2.08750020712614,
96,0.43,2.09875005483627,2.08750020712614,
97,0.435,2.0412500500679,2.05625021085143,
98,0.44,2.09875005483627,2.08750020712614,
99,0.445,2.07000005245209,2.08750020712614,
100,0.45,2.07000005245209,2.08750020712614,
101,0.455,2.07000005245209,2.05625021085143,
