Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.05,-0.0312501229345798,0.462500400841236,
Firmware Version:,06.20.0000,,-0.045,-0.046875124797225,0.462500400841236,
Start Time:,2020-10-23 15:35:39.413,,-0.04,-0.046875124797225,0.462500400841236,
,,,-0.035,-0.0312501229345798,0.431250404566526,
Analog Sample Count:,1000,,-0.03,-0.046875124797225,0.431250404566526,
Function Sample Count:,0,,-0.025,-0.0156251210719347,0.462500400841236,
Waveform Memory Sample Count:,0,,-0.02,-0.046875124797225,0.462500400841236,
Digital Sample Count:,0,,-0.015,-0.0312501229345798,0.431250404566526,
,,,-0.01,-0.0312501229345798,0.462500400841236,
Setup Text Information:,,,-0.005,-0.0312501229345798,0.493750397115946,
ANALOG,,,0,2.00000011920929,2.15000019967556,
Channel 1,,,0.005,2.20312514342368,2.18125019595027,
Scale,500 mV/,,0.01,2.04687512479723,2.05625021085143,
Pos,1 V,,0.015,2.12500013411045,2.08750020712614,
Coup,,,0.02,2.15625013783574,2.18125019595027,
BW,Off,,0.025,2.18750014156103,2.21250019222498,
Inv,Off,,0.03,2.10937513224781,2.08750020712614,
Imp,1M Ohm,,0.035,2.10937513224781,2.11875020340085,
Trace Label,1,,0.04,2.15625013783574,2.21250019222498,
Probe,10,,0.045,2.20312514342368,2.21250019222498,
Skew,0 s,,0.05,2.21875014528632,2.21250019222498,
,,,0.055,2.23437514714897,2.24375018849969,
Channel 4,,,0.06,2.17187513969839,2.18125019595027,
Scale,1 V/,,0.065,2.10937513224781,2.11875020340085,
Pos,3.025 V,,0.07,2.15625013783574,2.18125019595027,
Coup,,,0.075,2.21875014528632,2.21250019222498,
BW,Off,,0.08,2.25000014901161,2.21250019222498,
Inv,Off,,0.085,2.07812512852252,2.08750020712614,
Imp,1M Ohm,,0.09,2.12500013411045,2.11875020340085,
Trace Label,4,,0.095,2.18750014156103,2.18125019595027,
