firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,7.8480392,3870,3768,3940,3882,2.08789189730913,54.0982549151386,18.6932232288638,103.723464944581,-18,-18,-16,-16
407,4,0,0,1,8.2369157,3846,3760,3914,3862,23.0520180312885,51.6073984366399,5.72104962953343,62.8260529360899,-17,-19,-17,-17
407,4,0,0,1,7.4588393,3846,3730,3910,3858,9.90506981093203,9.85386715016308,9.81963298139769,39.1517767565689,-17,-17,-17,-17
407,4,0,0,1,7.0232483,3824,3738,3932,3874,5.13183952327264,10.1784071199993,10.1761491416418,101.743890279389,-17,-20,-17,-17
407,4,0,0,1,7.5573319,3862,3756,3890,3832,9.84414745745359,29.2794331501742,67.7031699591363,19.28482236268,-17,-19,-18,-17
407,4,0,0,1,7.1172044,3812,3706,3936,3874,9.57434382234614,9.52512489820023,18.9680975567194,170.658009881099,-17,-18,-17,-17
407,4,0,0,1,6.8933394,3800,3702,3932,3878,18.6884274716146,9.28596500676947,46.2603160504793,175.321715347663,-17,-17,-16,-16
407,4,0,0,1,6.8815207,3812,3730,3874,3874,8.25076381446012,32.763199064283,65.3339627171742,89.0452487479024,-18,-18,-17,-17
407,4,0,0,1,7.7243532,3834,3738,3898,3858,9.39913227210864,74.8767808974357,9.31033680143379,46.5302400029779,-17,-17,-17,-16
407,4,0,0,1,7.8063759,3886,3764,3870,3828,6.90053976022004,6.83098370263908,6.78947007507117,74.4145771391654,-17,-17,-17,-17
407,4,0,0,1,7.3344745,3890,3780,3882,3832,105.783776038436,19.1069780594571,47.550122584216,37.8763130060631,-17,-17,-17,-17
407,4,0,0,1,7.0776757,3820,3730,3910,3866,44.0875961752541,21.7432900206996,28.9736868219705,36.1425491050743,-17,-19,-17,-17
407,4,0,0,1,7.3635011,3824,3734,3920,3858,21.0549587059622,20.8592988146703,20.6766858994307,20.5113479032275,-17,-19,-18,-17
407,4,0,0,1,7.9699716,3838,3752,3902,3846,18.5263750738739,54.9162892697232,36.1896627847222,8.97341446496465,-18,-17,-17,-16
407,4,0,0,1,7.7540436,3838,3750,3910,3854,33.9753542780067,16.9219817671287,11.2057436159478,106.403055895765,-17,-18,-17,-17
407,4,0,0,1,7.8115835,3874,3756,3902,3854,11.084637302354,11.0350246163812,27.5255974293294,76.7361274784399,-16,-19,-17,-17
407,4,0,0,1,7.0396508,3796,3710,3920,3874,139.169267714508,7.63514395682173,175.015142614513,37.756308701621,-17,-18,-17,-16
407,4,0,0,1,7.2862028,3862,3776,3890,3834,21.8204194030079,7.23809496235829,14.441434207714,43.116860345208,-17,-17,-16,-17
407,4,0,0,1,7.4105103,3874,3756,3906,3846,42.7018985797882,5.32475408954426,47.8382938100437,53.0518332326233,-16,-18,-17,-18
407,4,0,0,1,7.6951654,3816,3742,3910,3850,9.97322189920065,29.6737959610007,39.248585824392,29.2414191055635,-17,-17,-16,-16
407,4,0,0,1,7.4310043,3820,3738,3920,3858,20.2714482057741,20.1977902270972,20.1419064448729,13.3656693426964,-18,-18,-17,-17
407,4,0,0,1,7.8114699,3832,3714,3928,3850,78.5522186055876,34.7249753018613,312.211637862252,5.72164538500666,-16,-17,-16,-16
407,4,0,0,1,6.9502512,3838,3750,3906,3846,40.3848514806702,16.0683483264414,8.00099212302326,283.215025501153,-18,-17,-17,-16
407,4,0,0,1,7.6363419,3828,3750,3902,3854,18.2773923278818,35.6920100758544,17.7015117976151,88.4701302722668,-20,-18,-16,-17
407,4,0,0,1,7.2793283,3854,3776,3862,3824,5.73405345399311,5.71756596355852,45.7301736831997,159.796647352198,-17,-17,-17,-17
407,4,0,0,1,7.0603225,3800,3738,3924,3862,111.550093538034,13.0420776551388,12.9935519498449,71.2965801623099,-17,-20,-17,-17
407,4,0,0,1,6.6741573,3820,3742,3924,3854,27.6575952827205,18.3720861871307,27.3851057886637,235.785105454888,-18,-18,-17,-17
407,4,0,0,1,7.6792495,3792,3710,3936,3870,44.0882505693998,8.74170958117595,34.8962795331576,182.579800414195,-18,-17,-16,-17
407,4,0,0,1,7.3281299,3828,3764,3914,3858,8.34637454355764,25.0224159142565,24.941719515399,132.719505619842,-17,-16,-16,-16
407,4,0,0,1,7.5430617,3858,3780,3874,3828,6.48555116483742,19.4122865538209,12.9022435711346,51.3862731848441,-17,-17,-16,-16
407,4,0,0,1,7.703863,3846,3760,3902,3846,4.85682091929906,14.4571415628845,4.80361154730573,14.3869987569633,-16,-18,-17,-17
407,4,0,0,1,7.5123724,3816,3730,3906,3862,7.30764986711039,7.25222588943111,21.618614491822,50.262694381995,-18,-18,-17,-16
407,4,0,0,1,7.7531301,3834,3750,3916,3858,19.1438671185896,18.9817613745832,28.3661655941104,84.613981614322,-18,-18,-17,-16
407,4,0,0,1,7.3337061,3858,3776,3874,3828,74.6835285477788,12.3785662649409,12.3296048608234,73.6840941830092,-17,-17,-17,-17
407,4,0,0,1,7.7372227,3838,3760,3906,3862,42.0468401799605,6.95631607413346,27.4270073055262,99.2970113996393,-18,-17,-16,-16
407,4,0,0,1,6.9434382,3828,3718,3916,3874,10.8096305160193,32.3079159778799,10.689059533786,21.1979603322568,-18,-18,-17,-16
407,4,0,0,1,8.2928509,3862,3784,3878,3828,11.3436045891687,56.2954022419081,22.2945805218938,88.523973398546,-17,-17,-17,-17
407,4,0,0,1,8.2200687,3850,3722,3886,3834,135.546169736336,2.24796794937217,107.70970349987,125.398251410954,-18,-17,-16,-16
407,4,0,0,1,7.7764144,3824,3742,3924,3858,51.5257548909535,71.6713764999795,5.11790370664176,183.522999255203,-17,-19,-17,-18
407,4,0,0,1,7.4540177,3858,3776,3878,3816,18.8940732126443,18.8477609802344,18.7863457082124,37.4727619861313,-17,-16,-16,-17
407,4,0,0,1,8.0292694,3834,3752,3898,3850,8.39428986826002,33.3860276135834,8.29712330437914,73.4255122653239,-16,-19,-16,-16
407,4,0,0,1,8.6186386,3828,3752,3910,3850,55.5757127783649,23.6695914391822,7.88771677417625,78.6109755071784,-16,-19,-17,-16
407,4,0,0,2,12.6003315,3854,3772,3886,3828,9.52600504116187,9.46072898701137,93.8726504848992,46.4170666270574,-17,-17,-17,-17
407,4,0,0,1,7.5890058,3890,3742,3862,3866,12.0814677533544,23.852998739369,11.8852926634465,35.6408401258835,-18,-18,-16,-17
407,4,0,0,1,6.8292292,3862,3780,3878,3842,29.222392145021,9.59834754848605,9.50740246355813,56.5846629157322,-17,-17,-16,-16
407,4,0,0,1,7.2810663,3850,3768,3894,3820,17.832893306691,17.7089097952407,26.4517841287532,17.5572277839618,-17,-17,-17,-17
407,4,0,0,1,7.9330865,3854,3776,3878,3816,9.48345516412068,18.8650591749744,9.38306357025569,37.4091891932334,-18,-16,-16,-17
407,4,0,0,1,7.5919579,3858,3776,3874,3828,10.4304870620238,20.3337789819894,20.1731054175883,50.14230385835,-17,-17,-17,-17
407,4,0,0,1,7.3405041,3838,3772,3890,3846,3.65196216275042,7.28739215570534,7.26682660952034,7.26373345003732,-17,-18,-18,-18
407,4,0,0,1,7.6089725,3796,3722,3932,3854,254.768929801345,151.974513249575,334.842411930206,6.23272884866332,-16,-21,-16,-16
407,4,0,0,1,8.2769259,3820,3746,3914,3878,47.9630109259739,123.754404883349,81.492218055191,11.2285366521893,-17,-17,-16,-16
407,4,0,0,1,7.8753705,3824,3742,3920,3854,95.0763748519185,9.45194771560602,18.7829405820458,65.3123985325237,-18,-17,-17,-17
407,4,0,0,1,7.4884498,3846,3772,3882,3832,5.10711666493025,30.5644645309577,20.3298621787818,91.1923860437146,-17,-18,-18,-17
407,4,0,0,1,7.6821608,3808,3756,3910,3846,18.3655909633946,18.2948805435775,9.10711147013368,90.6925829791788,-17,-17,-16,-18
407,4,0,0,1,7.4848448,3838,3760,3890,3842,37.9748758221561,64.9227865184588,5.39950243585054,225.22075655942,-18,-17,-16,-16
407,4,0,0,1,6.7738427,3796,3718,3940,3874,60.2368512993089,4.99019177806022,104.612515243538,24.8760550556851,-18,-17,-16,-16
407,4,0,0,1,8.0702329,3800,3722,3932,3870,55.0217571748371,15.611595981263,7.78687024660239,84.9654422374027,-17,-17,-17,-17
407,4,0,0,1,6.7904733,3800,3726,3932,3858,19.3497703182263,9.5475693320616,37.7774755579733,47.0169176273007,-19,-17,-17,-16
407,4,0,0,1,7.452452,3828,3756,3910,3850,24.4704293214472,12.1408729773306,96.664938780886,120.270078488253,-19,-18,-16,-16
407,4,0,0,1,6.9528948,3858,3772,3902,3834,124.469642632097,7.73334797513883,61.7118718984963,115.187025333466,-17,-18,-17,-16
407,4,0,0,1,6.8999852,3792,3722,3940,3838,7.69101796775618,22.9714487863035,7.63598350322124,189.940738489591,-17,-17,-17,-16
407,4,0,0,1,7.378931,3808,3726,3910,3870,17.5307730807967,8.75794783766268,8.74805683787489,96.11393870552,-18,-17,-17,-17
407,4,0,0,1,6.964448,3824,3750,3910,3828,49.5803437074694,8.25613843892934,8.24989935122792,82.4486592199038,-17,-18,-17,-17
407,4,0,0,1,7.5496906,3854,3768,3862,3838,129.320831241973,2.01751281826769,58.5019230994238,338.87522069753,-17,-17,-17,-16
407,4,0,0,1,7.1257464,3838,3752,3910,3846,55.2811321977919,5.02388354236038,5.02278082242009,75.325027493635,-17,-18,-17,-17
407,4,0,0,1,7.0362146,3828,3752,3916,3850,8.96652705784038,8.95948966746854,8.9548042076834,107.417250673372,-18,-18,-17,-16
407,4,0,0,1,7.921771,3846,3772,3906,3842,12.0876353563334,40.2746083898453,4.02561903956781,32.1849734795819,-16,-18,-17,-17
407,4,0,0,1,7.8376001,3874,3760,3898,3842,63.0956310592561,3.31335380985988,33.1252515448789,145.696666824505,-16,-18,-16,-17
407,4,0,0,1,7.6287776,3812,3726,3928,3870,212.248621124365,63.9422041172877,9.83381830447272,172.038021385801,-18,-18,-17,-17
407,4,0,0,1,7.6949705,3792,3734,3870,3854,15.0902737903825,15.0771459867276,7.53057413097175,22.5769308920145,-18,-17,-16,-16
407,4,0,0,1,8.5900072,3820,3742,3920,3862,13.4473670055403,13.4394693022362,6.71769878510417,13.4318875697283,-17,-19,-17,-16
407,4,0,0,1,7.7234743,3832,3752,3894,3834,25.7324086821147,42.8548899143588,8.5619883676826,111.151581687007,-17,-16,-16,-16
407,4,0,0,1,8.19165,3820,3742,3910,3850,10.191487865505,30.5383296755201,10.1707361477116,91.495214800266,-18,-17,-17,-17
407,4,0,0,1,7.1542627,3854,3742,3902,3842,6.95240108123742,41.6992152207695,27.7915770677802,166.692365072949,-16,-16,-17,-16
407,4,0,0,1,8.1105779,3804,3722,3928,3850,166.847924184303,72.5568520726016,181.334677627743,3.02113434531263,-16,-17,-16,-16
407,4,0,0,1,7.7069355,3858,3772,3874,3834,31.9819621733342,7.98935179193171,151.674688128901,23.9295895756327,-17,-17,-17,-16
