firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,7.8204155,3894,3784,3906,3870,5.86016245933047,1.94819097804447,181.095746099869,149.862068509153,-17,-19,-17,-17
407,4,0,0,1,7.6568837,3858,3738,3920,3866,12.3740400065087,12.3419307222745,6.15519840358774,49.1013230351492,-17,-18,-17,-18
407,4,0,0,1,7.2519092,3832,3714,3932,3878,6.76966486097139,6.71363976623106,6.69416182065136,33.311125916056,-18,-18,-17,-18
407,4,0,0,1,8.1148174,3834,3722,3928,3870,34.0502036202177,4.8418412553926,4.83419672086768,154.169242176272,-18,-19,-18,-18
407,4,0,0,2,11.7661145,3874,3750,3894,3842,8.35711629345178,8.2828150637901,32.7010316357955,57.1064488681094,-18,-19,-18,-17
407,4,0,0,2,12.0368867,3870,3756,3882,3812,15.5764695620208,7.74871836198293,23.1728587119907,99.9215231729542,-17,-18,-17,-17
407,4,0,0,1,7.4343187,3878,3768,3906,3870,10.1147927832976,30.1558454090741,190.145841860707,49.9098627878052,-18,-17,-17,-17
407,4,0,0,1,8.1877023,3846,3752,3920,3854,40.6657636156093,4.05267833405741,8.08562351881484,8.08433252314848,-17,-18,-18,-17
407,4,0,0,1,8.5817078,3846,3752,3906,3846,74.9918170693727,30.6448061212562,8.71348830562735,60.5334466750059,-17,-19,-18,-17
407,4,0,0,2,10.2723388,3812,3738,3936,3874,8.86627004885315,26.3989461540695,43.8737733989802,279.399605173433,-18,-17,-17,-17
407,4,0,0,1,7.4463012,3866,3768,3898,3842,8.36462399760437,41.5746826812344,8.28398151346685,57.8041364640054,-17,-17,-17,-17
407,4,0,0,1,7.201629,3834,3768,3914,3842,9.05269847362451,45.0113878811339,17.7897641255175,194.001303336029,-17,-19,-18,-18
407,4,0,0,1,7.4960814,3858,3784,3902,3834,9.04556613484768,18.0100838459453,8.94262412362284,8.87913368068504,-17,-17,-17,-17
407,4,0,0,1,8.2723257,3862,3768,3882,3846,70.5590004740282,66.1995116611508,34.1624196729418,2.12708164186029,-16,-18,-17,-16
407,4,0,0,1,6.8575932,3828,3742,3906,3866,17.9052151624943,17.805427628504,17.7519309662909,70.7187946688637,-17,-19,-18,-17
407,4,0,0,2,13.1104238,3816,3746,3914,3866,7.75605049499114,7.7228306954718,76.899001620262,99.7298089330291,-18,-18,-17,-17
407,4,0,0,1,6.8308219,3870,3780,3862,3828,6.88202827137214,27.4502430032762,6.79748194078985,13.5856090360603,-17,-17,-17,-17
407,4,0,0,1,7.5164538,3796,3714,3940,3878,8.83653731448794,17.5682857305991,78.2830611112367,85.9949486567159,-17,-17,-17,-17
407,4,0,0,1,7.4857979,3816,3738,3898,3850,8.58693412104142,25.6123267005945,25.5854156308127,8.43112738506055,-17,-18,-17,-16
407,4,0,0,1,8.7888591,3804,3722,3910,3870,17.5150059813745,17.4248661552468,17.3801357214798,86.7047011288952,-18,-18,-17,-16
407,4,0,0,1,8.0231784,3824,3742,3924,3870,208.855226954058,72.2950627369558,104.819117143516,9.30812475958859,-16,-16,-16,-16
407,4,0,0,1,8.1938896,3812,3738,3920,3850,8.35494479052482,8.33437513022461,16.6581293753618,223.729588818161,-20,-18,-18,-17
407,4,0,0,1,7.2611911,3878,3764,3874,3846,9.68944364183553,9.61821459006208,19.1025069174953,9.48496632836953,-17,-16,-17,-16
407,4,0,0,1,9.8226128,3874,3730,3936,3870,17.7641980352797,17.6071423960034,5.83851258053498,227.644706151544,-18,-17,-16,-17
407,4,0,0,1,6.9847603,3832,3768,3914,3850,14.5330037248089,28.3362377977076,14.0852410618582,98.1234589360333,-18,-17,-17,-17
407,4,0,0,1,7.976922,3834,3750,3898,3850,10.4214757434941,31.1425581742987,10.2968054161196,20.4993014863019,-17,-17,-16,-16
407,4,0,0,1,9.9352294,3838,3764,3920,3648,52.9264815886413,8.77941543140292,17.4859565911128,17.4197515595033,-17,-17,-17,-16
407,4,0,0,1,8.0674692,3824,3746,3924,3862,39.7459044329601,9.87517775319956,19.7423621736341,167.112956562428,-19,-18,-18,-17
407,4,0,0,2,11.3847578,3832,3750,3916,3858,17.2843816598883,5.74498692440976,57.3223251540108,28.5881567271363,-18,-17,-17,-17
407,4,0,0,1,8.6456108,3784,3734,3894,3824,10.1319483635384,40.5055497666374,20.1557637421997,40.191108721973,-18,-17,-17,-16
407,4,0,0,1,8.0668952,3858,3772,3886,3832,23.3260633769142,5.80651642111876,5.79582804705517,11.56829662038,-17,-19,-17,-17
407,4,0,0,1,6.8425417,3834,3764,3886,3832,8.33129216675248,24.773364999199,8.222554961613,24.3994879360799,-17,-19,-17,-18
