firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.073569,3640,3660,3932,3890,27.5383547320119,2.75071608016357,19.2334745986249,76.8595833057691,-25,-24,-18,-18
407,4,0,0,1,7.7214638,3554,3582,3988,3936,8.45193511280375,42.0824411855802,33.5441302384401,66.9260049357929,-21,-21,-18,-17
407,4,0,0,1,8.625115,3570,3596,3988,3914,11.0762619092891,3.67413508104591,18.2845841939278,171.82205961275,-26,-20,-18,-17
407,4,0,0,1,7.8428515,3578,3588,3984,3924,29.7228345676566,9.84673556099314,127.434363950583,58.4737189870013,-19,-17,-20,-17
407,4,0,0,1,7.7377635,3574,3624,3988,3894,25.0133821594553,8.30683453117887,16.5691022694699,124.00117057105,-19,-17,-17,-17
407,4,0,0,1,8.5723124,3558,3582,3976,3940,6.17427254720849,6.15626319748923,12.2724533738815,12.2058243752754,-21,-19,-18,-18
407,4,0,0,1,8.0273569,3562,3578,3984,3920,55.3922169011501,6.13612502477461,24.4965799712288,67.1098356175081,-22,-17,-17,-17
407,4,0,0,1,9.2981678,3570,3584,3988,3924,21.7732734519928,7.23860842096272,7.22093087908335,187.13800492173,-21,-19,-18,-17
407,4,0,0,1,9.5763066,3578,3608,3980,3914,5.12507751679744,5.01082588933391,19.9929524842493,164.619071468622,-20,-21,-18,-17
407,4,0,0,1,8.5898017,3558,3574,3980,3924,5.55184815473223,44.2793072280988,38.6498396307726,49.5773803752898,-20,-19,-18,-18
407,4,0,0,2,11.8653246,3578,3584,3972,3914,17.566156340548,52.6582776179502,17.46935438507,52.2432830375638,-24,-19,-18,-19
407,4,0,0,1,9.2277416,3570,3584,3980,3924,23.8885265795691,2.63849458053213,26.3766362086856,76.1502628497004,-21,-20,-17,-17
407,4,0,0,1,8.1425773,3534,3600,3980,3924,13.8147783591497,6.8706895011742,13.6996153832981,47.7973936764048,-23,-20,-17,-18
407,4,0,0,1,8.7338671,3530,3566,3960,3924,9.68711584531226,9.66439424543309,28.8612505002617,143.905459869084,-20,-18,-18,-18
407,4,0,0,1,7.6410691,3554,3558,3980,3928,36.9609385712897,7.35908276392431,7.34207652279256,216.55906006027,-19,-17,-18,-18
407,4,0,0,1,8.2889203,3562,3582,3972,3906,3.94302486786924,66.2464563016942,42.8181838706237,159.342978376769,-21,-20,-17,-17
407,4,0,0,1,8.6377806,3574,3588,3976,3914,9.08429407313402,9.04430624744498,81.086267680185,98.8299433165352,-20,-19,-18,-17
407,4,0,0,1,8.2904263,3574,3584,3976,3910,5.45365403000491,5.41479202054589,43.2042893218439,204.648317252284,-20,-20,-17,-18
407,4,0,0,1,9.3601444,3574,3592,3968,3910,8.26043499450681,123.347655366651,16.3867536038568,106.062015276194,-19,-22,-18,-18
407,4,0,0,1,8.2567821,3534,3578,3976,3928,40.756344598387,17.4165962745901,11.5840425180697,115.669919690375,-21,-20,-18,-18
407,4,0,0,1,7.3944646,3562,3584,3960,3916,3.98428597611022,19.8683680877451,11.9012765309207,47.034771238551,-22,-17,-18,-18
407,4,0,0,1,8.3402806,3574,3588,3972,3906,6.11474938699637,12.2011853451563,12.1710618399481,72.816240934378,-22,-20,-18,-17
407,4,0,0,1,9.4301726,3570,3582,3976,3924,47.6947535771065,7.91010325848794,94.5629458248883,78.7790507597058,-22,-17,-19,-17
407,4,0,0,2,15.0817704,3566,3608,3976,3916,8.40041414041712,4.19432122460758,29.283422110908,78.5485874690198,-21,-19,-21,-17
407,4,0,0,1,7.2502077,3562,3584,3972,3910,4.7451453604104,14.1645667696431,23.6003794941023,84.8019779590237,-21,-20,-17,-18
407,4,0,0,1,7.3469155,3542,3578,3964,3916,16.8962301131372,67.235817864893,16.754558287014,200.519345103819,-23,-18,-17,-17
407,4,0,0,1,7.6991485,3542,3574,3972,3924,15.536454348071,38.6557090616713,15.3991972398479,30.642723463976,-21,-19,-18,-17
407,4,0,0,1,7.2670057,3570,3582,3972,3920,9.53429725078539,9.49018714649053,37.8199091565782,65.8560724943646,-24,-19,-19,-18
407,4,0,0,1,7.6154688,3566,3612,3972,3928,2.55214283016306,2.545816421687,43.2441342511604,259.249092628176,-24,-19,-18,-17
407,4,0,0,1,7.5552651,3554,3574,3968,3914,9.99184665313105,9.93672294826545,19.7723217154466,59.1490813161854,-18,-21,-18,-18
407,4,0,0,1,8.0287299,3550,3600,3968,3910,3.54303494247351,17.644152727786,59.9055184258803,63.4194275551071,-17,-19,-17,-16
407,4,0,0,1,7.4549672,3526,3570,3964,3920,28.7330726285877,28.3113283533707,14.0836540885552,111.96970099891,-20,-20,-18,-18
407,4,0,0,1,7.5430844,3546,3578,3976,3914,5.20806750488777,20.7670949533883,10.3084228576907,5.15292064965962,-20,-20,-18,-17
407,4,0,0,1,8.7428761,3538,3574,3972,3914,9.35087182853493,9.31766722883259,18.5762079643634,83.3257722910329,-23,-18,-18,-17
407,4,0,0,1,7.0917643,3550,3616,3976,3920,26.5922892997946,3.78382121293416,37.7696136659527,79.2030812261542,-20,-19,-17,-18
407,4,0,0,1,8.957225,3562,3578,3972,3916,8.46675528537199,42.1381220218882,8.40214691658013,92.22416172429,-22,-25,-17,-18
407,4,0,0,1,6.9516517,3538,3574,3956,3902,16.2539781611549,21.6138990339127,5.38924059671828,80.7044313189149,-21,-19,-17,-18
407,4,0,0,1,8.2058076,3566,3578,3976,3914,9.03654196841186,44.7262796412237,80.2193374952314,44.1567387599021,-23,-22,-20,-19
407,4,0,0,1,8.089847,3558,3578,3976,3928,5.0261283281137,5.00801282051282,34.9978651302271,84.858710247438,-20,-17,-18,-17
407,4,0,0,1,7.5852467,3538,3578,3976,3890,18.7889636132931,12.521442971088,6.25861341671475,24.723804202305,-21,-20,-17,-18
407,4,0,0,1,7.0191137,3534,3596,3968,3920,24.1192843325953,24.0200230912489,16.0083499553367,175.53854427481,-19,-21,-17,-17
407,4,0,0,1,7.6303436,3558,3582,3964,3920,5.40620903107219,10.7898202362,53.8270204106679,64.4727312583143,-21,-21,-18,-16
407,4,0,0,1,8.4836754,3574,3596,3960,3906,8.47314014573801,50.6057508375252,100.905712861022,117.280827265447,-23,-17,-18,-18
407,4,0,0,1,7.2738626,3554,3584,3968,3906,36.7871117580193,24.4664629018081,18.2969001391784,85.2216005103556,-21,-21,-17,-17
407,4,0,0,1,9.7196414,3558,3608,3972,3906,147.97753875053,17.3196761913339,8.64014487794931,103.222876253835,-19,-23,-17,-18
407,4,0,0,1,7.8235507,3542,3578,3976,3920,10.0775924228598,35.1640579121893,10.0221589935347,35.01961098215,-21,-20,-18,-17
