firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,20.0571562,3566,3604,3980,3914,12.466256827646,10.52224561419,17.886763492874,21.9509457463141,-23,-19,-17,-16
407,4,0,0,2,24.3915461,3562,3588,3984,3920,13.7393560172002,10.4319911892793,19.8518518790835,27.353942121575,-24,-23,-17,-16
407,4,0,0,1,18.4039703,3578,3596,3988,3924,13.2803484454362,9.73320510572971,21.7361798755829,23.4005620048423,-20,-21,-17,-17
407,4,0,0,1,18.2440243,3574,3574,3984,3940,14.5110719236927,12.3118110980877,18.1073479852455,25.5312937825176,-20,-18,-17,-17
407,4,0,0,2,21.9110154,3570,3596,3976,3928,13.3605583771369,13.899385208658,17.3069684372956,24.3241808846452,-23,-21,-17,-17
407,4,0,0,1,20.4850703,3538,3584,3968,3906,13.5330228348588,13.5961792668109,18.6034954879037,28.262574455602,-24,-18,-17,-17
407,4,0,0,1,19.7593554,3566,3588,3980,3906,11.9431086674555,13.0696157315762,20.6518200327514,25.7672432228353,-21,-20,-17,-17
407,4,0,0,1,20.3855889,3534,3620,3964,3928,11.6826045359985,13.0994021716669,18.9988835825843,31.7191695653154,-24,-20,-17,-17
407,4,0,0,1,20.6383334,3584,3604,3980,3902,14.6376110247799,14.1863535160483,17.0850360370169,28.0785003326822,-21,-19,-16,-17
407,4,0,0,1,17.7504914,3530,3608,3980,3924,14.9081762270926,11.7154025067868,20.0614712433597,28.8267829100812,-20,-19,-16,-16
407,4,0,0,1,19.3227784,3554,3608,3980,3910,12.3339557436895,10.2916851506824,17.9594643395798,23.3773041121321,-23,-21,-16,-17
407,4,0,0,1,18.8497487,3592,3632,3976,3910,11.2869804381196,12.4727301380043,16.8289209646101,24.027185668439,-21,-23,-17,-17
