firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.3146915,3764,3660,3694,3648,12.4894994533346,2.49432852052645,17.4465220482915,12.4603604782286,-17,-17,-16,-16
407,4,0,0,1,6.4975209,3746,3620,3686,3632,8.27285189195986,16.4435685503597,24.5973011841141,40.8382625116185,-17,-17,-17,-17
407,4,0,0,1,7.5697,3730,3604,3706,3652,39.8780794185244,6.61506912747238,26.4098746521324,13.1174636072369,-18,-19,-17,-17
407,4,0,0,1,7.941746,3772,3628,3690,3624,9.82067448392356,9.79336969285055,9.7524820066707,48.6045629963741,-16,-17,-16,-16
407,4,0,0,1,8.1148512,3722,3588,3718,3660,7.6583986594739,22.8422279700036,22.7842333105491,37.7536003720995,-17,-17,-17,-17
407,4,0,0,1,8.4169061,3746,3624,3686,3632,9.81468885964112,48.7993886412591,38.8982082512824,77.3095503386642,-16,-17,-16,-16
407,4,0,0,1,7.4218538,3706,3604,3738,3674,17.8151976106257,22.1263120349879,13.2505322297112,4.40316622877179,-19,-19,-18,-17
407,4,0,0,1,8.4252022,3746,3670,3690,3660,59.4253670356121,51.3800290451304,61.3818120064359,10.2207346510756,-16,-17,-17,-16
407,4,0,0,1,8.8176026,3706,3588,3718,3666,7.81805203851798,7.76890310080229,15.5044648982791,92.519419440643,-18,-17,-16,-16
407,3,0,1,1,18.8603594,3694,3574,3746,3670,88.3853736061686,45.2609951463538,152.103255294857,7.12407671965713,-17,-19,-16,-17
407,4,0,0,1,9.0763068,3756,3620,3738,3678,124.073008836779,25.5847228502916,4.26087914293268,38.2944014010645,-17,-18,-16,-17
407,4,0,0,1,8.2738002,3738,3632,3698,3640,32.0407558414303,15.7951183607194,7.86631048012813,7.82959052807456,-18,-19,-18,-18
407,4,0,0,1,8.8599688,3730,3620,3710,3674,52.4934566906235,52.2714014799079,163.540605392525,10.4221998415131,-17,-16,-17,-17
407,4,0,0,1,8.7886354,3718,3640,3722,3660,10.0360595620063,4.97281610078506,24.6384917300903,191.890226981537,-18,-17,-17,-17
407,4,0,0,1,7.7674676,3722,3584,3734,3628,109.97800165022,30.1620579956051,38.3001622011869,8.17269670931815,-17,-19,-17,-17
