firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,2,17.6831451,3488,3428,3546,3484,2.57810497940352,2.57349847301468,5.14251450446216,30.8349645886128,-20,-20,-20,-19
407,4,0,0,1,10.0347538,3472,3420,3534,3468,2.69389294469438,13.4494975402214,8.06165120889834,51.0207506763606,-22,-22,-17,-18
407,4,0,0,1,9.8406188,3468,3394,3538,3480,23.9746571890407,39.7337941747079,2.64554673794828,66.0142347814744,-21,-21,-18,-17
407,4,0,0,1,8.8747862,3472,3394,3534,3428,2.5845930855415,41.093983481246,15.382173957518,61.521787556552,-21,-21,-18,-20
407,3,0,1,1,20.1938695,3472,3416,3530,3460,5.12309648148295,2.55735638909461,2.5479966121837,35.6187148869437,-20,-21,-19,-18
407,4,0,0,2,12.8445809,3488,3432,3542,3460,37.4118071663417,4.39769886009447,4.39423687045965,32.9271585398781,-21,-21,-20,-19
407,4,0,0,1,8.7081056,3468,3428,3538,3492,32.0692182005641,11.4276206505333,2.28293771164259,29.6470090272862,-22,-22,-18,-19
407,4,0,0,1,9.025017,3476,3416,3542,3452,5.25250774416611,2.62312076349602,5.24024149128888,20.9375905387216,-22,-22,-19,-19
407,4,0,0,1,9.6484549,3440,3398,3542,3460,5.13650255541002,30.7468407621117,5.11854944403596,53.6815716532672,-20,-22,-18,-18
407,4,0,0,2,15.4100417,3472,3414,3534,3444,10.1659954568166,5.07254242928115,2.53241426954663,25.221972272477,-21,-21,-19,-19
407,4,0,0,1,10.6402431,3480,3382,3510,3448,2.10448826316373,12.6142615579748,4.19574140638735,4.18440768349308,-20,-21,-18,-19
407,4,0,0,2,16.7222546,3472,3414,3530,3436,12.9711359796613,2.15741957085904,2.15141485646621,21.4365580776381,-20,-20,-18,-18
407,4,0,0,3,20.1101709,3472,3416,3530,3456,11.314536418551,4.51120323489362,9.01968636746563,42.7679507781404,-21,-20,-18,-18
407,4,0,0,1,9.3618173,3448,3416,3288,3436,2.46871947274077,2.45559305518994,46.6514795639511,7.35521444250294,-20,-20,-21,-19
407,4,0,0,1,10.4043973,3464,3410,3526,3444,2.62675953487444,2.62365550773506,5.24243372646344,31.4250637928795,-21,-21,-18,-20
407,4,0,0,2,15.2674126,3456,3414,3522,3456,2.12698708450903,4.22849340682737,4.22448758021774,14.762550698817,-21,-22,-18,-18
407,4,0,0,1,10.9783524,3448,3406,3506,3476,12.2502840840879,4.89093938805545,24.4188973939909,9.75175921736281,-21,-22,-19,-20
407,4,0,0,3,23.7899189,3472,3416,3546,3432,15.3480330947445,15.2666228441893,2.17816520076149,69.6316702244098,-21,-20,-19,-19
407,4,0,0,2,13.4008235,3456,3402,3526,3366,1.91057733826008,11.4315566979491,7.60283981272685,43.6771446237613,-20,-20,-19,-18
407,4,0,0,1,10.2203942,3468,3414,3530,3448,2.19957394252733,26.356648058141,2.19226372055653,39.3250682235316,-20,-22,-18,-19
407,4,0,0,7,43.5808123,3472,3414,3542,3424,9.59917493171627,1.91120576251472,11.4266408703901,57.0912575205838,-23,-22,-18,-19
407,4,0,0,1,10.2654064,3456,3410,3506,3452,2.78480709502012,5.54700546296833,13.8460200722984,5.52845690263779,-21,-22,-17,-17
