firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,0,4,0,10,42.6978204,2984,2874,3448,3382,1.82760027311658,1.82320856995542,9.07691249184666,21.7692485055864,-25,-26,-19,-21
407,0,4,0,10,39.9596507,2980,2894,3346,3402,0.988057057923758,0,25.6783630952146,16.7772517835206,-25,-25,-20,-20
407,0,3,1,10,39.691171,2932,2894,3398,3366,2.91375602674012,1.9385281104992,25.1923313380684,30.0274819263618,-25,-24,-19,-21
407,0,4,0,10,35.8437785,2948,2944,3452,3366,1.38915610850143,2.77601809075469,9.67729136485614,24.8803840978407,-24,-25,-19,-19
407,0,4,0,10,36.3924557,2944,2980,3354,3346,3.92997453474751,0,33.3995102060062,37.2794223180718,-25,-26,-20,-19
407,0,4,0,10,26.3023667,2924,2788,3436,3320,1.86686559986499,5.59607319812972,9.31760471962768,13.0367655412213,-25,-25,-21,-19
407,0,4,0,10,54.7374354,2936,2776,3428,3350,1.89796249929775,5.68539201062183,11.3646931940072,24.6102400558539,-25,-25,-21,-19
407,0,4,0,10,37.4581888,2920,2788,3424,3304,1.88284806376378,1.87888165206306,7.50983459777044,26.2726420913624,-25,-25,-21,-20
407,0,4,0,10,43.1861726,2924,2854,3428,3390,4.78482086396257,0,27.7463292802325,42.0661798526135,-25,-24,-21,-20
407,0,3,1,10,43.6481772,3002,2910,3440,3370,2.93974003290941,0,22.5346107126404,39.1429801077332,-25,-26,-19,-20
407,0,4,0,10,37.1765645,2964,2808,3464,3308,2.18658764630458,6.5438645053591,10.8882907103935,30.4675484700612,-24,-25,-20,-19
407,0,4,0,10,36.5472846,2906,2804,3390,3354,1.91559835342828,1.90132394890534,15.2041248790797,20.8989115846847,-26,-25,-19,-19
407,0,4,0,10,35.9129314,2936,2916,3382,3382,1.28613889528386,8.99564058406381,11.5597745021944,39.8018586440842,-25,-26,-19,-20
407,0,4,0,10,44.1228775,2828,2936,3444,3370,2.55093190644406,2.54738875457782,17.8232287084346,31.8076719850367,-24,-25,-20,-20
407,0,4,0,10,34.7107101,2972,2780,3440,3338,1.89223852953387,3.77822713492503,5.65919319900798,18.8534998223058,-24,-25,-20,-19
407,0,4,0,10,40.4585522,2992,2866,3464,3324,1.45837243594427,11.6500997394164,20.386608735691,50.923008630286,-25,-25,-19,-19
407,0,4,0,10,40.0957914,2972,2882,3448,3382,8.87359812995258,2.52892681323736,12.6431089303715,12.6360108619149,-25,-26,-21,-19
407,0,4,0,10,36.4739004,3014,2928,3386,3346,2.57542021522014,2.57032274514582,30.8231079813099,35.8917484357607,-25,-25,-21,-20
407,0,4,0,10,45.7370768,2936,2800,3456,3320,1.86623325265607,1.86370953117828,5.54883735210961,5.54695879663536,-24,-25,-19,-20
407,0,4,0,10,39.7292186,2992,2890,3420,3312,0.976711868240788,0,22.4617710422848,26.3313547433254,-24,-26,-20,-20
407,0,4,0,10,46.9955514,2976,2910,3424,3354,2.58607993340327,5.14878707448493,18.0118981452891,17.9979191834293,-25,-25,-21,-20
407,0,4,0,10,33.3859188,2902,2800,3394,3350,1.86522412719635,1.86348343940902,9.30202272484152,20.4420652358336,-24,-25,-18,-22
407,0,4,0,10,30.4107849,2940,2914,3414,3374,1.60421098967947,1.60251993054038,32.0459513305319,38.4525908394393,-24,-25,-20,-19
407,0,4,0,10,33.1769045,3042,2910,3448,3338,2.65031598392318,1.32433719902947,22.5117975061166,30.4529236859001,-24,-25,-19,-19
407,0,4,0,10,40.9125628,2924,2886,3382,3332,1.30027513821925,7.79551531799271,27.2827368482593,18.1875909704327,-24,-27,-19,-20
407,0,4,0,10,44.917722,2910,2878,3464,3378,0.972397807554111,0,37.9162548540098,23.3182150333893,-24,-25,-20,-20
407,0,4,0,10,46.4465082,2960,2890,3460,3366,1.28157644154922,2.56274463800143,17.9375805509477,15.3740683795002,-25,-26,-20,-20
407,0,4,0,10,47.7568646,2890,2910,3362,3320,3.86803252912209,1.28794495117208,24.4683762334798,19.3082895378419,-25,-24,-20,-19
407,0,4,0,10,41.4819274,2932,2916,3432,3354,0.980089001882261,0.979434903279334,34.278939088382,35.2571943774177,-25,-25,-21,-19
407,0,4,0,10,41.6441743,3002,2882,3414,3334,1.28596672098161,2.57007832570705,20.5582674622888,25.6947243206604,-24,-26,-19,-19
407,0,4,0,10,41.2980754,2910,2928,3382,3382,2.97128608552669,0,26.7390323916638,21.7743437658173,-25,-25,-19,-19
