Model: ,Oscilloscope MSO6104A
Serial Number:,MY44002304
Address: ,USBInstrument1
Date: ,2020-10-22 21:02:39

Sample Number,Time (s),1 (VOLT),4 (VOLT),
1,-0.045,-0.0287501215934753,0.431250404566526,
2,-0.04,-0.0287501215934753,0.462500400841236,
3,-0.035,-0.0287501215934753,0.462500400841236,
4,-0.03,-0.0287501215934753,0.431250404566526,
5,-0.025,-0.0575001239776611,0.462500400841236,
6,-0.02,-0.0287501215934753,0.462500400841236,
7,-0.015,-0.0287501215934753,0.431250404566526,
8,-0.01,-1.19209289550781E-07,0.431250404566526,
9,-0.005,-0.0287501215934753,0.462500400841236,
10,0,2.12750005722046,2.08750020712614,
11,0.005,2.09875005483627,2.08750020712614,
12,0.01,2.09875005483627,2.08750020712614,
13,0.015,2.09875005483627,2.02500021457672,
14,0.02,2.0412500500679,2.05625021085143,
15,0.025,2.09875005483627,2.02500021457672,
16,0.03,2.0412500500679,2.05625021085143,
17,0.035,2.0412500500679,1.99375021830201,
18,0.04,2.01250004768372,2.05625021085143,
19,0.045,2.01250004768372,2.02500021457672,
20,0.05,2.01250004768372,2.02500021457672,
21,0.055,2.01250004768372,2.02500021457672,
22,0.06,1.98375004529953,2.02500021457672,
23,0.065,2.01250004768372,1.99375021830201,
24,0.07,1.98375004529953,1.99375021830201,
25,0.075,2.01250004768372,1.99375021830201,
26,0.08,1.98375004529953,1.9625002220273,
27,0.085,1.98375004529953,1.99375021830201,
28,0.09,2.01250004768372,2.02500021457672,
29,0.095,2.01250004768372,1.99375021830201,
30,0.1,1.95500004291534,1.9625002220273,
31,0.105,1.95500004291534,1.99375021830201,
32,0.11,1.98375004529953,1.9625002220273,
33,0.115,1.98375004529953,1.9625002220273,
34,0.12,1.92625004053116,1.99375021830201,
35,0.125,1.95500004291534,1.9625002220273,
36,0.13,1.98375004529953,1.9625002220273,
37,0.135,1.95500004291534,1.93125022575259,
38,0.14,1.98375004529953,1.9625002220273,
39,0.145,1.95500004291534,1.99375021830201,
40,0.15,1.98375004529953,1.99375021830201,
41,0.155,1.98375004529953,1.99375021830201,
42,0.16,1.98375004529953,1.9625002220273,
43,0.165,1.95500004291534,1.9625002220273,
44,0.17,1.98375004529953,1.99375021830201,
45,0.175,1.98375004529953,1.99375021830201,
46,0.18,1.95500004291534,1.93125022575259,
47,0.185,1.95500004291534,1.9625002220273,
48,0.19,1.95500004291534,1.99375021830201,
49,0.195,1.95500004291534,1.93125022575259,
50,0.2,1.95500004291534,1.9625002220273,
51,0.205,1.98375004529953,1.9625002220273,
52,0.21,1.92625004053116,1.9625002220273,
53,0.215,1.98375004529953,1.9625002220273,
54,0.22,1.98375004529953,1.99375021830201,
55,0.225,1.95500004291534,1.9625002220273,
56,0.23,1.95500004291534,1.9625002220273,
57,0.235,1.92625004053116,1.9625002220273,
58,0.24,1.98375004529953,1.9625002220273,
59,0.245,1.95500004291534,1.99375021830201,
60,0.25,1.95500004291534,1.9625002220273,
61,0.255,1.95500004291534,1.9625002220273,
62,0.26,1.95500004291534,1.93125022575259,
63,0.265,1.95500004291534,1.9625002220273,
64,0.27,1.95500004291534,1.9625002220273,
65,0.275,1.95500004291534,1.9625002220273,
66,0.28,1.92625004053116,1.93125022575259,
67,0.285,1.95500004291534,1.9625002220273,
68,0.29,1.95500004291534,1.9625002220273,
69,0.295,1.95500004291534,1.9625002220273,
70,0.3,1.95500004291534,1.93125022575259,
71,0.305,1.95500004291534,1.93125022575259,
72,0.31,1.95500004291534,1.93125022575259,
73,0.315,1.92625004053116,1.9625002220273,
74,0.32,1.92625004053116,1.93125022575259,
75,0.325,1.95500004291534,1.93125022575259,
76,0.33,1.95500004291534,1.93125022575259,
77,0.335,1.95500004291534,1.9625002220273,
78,0.34,1.95500004291534,1.9625002220273,
79,0.345,1.95500004291534,1.9625002220273,
80,0.35,1.98375004529953,1.9625002220273,
81,0.355,1.98375004529953,1.9625002220273,
82,0.36,1.95500004291534,1.99375021830201,
83,0.365,1.95500004291534,1.93125022575259,
84,0.37,1.95500004291534,1.9625002220273,
85,0.375,1.98375004529953,1.99375021830201,
86,0.38,1.98375004529953,1.99375021830201,
87,0.385,1.95500004291534,1.9625002220273,
88,0.39,1.95500004291534,1.99375021830201,
89,0.395,1.98375004529953,1.99375021830201,
90,0.4,1.98375004529953,1.99375021830201,
91,0.405,1.95500004291534,1.9625002220273,
92,0.41,1.98375004529953,1.9625002220273,
93,0.415,1.95500004291534,1.99375021830201,
94,0.42,1.98375004529953,1.99375021830201,
95,0.425,1.98375004529953,2.02500021457672,
96,0.43,1.95500004291534,1.99375021830201,
97,0.435,1.98375004529953,2.02500021457672,
98,0.44,1.98375004529953,1.9625002220273,
99,0.445,1.98375004529953,1.9625002220273,
100,0.45,1.98375004529953,1.9625002220273,
101,0.455,1.98375004529953,1.9625002220273,
102,0.46,1.95500004291534,1.99375021830201,
103,0.465,1.98375004529953,1.99375021830201,
104,0.47,1.98375004529953,1.9625002220273,
105,0.475,1.98375004529953,1.9625002220273,
106,0.48,1.98375004529953,1.9625002220273,
107,0.485,1.98375004529953,1.99375021830201,
108,0.49,1.92625004053116,1.99375021830201,
109,0.495,1.95500004291534,1.9625002220273,
110,0.5,1.98375004529953,1.99375021830201,
111,0.505,1.95500004291534,1.99375021830201,
112,0.51,2.01250004768372,1.9625002220273,
113,0.515,1.95500004291534,1.9625002220273,
114,0.52,1.95500004291534,1.93125022575259,
115,0.525,1.95500004291534,1.93125022575259,
116,0.53,1.98375004529953,1.9625002220273,
117,0.535,1.95500004291534,1.93125022575259,
118,0.54,1.98375004529953,1.9625002220273,
119,0.545,1.98375004529953,1.9625002220273,
120,0.55,1.95500004291534,1.99375021830201,
121,0.555,1.98375004529953,1.99375021830201,
122,0.56,1.95500004291534,1.9625002220273,
123,0.565,1.92625004053116,1.99375021830201,
124,0.57,1.98375004529953,1.99375021830201,
125,0.575,1.95500004291534,1.99375021830201,
126,0.58,1.98375004529953,1.93125022575259,
127,0.585,1.98375004529953,1.9625002220273,
128,0.59,1.95500004291534,1.9625002220273,
129,0.595,1.98375004529953,1.9625002220273,
130,0.6,1.95500004291534,1.9625002220273,
131,0.605,1.95500004291534,2.02500021457672,
132,0.61,1.98375004529953,1.9625002220273,
133,0.615,1.98375004529953,1.99375021830201,
134,0.62,1.95500004291534,1.99375021830201,
135,0.625,1.98375004529953,1.99375021830201,
136,0.63,1.95500004291534,1.99375021830201,
137,0.635,1.95500004291534,1.99375021830201,
138,0.64,1.98375004529953,2.02500021457672,
139,0.645,1.98375004529953,1.9625002220273,
140,0.65,1.98375004529953,1.99375021830201,
141,0.655,1.95500004291534,1.99375021830201,
142,0.66,1.98375004529953,1.9625002220273,
143,0.665,1.98375004529953,1.93125022575259,
144,0.67,1.95500004291534,1.9625002220273,
145,0.675,1.95500004291534,1.9625002220273,
146,0.68,1.98375004529953,1.9625002220273,
147,0.685,1.98375004529953,1.9625002220273,
148,0.69,1.98375004529953,2.02500021457672,
149,0.695,1.98375004529953,1.9625002220273,
150,0.7,1.95500004291534,2.02500021457672,
151,0.705,1.98375004529953,1.99375021830201,
152,0.71,1.95500004291534,1.99375021830201,
153,0.715,2.01250004768372,1.9625002220273,
154,0.72,1.98375004529953,1.93125022575259,
155,0.725,1.95500004291534,1.9625002220273,
156,0.73,1.95500004291534,1.93125022575259,
157,0.735,1.98375004529953,1.9625002220273,
158,0.74,1.95500004291534,1.93125022575259,
159,0.745,1.98375004529953,1.9625002220273,
160,0.75,1.95500004291534,1.9625002220273,
161,0.755,1.95500004291534,1.99375021830201,
162,0.76,1.95500004291534,1.9625002220273,
