Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.05,-0.0156251210719347,0.337500415742397,
Firmware Version:,06.20.0000,,-0.045,-0.0312501229345798,0.275000423192978,
Start Time:,2020-10-23 15:35:27.510,,-0.04,-0.046875124797225,0.306250419467688,
,,,-0.035,-0.0312501229345798,0.337500415742397,
Analog Sample Count:,1000,,-0.03,-1.19209289550781E-07,0.306250419467688,
Function Sample Count:,0,,-0.025,0.0312498845160007,0.306250419467688,
Waveform Memory Sample Count:,0,,-0.02,0.0156248826533556,0.275000423192978,
Digital Sample Count:,0,,-0.015,-0.0156251210719347,0.337500415742397,
,,,-0.01,0.0468748863786459,0.306250419467688,
Setup Text Information:,,,-0.005,-0.0156251210719347,0.306250419467688,
ANALOG,,,0,1.95312511362135,2.08750020712614,
Channel 1,,,0.005,2.10937513224781,2.11875020340085,
Scale,500 mV/,,0.01,2.10937513224781,2.11875020340085,
Pos,1 V,,0.015,2.04687512479723,2.08750020712614,
Coup,,,0.02,2.03125012293458,1.99375021830201,
BW,Off,,0.025,2.06250012665987,2.08750020712614,
Inv,Off,,0.03,2.10937513224781,2.11875020340085,
Imp,1M Ohm,,0.035,2.1406251359731,2.11875020340085,
Trace Label,1,,0.04,2.12500013411045,2.11875020340085,
Probe,10,,0.045,2.10937513224781,2.11875020340085,
Skew,0 s,,0.05,2.01562512107193,2.05625021085143,
,,,0.055,2.06250012665987,2.05625021085143,
Channel 4,,,0.06,2.09375013038516,2.05625021085143,
Scale,1 V/,,0.065,2.12500013411045,2.11875020340085,
Pos,3.025 V,,0.07,1.93750011175871,1.9625002220273,
Coup,,,0.075,2.00000011920929,2.05625021085143,
BW,Off,,0.08,2.01562512107193,2.02500021457672,
Inv,Off,,0.085,2.12500013411045,2.11875020340085,
Imp,1M Ohm,,0.09,2.12500013411045,2.11875020340085,
Trace Label,4,,0.095,2.12500013411045,2.15000019967556,
Probe,10,,0.1,2.06250012665987,2.08750020712614,
Skew,0 s,,0.105,2.00000011920929,2.02500021457672,
,,,0.11,2.04687512479723,2.05625021085143,
MATH,,,0.115,2.07812512852252,2.08750020712614,
DIGITAL,,,0.12,2.10937513224781,2.11875020340085,
TRIGGER,,,0.125,1.98437511734664,1.99375021830201,
Sweep Mode,AUTO,,0.13,2.01562512107193,1.99375021830201,
Coup,DC,,0.135,2.04687512479723,2.02500021457672,
Noise Rej,Off,,0.14,2.04687512479723,2.05625021085143,
