firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,2,9.8390611,0,0,0,0,0,0,0,0,0,0,0,0
407,4,0,0,1,8.5044344,3636,3518,3992,3956,7.56169397068331,3.78084698534166,7.56169397068331,7.56169397068331,-21,-20,-17,-17
407,4,0,0,1,8.2085964,3636,3522,3962,3948,3.52505893898546,3.52505893898546,10.5751768169564,10.5751768169564,-20,-21,-17,-17
407,4,0,0,1,8.8504246,3632,3514,3974,3976,8.64852149200833,30.2698252220292,8.64852149200833,4.32426074600417,-21,-22,-17,-17
407,4,0,0,1,8.1363558,3632,3506,3990,3960,8.6277852647781,8.6277852647781,8.6277852647781,51.7667115886686,-21,-22,-17,-18
407,4,0,0,1,7.2609448,3628,3510,3996,3914,8.74739109060723,34.9895643624289,17.4947821812145,8.74739109060723,-18,-21,-17,-17
407,4,0,0,1,7.6213724,3636,3514,3968,3964,6.58059251655019,59.2253326489517,46.0641476158513,59.2253326489517,-20,-21,-18,-17
407,4,0,0,1,8.905118,3628,3502,3978,3956,4.06615801740641,20.330790087032,28.4631061218449,4.06615801740641,-20,-19,-18,-17
407,4,0,0,1,7.7302875,3640,3534,3978,3972,9.9686108381927,69.7802758673489,57.8179428615177,1.99372216763854,-21,-18,-18,-17
407,4,0,0,1,8.8311906,3628,3514,3992,3944,3.58250105862906,14.3300042345163,10.7475031758872,35.8250105862906,-19,-20,-18,-17
407,4,0,0,1,8.3151841,3624,3500,3992,3956,24.5265306547909,6.13163266369773,6.13163266369773,42.9214286458841,-19,-23,-17,-17
407,4,0,0,1,8.3167424,3640,3530,3998,3948,10.2773761036617,13.7031681382156,20.5547522073235,3.42579203455391,-20,-22,-17,-17
407,4,0,0,1,8.1985889,3628,3518,3988,3956,7.74180162562351,3.87090081281175,23.2254048768705,3.87090081281175,-22,-21,-18,-17
407,4,0,0,1,9.1508535,3644,3522,3972,3956,18.5280844999233,3.70561689998466,7.41123379996932,3.70561689998466,-20,-21,-18,-17
407,4,0,0,1,8.4265092,3632,3530,3988,3976,4.8064999259799,4.8064999259799,38.4519994078392,4.8064999259799,-21,-18,-17,-18
407,4,0,0,1,7.6017719,3632,3522,3982,3948,82.3518592991033,4.57510329439463,59.4763428271302,4.57510329439463,-21,-20,-17,-17
407,4,0,0,1,8.1238559,3640,3574,3996,3964,6.09924198620596,6.09924198620596,6.09924198620596,67.0916618482655,-20,-23,-17,-16
407,4,0,0,1,8.249599,3620,3538,3974,3952,46.1494619549604,5.76868274437005,23.0747309774802,23.0747309774802,-20,-19,-17,-18
407,4,0,0,1,9.0779595,3600,3510,3964,3940,7.18923541402987,3.59461770701493,3.59461770701493,3.59461770701493,-22,-22,-16,-18
407,4,0,0,1,7.8497585,3644,3522,3990,3948,5.35606590531975,10.7121318106395,26.7803295265988,21.424263621279,-18,-20,-18,-18
407,4,0,0,1,7.5885426,3628,3518,3970,3948,7.99980480476276,11.9997072071441,3.99990240238138,3.99990240238138,-20,-20,-17,-17
407,4,0,0,1,7.651105,3624,3534,3972,3960,10.1267617400815,35.4436660902851,20.2535234801629,5.06338087004074,-20,-20,-17,-16
407,4,0,0,1,8.9981083,3620,3526,3984,3952,7.260128968931,3.6300644844655,18.1503224223275,3.6300644844655,-21,-19,-18,-18
407,4,0,0,1,8.9827115,3620,3550,3990,3932,7.23025805152499,7.23025805152499,3.61512902576249,36.1512902576249,-20,-19,-17,-19
407,4,0,0,1,8.30546,3628,3526,3996,3952,8.78111918876508,26.3433575662953,4.39055959438254,4.39055959438254,-21,-21,-17,-17
407,4,0,0,1,8.7687823,3628,3530,3970,3960,8.34591479989417,8.34591479989417,16.6918295997883,33.3836591995767,-18,-19,-17,-17
407,4,0,0,1,8.5058008,3636,3522,3974,3952,5.1324005366438,30.7944032198628,15.3972016099314,15.3972016099314,-20,-20,-17,-19
407,4,0,0,1,8.3683698,3628,3534,3980,3956,21.1505474819216,5.28763687048039,68.7392793162451,5.28763687048039,-20,-20,-18,-16
407,4,0,0,1,7.1303146,3620,3522,3970,3940,5.77356871788092,75.0563933324519,69.282824614571,23.0942748715237,-19,-20,-17,-17
407,4,0,0,1,8.1028911,3636,3546,3978,3960,3.67690316507824,11.0307094952347,3.67690316507824,3.67690316507824,-19,-21,-17,-17
407,4,0,0,1,7.6938191,3644,3558,3936,3944,3.7236445096165,18.6182225480825,14.894578038466,3.7236445096165,-18,-20,-16,-18
407,4,0,0,1,7.5850525,3620,3518,3992,3940,6.15106776385313,147.625626332475,12.3021355277063,18.4532032915594,-21,-21,-17,-17
407,4,0,0,1,8.3867642,3628,3530,3982,3952,5.48949858919886,5.48949858919886,5.48949858919886,5.48949858919886,-20,-19,-17,-17
407,4,0,0,1,7.2105332,3620,3518,3970,3944,5.05943572113402,55.6537929324742,15.1783071634021,5.05943572113402,-19,-22,-17,-16
407,4,0,0,1,8.4575567,3624,3530,3970,3952,4.7837002112482,38.2696016899856,196.131708661176,9.5674004224964,-19,-20,-18,-19
407,4,0,0,1,6.9331332,3624,3554,3980,3920,10.0563709875708,45.2536694440687,135.761008332206,5.02818549378541,-21,-17,-17,-18
407,4,0,0,1,8.9428788,3628,3522,3984,3940,5.88580825684726,5.88580825684726,5.88580825684726,17.6574247705418,-19,-20,-17,-17
407,4,0,0,1,8.7460878,3624,3534,3992,3952,6.63605454704117,3.31802727352058,9.95408182056175,13.2721090940823,-21,-21,-17,-19
407,4,0,0,1,8.5395776,3628,3526,3956,3932,17.7083191912729,29.5138653187881,141.666553530183,5.90277306375762,-21,-23,-18,-18
407,4,0,0,1,8.1323031,3608,3468,3978,3910,5.19145030432282,31.1487018259369,46.7230527389054,41.5316024345825,-19,-20,-18,-19
