firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.995441,3592,3558,3982,3948,1.29434976204027,36.2417933371275,56.9513895297718,9.06044833428188,-20,-22,-18,-17
407,4,0,0,1,8.0709706,3640,3542,3990,3976,3.60005155273823,7.20010310547647,39.6005670801206,10.8001546582147,-20,-21,-17,-17
407,4,0,0,1,8.1352552,3636,3518,3978,3964,3.30320480233127,9.90961440699381,16.5160240116563,3.30320480233127,-19,-21,-17,-17
407,4,0,0,1,7.9576718,3644,3518,3982,3960,4.70362240071947,9.40724480143893,9.40724480143893,14.1108672021584,-17,-19,-18,-17
407,4,0,0,1,8.2822176,3644,3526,3992,3964,4.55228089758233,18.2091235903293,50.0750898734056,4.55228089758233,-20,-22,-17,-17
407,4,0,0,1,8.4653157,3648,3530,3992,3968,8.00138904113754,32.0055561645502,8.00138904113754,8.00138904113754,-19,-22,-17,-17
407,4,0,0,1,7.8361216,3636,3526,3988,3956,27.7327121205818,6.93317803014546,27.7327121205818,6.93317803014546,-21,-23,-17,-16
407,4,0,0,1,7.9869875,3644,3546,3992,3964,15.7621802247687,23.643270337153,55.1676307866904,7.88109011238434,-20,-20,-18,-17
407,4,0,0,1,8.9799785,3640,3550,3980,3964,3.894294819147,3.894294819147,15.577179276588,7.788589638294,-20,-20,-17,-16
407,4,0,0,1,8.1608462,3640,3538,3976,3964,11.4693104191804,5.73465520959018,28.6732760479509,22.9386208383607,-17,-19,-17,-18
407,4,0,0,1,9.2299581,3644,3522,3972,3936,1.85270718500226,109.309723915133,79.6664089550972,31.4960221450384,-20,-22,-17,-16
407,4,0,0,1,7.7930134,3640,3538,3992,3960,3.78630546322229,26.504138242556,7.57261092644458,11.3589163896669,-19,-23,-18,-17
407,4,0,0,1,8.5518427,3640,3534,3980,3956,4.27634237594438,8.55268475188875,12.8290271278331,12.8290271278331,-18,-21,-16,-18
407,4,0,0,1,8.3715622,3624,3522,3970,3948,24.4147181687008,109.866231759154,6.1036795421752,305.18397710876,-17,-20,-17,-16
407,4,0,0,1,7.7037503,3636,3522,3970,3940,10.6014147234568,3.53380490781893,28.2704392625515,10.6014147234568,-22,-20,-19,-17
407,4,0,0,1,8.8979413,3640,3538,3974,3960,12.7412502649118,59.4591679029219,25.4825005298237,4.24708342163728,-20,-23,-17,-16
407,4,0,0,1,8.7739442,3636,3522,3978,3944,45.0856881682192,22.5428440841096,11.2714220420548,5.6357110210274,-20,-21,-17,-18
407,4,0,0,1,8.2352736,3640,3538,3982,3956,3.72426856296491,3.72426856296491,7.44853712592981,3.72426856296491,-19,-21,-16,-16
407,4,0,0,1,7.5242678,3636,3526,3968,3956,9.28468899077288,27.8540669723186,9.28468899077288,27.8540669723186,-18,-21,-17,-17
407,4,0,0,1,8.9718593,3632,3530,3966,3948,5.0948612210752,45.8537509896768,66.2331958739776,5.0948612210752,-19,-20,-18,-16
407,4,0,0,1,8.695522,3636,3530,3984,3952,3.52193655794801,7.04387311589601,10.565809673844,3.52193655794801,-19,-23,-17,-16
407,4,0,0,1,7.5747891,3640,3526,3964,3952,14.1372329476696,14.1372329476696,4.71241098255654,9.42482196511308,-20,-20,-16,-17
407,4,0,0,1,7.9509707,3636,3534,3972,3956,6.27380123342932,6.27380123342932,25.0952049337173,225.856844403456,-18,-18,-18,-18
407,4,0,0,1,7.7137104,3636,3530,3968,3960,13.1248580874719,6.56242904373596,13.1248580874719,6.56242904373596,-22,-19,-19,-17
407,4,0,0,1,7.7959879,3624,3526,3964,3972,8.33041768714283,133.286682994285,41.6520884357142,8.33041768714283,-20,-25,-17,-17
407,4,0,0,1,8.4006694,3636,3538,3960,3956,4.59965097848375,41.3968588063538,18.398603913935,4.59965097848375,-20,-20,-17,-17
407,4,0,0,1,8.1443088,3652,3554,3982,3988,33.5747920461318,8.39369801153294,8.39369801153294,25.1810940345988,-18,-21,-16,-16
407,4,0,0,1,7.4621916,3632,3554,3964,3940,4.31982050281847,21.5991025140923,21.5991025140923,8.63964100563694,-18,-20,-18,-16
407,4,0,0,1,7.728294,3652,3558,3980,3964,16.6191497476798,16.6191497476798,8.30957487383988,8.30957487383988,-19,-22,-17,-17
407,4,0,0,1,7.3448778,3592,3452,3992,3796,15.8432155390258,21.1242873853677,5.28107184634193,5.28107184634193,-19,-20,-17,-16
407,4,0,0,1,8.0404585,3640,3522,3982,3948,6.14499735765114,6.14499735765114,12.2899947153023,6.14499735765114,-19,-20,-18,-17
407,4,0,0,3,13.4846846,3632,3542,3984,3936,7.18666758176901,3.5933337908845,161.700020589803,7.18666758176901,-19,-19,-18,-17
407,4,0,0,1,8.9663426,3640,3522,3982,3944,10.4976020852437,10.4976020852437,5.24880104262184,10.4976020852437,-20,-21,-16,-19
407,4,0,0,1,8.6712576,3612,3510,3970,3936,7.63221282272812,7.63221282272812,22.8966384681844,15.2644256454562,-20,-17,-18,-18
407,4,0,0,1,8.0433788,3644,3546,3988,3952,3.66329484797876,10.9898845439363,32.9696536318088,18.3164742398938,-20,-21,-20,-18
407,4,0,0,3,14.6630282,3640,3546,3940,3948,6.7878847118509,61.0909624066581,27.1515388474036,6.7878847118509,-21,-22,-17,-17
407,4,0,0,1,8.3141023,3628,3526,3978,3928,20.4172329613087,3.40287216021811,23.8201051215268,6.80574432043622,-21,-23,-16,-16
407,4,0,0,1,8.0581607,3640,3530,3976,3944,17.5316981869068,63.1141134728646,3.50633963738137,38.569736011195,-22,-23,-17,-16
407,4,0,0,1,8.3899773,3636,3550,3990,3948,3.62781518458324,10.8834455537497,7.25563036916647,3.62781518458324,-19,-19,-17,-16
407,4,0,0,1,8.6299994,3632,3554,3968,3940,7.48962125734264,22.4688637720279,37.4481062867132,29.9584850293706,-18,-19,-18,-18
407,4,0,0,1,8.0897181,3636,3550,3966,3960,19.6584115099213,1.96584115099213,45.214346472819,33.4192995668662,-18,-23,-17,-17
407,4,0,0,1,8.8265969,3640,3542,3986,3956,3.48383136444604,3.48383136444604,27.8706509155683,6.96766272889208,-20,-21,-17,-16
407,4,0,0,1,7.954658,3640,3534,3974,3956,12.306488165158,6.153244082579,6.153244082579,18.459732247737,-20,-22,-17,-17
407,4,0,0,1,7.8181107,3636,3538,3984,3944,7.22645170381665,7.22645170381665,7.22645170381665,14.4529034076333,-19,-20,-16,-17
407,4,0,0,1,7.6755915,3636,3538,3960,3952,83.5116306648027,66.8093045318422,5.56744204432018,5.56744204432018,-19,-22,-17,-17
407,4,0,0,1,7.5292709,3636,3542,3964,3956,5.84383519215991,5.84383519215991,93.5013630745586,5.84383519215991,-20,-21,-16,-17
407,4,0,0,1,8.3563654,3628,3518,3968,3932,3.81617776977228,3.81617776977228,68.6911998559011,3.81617776977228,-19,-20,-17,-17
407,4,0,0,1,7.9315704,3620,3496,3954,3932,3.84974595526441,11.5492378657932,19.2487297763221,7.69949191052882,-18,-20,-17,-20
407,4,0,0,1,8.825982,3644,3538,3976,3924,6.95516699355952,13.910333987119,6.95516699355952,13.910333987119,-16,-19,-17,-18
407,4,0,0,1,8.1518986,3640,3542,3988,3956,6.57801259820973,19.7340377946292,6.57801259820973,72.358138580307,-17,-20,-17,-17
407,4,0,0,1,7.6295406,3656,3566,3988,3968,20.0230164574178,5.00575411435445,25.0287705717723,15.0172623430634,-19,-20,-17,-17
407,4,0,0,1,7.9594498,3640,3562,3980,3928,4.88809918930875,39.10479351447,24.4404959465437,14.6642975679262,-17,-20,-16,-17
407,4,0,0,1,7.4826301,3636,3546,3986,3940,10.5308385074853,3.51027950249511,17.5513975124755,7.02055900499021,-20,-20,-17,-16
407,4,0,0,1,7.8662406,3636,3542,3968,3960,9.00496488739066,4.50248244369533,13.507447331086,9.00496488739066,-20,-20,-17,-17
407,4,0,0,1,7.4954876,3644,3530,3970,3948,5.00331219267155,10.0066243853431,10.0066243853431,5.00331219267155,-20,-20,-19,-17
407,4,0,0,1,7.887668,3640,3538,3988,3948,6.41967605030715,6.41967605030715,6.41967605030715,6.41967605030715,-19,-19,-17,-17
407,4,0,0,1,7.7136102,3640,3546,3972,3920,6.0562602350798,78.7313830560374,6.0562602350798,6.0562602350798,-19,-23,-17,-16
407,4,0,0,1,9.0345062,3640,3538,3976,3948,19.1433357262503,4.78583393156257,28.7150035893754,14.3575017946877,-20,-20,-18,-16
407,4,0,0,1,7.5254526,3640,3546,3932,3956,5.48441056297474,27.4220528148737,71.2973373186717,27.4220528148737,-19,-20,-16,-17
407,4,0,0,1,8.7363219,3632,3550,3970,3956,6.97017601088463,6.97017601088463,6.97017601088463,6.97017601088463,-22,-20,-16,-16
407,4,0,0,2,18.6346405,3636,3542,3972,3960,4.92834919522522,19.7133967809009,4.92834919522522,4.92834919522522,-19,-21,-16,-17
407,4,0,0,1,9.2878343,3636,3558,3980,3948,38.6256603780873,53.11028301987,19.3128301890436,4.82820754726091,-19,-22,-17,-17
407,4,0,0,1,7.8077004,3632,3558,3928,3952,4.35432159887206,4.35432159887206,8.70864319774411,4.35432159887206,-16,-20,-17,-16
407,4,0,0,1,8.4656446,3632,3546,3974,3940,25.4528270030739,4.24213783384564,38.1792405046108,8.48427566769128,-20,-21,-18,-16
407,4,0,0,1,7.5097467,3632,3538,3980,3940,7.47740142354768,3.73870071177384,11.2161021353215,7.47740142354768,-23,-21,-17,-17
407,4,0,0,3,13.9570667,3644,3546,3980,3948,5.55643532448193,5.55643532448193,22.2257412979277,5.55643532448193,-20,-19,-18,-18
407,4,0,0,2,9.6272701,3636,3534,3974,3936,5.95750511600752,5.95750511600752,5.95750511600752,5.95750511600752,-19,-20,-16,-17
407,4,0,0,1,8.0603319,3632,3526,3970,3936,25.6892423728639,38.5338635592959,4.28154039547732,17.1261615819093,-19,-21,-17,-16
407,4,0,0,1,7.5096654,3616,3522,3972,3952,10.720250768106,48.2411284564769,5.36012538405298,5.36012538405298,-19,-20,-16,-17
407,4,0,0,1,7.8096539,3632,3546,3978,3948,28.6627398713043,28.6627398713043,40.127835819826,5.73254797426086,-21,-21,-17,-17
407,4,0,0,1,10.4244842,3624,3534,3988,3924,11.0330096616066,27.5825241540164,16.5495144924098,5.51650483080328,-19,-24,-17,-16
407,4,0,0,1,8.9679536,3632,3538,3970,3948,3.51594074796014,3.51594074796014,3.51594074796014,7.03188149592028,-20,-23,-16,-17
407,4,0,0,1,7.8644928,3640,3534,3986,3928,3.45102478180896,6.90204956361792,6.90204956361792,13.8040991272358,-20,-20,-18,-18
407,4,0,0,1,8.5349314,3644,3550,3978,3948,3.71010707369015,29.6808565895212,14.8404282947606,3.71010707369015,-19,-20,-18,-17
407,4,0,0,1,7.8152893,3624,3534,3976,3948,5.6797721729786,5.6797721729786,5.6797721729786,34.0786330378716,-18,-20,-16,-16
407,4,0,0,1,7.3147851,3636,3526,3974,3948,10.7347795586181,5.36738977930904,75.1434569103265,5.36738977930904,-20,-19,-17,-17
407,4,0,0,1,7.9229605,3640,3534,3984,3948,9.96569310149809,59.7941586089886,19.9313862029962,4.98284655074905,-20,-20,-17,-16
407,4,0,0,1,9.4474613,3640,3530,3988,3952,3.62906591472421,87.097581953381,7.25813182944842,25.4034614030695,-20,-25,-16,-16
407,4,0,0,1,8.0003685,3644,3526,3938,3948,9.34710036589224,4.67355018294612,65.4297025612457,32.7148512806229,-20,-20,-18,-17
407,4,0,0,1,8.0928741,3632,3542,3972,3924,3.63120732196644,29.0496585757316,65.361731795396,14.5248292878658,-19,-18,-17,-19
407,4,0,0,1,8.9412293,3636,3542,3988,3952,2.33807323125929,46.7614646251858,37.4091717001487,7.01421969377787,-19,-24,-17,-16
407,4,0,0,1,8.0357822,3628,3526,3984,3944,3.51754233538078,38.6929656891886,73.8683890429963,17.5877116769039,-18,-21,-18,-17
407,4,0,0,1,7.919689,3632,3526,3990,3952,4.56955479284609,4.56955479284609,59.4042123069991,31.9868835499226,-17,-20,-17,-17
407,4,0,0,1,7.7615093,3628,3518,3978,3924,2.9859097902906,2.9859097902906,11.9436391611624,8.95772937087179,-20,-23,-17,-16
407,4,0,0,1,8.6645831,3624,3538,3968,3944,4.89630363349796,4.89630363349796,73.4445545024695,4.89630363349796,-20,-21,-16,-16
407,4,0,0,1,7.8023255,3632,3530,3972,3952,6.95607413088201,3.47803706544101,34.7803706544101,3.47803706544101,-21,-21,-19,-17
407,4,0,0,1,7.8809188,3636,3554,3972,3956,8.26603403952817,12.3990510592923,4.13301701976409,33.0641361581127,-19,-21,-17,-17
407,4,0,0,1,8.3054206,3644,3534,3976,3948,3.67217603236803,7.34435206473606,11.0165280971041,18.3608801618401,-20,-24,-16,-16
407,4,0,0,1,8.9865188,3636,3530,3988,3948,15.0463785811792,11.2847839358844,33.8543518076531,3.76159464529479,-18,-19,-17,-18
407,4,0,0,1,8.1219656,3628,3530,3968,3914,4.64795678143866,41.831611032948,4.64795678143866,4.64795678143866,-19,-20,-17,-16
407,4,0,0,1,8.7713527,3628,3550,3972,3952,9.32091538845847,27.9627461653754,9.32091538845847,4.66045769422924,-20,-20,-18,-16
407,4,0,0,1,8.2709878,3628,3534,3968,3944,4.44459852385994,4.44459852385994,4.44459852385994,31.1121896670196,-19,-21,-17,-17
