firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.2877742,3596,3584,3998,3968,6.23591722027754,2.07863907342585,29.1009470279619,6.23591722027754,-21,-21,-17,-16
407,4,0,0,1,8.4331153,3616,3546,3988,3960,8.17210452121683,8.17210452121683,8.17210452121683,40.8605226060841,-19,-20,-17,-17
407,4,0,0,1,8.7147085,3624,3506,3988,3968,3.14323864222149,172.878125322182,15.7161932111075,28.2891477799934,-21,-24,-18,-16
407,4,0,0,1,8.0367768,3628,3538,3970,3960,4.67574852889262,14.0272455866779,14.0272455866779,4.67574852889262,-19,-19,-17,-17
407,4,0,0,1,7.2663123,3620,3578,3972,3948,5.48346775597582,2.74173387798791,41.1260081698186,24.6756049018912,-23,-23,-18,-17
407,4,0,0,1,9.464056,3612,3526,3992,3956,3.62652849109578,7.25305698219157,18.1326424554789,10.8795854732874,-19,-20,-18,-19
407,4,0,0,1,7.3543537,3620,3522,3994,3940,3.46873903011282,10.4062170903385,13.8749561204513,10.4062170903385,-20,-20,-17,-19
407,4,0,0,2,16.4261785,3624,3502,3974,3956,3.49796505882703,10.4938951764811,6.99593011765405,3.49796505882703,-19,-22,-17,-16
407,4,0,0,1,8.9329797,3636,3538,3970,3956,10.2025044087572,5.10125220437861,5.10125220437861,30.6075132262717,-21,-21,-18,-17
407,4,0,0,1,8.2807287,3624,3530,3980,3960,14.3638175436077,3.59095438590191,3.59095438590191,3.59095438590191,-20,-20,-17,-17
407,4,0,0,1,8.1608873,3620,3526,3964,3960,14.6236779281173,7.31183896405866,160.86045720929,21.935516892176,-20,-22,-18,-16
407,4,0,0,1,7.4494607,3628,3558,3988,3916,3.50798048019342,45.6037462425144,70.1596096038683,49.1117267227078,-20,-19,-17,-18
407,4,0,0,1,7.7895278,3624,3534,3980,3948,25.7683477077766,61.8440344986639,56.6903649571086,5.15366954155533,-20,-21,-18,-16
