firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,11.1929863,3690,3660,3748,3784,1.85776332355345,3.7155266471069,22.2931598826414,5.57328997066034,-17,-18,-17,-17
407,4,0,0,1,12.759351,3760,3698,3728,3780,13.6731101198106,225.606316976875,41.0193303594319,6.83655505990531,-20,-20,-18,-17
407,4,0,0,1,10.5769583,3702,3652,3738,3788,8.13185642556932,38.6263180214543,67.0878155109469,2.03296410639233,-17,-17,-16,-16
407,4,0,0,1,10.1914069,3756,3660,3736,3788,11.561789672547,104.056107052923,11.561789672547,23.123579345094,-17,-17,-16,-17
407,4,0,0,1,11.3970016,3738,3640,3720,3800,17.6957951251624,79.6310780632306,4.42394878129059,17.6957951251624,-18,-18,-18,-18
407,4,0,0,1,10.2157377,3764,3694,3720,3768,4.60610437801009,128.970922584283,27.6366262680605,46.0610437801009,-17,-17,-16,-16
407,4,0,0,1,9.4605196,3764,3678,3718,3772,9.94351091449476,34.8022882007316,59.6610654869685,4.97175545724738,-17,-17,-17,-17
407,4,0,0,1,10.6802069,3706,3612,3714,3796,4.67597153829644,37.4077723063715,51.4356869212608,4.67597153829644,-16,-17,-16,-17
407,4,0,0,1,8.7936402,3772,3678,3718,3772,3.34971904231533,3.34971904231533,3.34971904231533,6.69943808463065,-17,-17,-16,-17
407,4,0,0,1,12.0454298,3726,3636,3758,3804,31.7470647854414,55.5573633745225,7.93676619636036,15.8735323927207,-17,-19,-16,-16
407,4,0,0,1,10.8701467,3726,3632,3746,3800,7.4612165961333,29.8448663845332,29.8448663845332,7.4612165961333,-17,-19,-18,-16
407,4,0,0,1,10.4077722,3702,3600,3770,3796,6.7838509072383,6.7838509072383,13.5677018144766,6.7838509072383,-17,-18,-17,-18
407,4,0,0,1,10.75377,3750,3660,3710,3784,57.0853269951322,98.6019284461374,5.18957518137565,20.7583007255026,-17,-16,-16,-16
407,4,0,0,1,11.8743249,3756,3674,3736,3780,6.84438336212537,6.84438336212537,6.84438336212537,13.6887667242507,-17,-18,-18,-18
407,4,0,0,1,9.9659069,3760,3674,3730,3776,7.70841234455987,15.4168246891197,7.70841234455987,30.8336493782395,-17,-17,-17,-17
407,4,0,0,1,10.4794363,3764,3694,3718,3772,10.4723885004796,31.4171655014389,167.558216007674,31.4171655014389,-16,-16,-16,-16
407,4,0,0,1,11.745134,3734,3640,3730,3792,8.08719941901559,8.08719941901559,8.08719941901559,16.1743988380312,-17,-18,-16,-16
407,4,0,0,1,11.424915,3764,3682,3754,3772,7.71947132428688,27.0181496350041,3.85973566214344,96.4933915535861,-17,-17,-17,-17
407,4,0,0,1,12.0584874,3706,3620,3718,3808,7.36117920201873,29.4447168080749,36.8058960100937,29.4447168080749,-16,-17,-16,-17
407,4,0,0,1,12.2465466,3752,3674,3766,3780,84.9343033163848,4.9961354891991,9.99227097839821,134.895658208376,-17,-18,-16,-18
407,4,0,0,1,14.2861674,3714,3620,3724,3804,18.2829996259298,10.9697997755579,3.65659992518597,18.2829996259298,-18,-18,-17,-18
407,4,0,0,1,10.4619857,3694,3596,3722,3768,28.4352642773462,5.68705285546924,17.0611585664077,28.4352642773462,-17,-16,-16,-16
407,4,0,0,1,11.9794438,3746,3664,3766,3772,8.16102685304276,8.16102685304276,16.3220537060855,16.3220537060855,-16,-17,-16,-17
407,4,0,0,1,10.3936344,3750,3664,3708,3796,8.89716127172464,8.89716127172464,26.6914838151739,8.89716127172464,-16,-16,-16,-16
407,4,0,0,1,11.4389794,3726,3636,3750,3780,2.08606520956402,35.4631085625884,33.3770433530244,6.25819562869208,-17,-18,-18,-16
407,4,0,0,1,10.5294154,3764,3686,3710,3780,7.24376800529085,3.62188400264542,3.62188400264542,10.8656520079363,-17,-16,-16,-17
407,4,0,0,1,11.4547358,3768,3682,3708,3772,5.76602840576234,28.8301420288117,103.788511303722,11.5320568115247,-17,-18,-18,-18
407,4,0,0,1,9.6347524,3764,3686,3758,3776,120.322319429287,64.1719036956198,4.01074398097624,216.580174972717,-17,-18,-17,-17
407,4,0,0,1,11.3745382,3706,3612,3708,3800,49.6849696894082,93.8493871911044,5.52055218771202,27.6027609385601,-17,-17,-16,-17
407,4,0,0,1,12.4539311,3746,3660,3746,3788,4.74222453010483,23.7111226505241,4.74222453010483,4.74222453010483,-17,-18,-17,-16
407,4,0,0,1,10.4666224,3714,3620,3766,3800,3.37495325689739,30.3745793120765,10.1248597706922,6.74990651379478,-19,-19,-19,-18
