firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,9.1241427,3288,3338,3626,3652,27.3583402242153,6.83958505605382,150.470871233184,2.27986168535127,-19,-21,-17,-18
407,4,0,0,6,20.8528444,3304,3288,3646,3628,16.8956948502344,2.11196185627931,152.06125365211,2.11196185627931,-19,-20,-17,-18
407,3,0,0,3,14.8447004,3354,3342,3634,3652,18.4856502499128,2.64080717855897,139.962780463625,7.92242153567691,-22,-22,-19,-17
407,3,0,0,1,7.8068103,3346,3374,3654,3628,2.76732497638088,35.9752246929515,88.5543992441882,102.391024126093,-20,-22,-18,-18
407,4,0,0,2,10.9413127,3332,3334,3638,3632,11.5195926672033,2.87989816680082,149.754704673643,69.1175560032197,-20,-20,-18,-19
407,4,0,0,3,15.0013244,3338,3334,3630,3644,2.72962715476768,32.7555258572121,267.503461167232,5.45925430953535,-21,-21,-17,-17
407,2,1,1,10,41.9205074,3300,3346,3626,3644,2.96561664066809,26.6905497660128,299.527280707478,2.96561664066809,-21,-22,-17,-17
407,4,0,0,7,36.9190835,3346,3350,3644,3652,13.7953161354353,1.97075944791933,108.391769635563,78.8303779167733,-20,-21,-19,-18
407,3,0,0,9,37.6500668,3398,3304,3644,3644,55.6939860519981,144.804363735195,11.1387972103996,44.5551888415985,-19,-21,-20,-18
407,4,0,0,1,7.6311338,3342,3342,3620,3652,10.5110885414682,2.62777213536705,207.593998693997,5.25554427073411,-21,-20,-17,-17
407,3,0,0,3,16.2027337,3324,3334,3630,3652,16.5478667731246,41.3696669328115,163.410184384606,2.06848334664058,-20,-21,-17,-17
407,3,0,0,6,33.3296266,3324,3332,3616,3660,1.97587418107425,19.7587418107425,55.3244770700789,81.0108414240441,-20,-22,-17,-17
407,4,0,0,1,7.1883782,3304,3304,3630,3640,2.81193734891109,11.2477493956444,123.725243352088,28.1193734891109,-21,-22,-17,-17
407,4,0,0,6,30.0479844,3324,2940,3620,3620,2.58310694553545,23.247962509819,126.572240331237,15.4986416732127,-20,-22,-17,-18
407,3,1,0,10,45.8574494,3342,3316,3634,3616,19.4093727861184,1.94093727861184,93.1649893733684,64.0509301941908,-20,-20,-17,-18
407,3,0,0,1,8.193636,3342,3362,3630,3592,3.41353781790278,34.1353781790278,105.819672354986,3.41353781790278,-20,-22,-18,-18
407,4,0,0,7,28.2563648,3324,3308,3628,3644,2.24827422470512,20.234468022346,112.413711235256,6.74482267411535,-20,-22,-17,-17
407,4,0,0,7,25.2502,3346,3308,3624,3628,2.45426116185705,4.9085223237141,215.97498224342,22.0883504567135,-20,-21,-17,-17
407,3,0,0,2,12.0303879,3334,3300,3630,3636,2.65641644109264,2.65641644109264,135.477238495724,31.8769972931116,-22,-21,-17,-17
407,2,1,0,10,34.7557606,3312,3280,3624,3616,42.1164942230209,72.1997043823215,144.399408764643,2.00554734395338,-20,-20,-19,-17
