firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,0,0,4,9,19.4382752,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,67.6001761,0,0,3270,0,0,0,7.76101280440996,0,0,0,-20,0
407,0,0,3,9,83.8963411,0,0,0,3476,0,0,0,1.94239157934403,0,0,0,-20
407,0,0,4,9,23.4843946,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,23.4308639,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,19.4311402,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,19.4427202,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,19.4274401,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,76.491116,2916,0,0,3468,2.92971782715719,0,0,0.976572609052398,-21,0,0,-20
407,0,0,3,9,147.1524843,0,3124,0,3518,0,1.94385694068214,0,0.971928470341068,0,-24,0,-20
407,0,0,2,9,86.5586923,3100,3164,3264,3510,35.1812891831608,35.1812891831608,35.1812891831608,70.3625783663217,-21,-24,-20,-19
407,0,0,4,9,76.8317432,0,0,3238,0,0,0,4.85954411061644,0,0,0,-21,0
407,0,0,4,9,100.1452684,0,3132,0,3480,0,1.97334757300942,0,3.94669514601884,0,-24,0,-18
407,0,0,4,10,49.8711536,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,39.5726181,0,3156,0,0,0,3.92528687468463,0,0,0,-24,0,0
407,0,0,4,9,31.6221235,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,26.5748885,0,3156,0,0,0,1.96896730323051,0,0,0,-24,0,0
407,0,0,4,9,57.5299911,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,75.8025132,3126,3178,0,3500,0.982385339667099,5.8943120380026,0,1.9647706793342,-20,-24,0,-18
407,0,0,4,10,86.5439285,3176,2706,3268,0,1.94099661441666,1.94099661441666,1.94099661441666,0,-21,-24,-21,0
407,0,0,4,9,46.517548,0,0,0,3456,0,0,0,4.89372972283089,0,0,0,-18
407,0,0,4,9,79.5529222,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,3,9,122.7888582,0,0,0,3480,0,0,0,0.972830876562452,0,0,0,-18
407,0,0,3,9,129.0025742,3158,0,3220,3484,0.969924484589403,0,2.90977345376821,0.969924484589403,-21,0,-21,-18
407,0,0,3,9,76.3680022,3182,3140,0,3480,0.975054117941181,0.975054117941181,0,3.90021647176472,-21,-24,0,-18
407,0,2,1,10,66.1903386,0,0,0,0,0,0,0,0,0,0,0,0
407,0,1,3,10,87.4758982,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,22.7311301,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,98.2620635,0,3164,0,3472,0,1.94866229692138,0,4.87165574230344,0,-25,0,-19
407,0,0,3,9,86.0149316,0,0,0,0,0,0,0,0,0,0,0,0
407,0,1,1,10,113.4217246,3106,0,3250,3448,1.95186981809061,0,2.92780472713592,4.87967454522653,-21,0,-20,-19
407,0,0,4,9,96.8559673,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,3,9,76.1462449,3144,3100,0,3506,0.957949925849886,0.957949925849886,0,0.957949925849886,-21,-24,0,-18
407,0,0,3,9,45.1762991,3240,3092,3286,3480,7.57531568234277,22.7259470470283,7.57531568234277,15.1506313646855,-21,-24,-20,-19
407,0,0,4,10,33.019623,0,3140,3260,3488,0,1.94272195161185,1.94272195161185,4.85680487902962,0,-24,-21,-18
407,0,0,4,9,27.5311048,0,3140,0,0,0,1.95159897919664,0,0,0,-24,0,0
407,0,0,4,9,23.5523782,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,31.5519912,3086,3140,3260,0,1.96506024629083,0.982530123145413,2.94759036943624,0,-21,-24,-21,0
407,0,1,3,10,104.2245164,3086,3140,0,3488,0.959305769600655,3.83722307840262,0,0.959305769600655,-22,-25,0,-19
407,0,0,4,9,26.7287647,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,23.3947317,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,4,9,58.6657343,3172,0,0,3484,0.987622521981021,0,0,3.95049008792408,-22,0,0,-19
407,0,0,4,9,23.5803566,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,3,9,130.1509756,3178,0,0,3464,1.9539661213538,0,0,3.9079322427076,-21,0,0,-19
407,0,0,4,9,95.4742511,0,0,3186,0,0,0,2.92071258377334,0,0,0,-20,0
