firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,18.2815611,3882,3742,3898,3862,14.3432569738493,13.790994328721,16.0550254512812,20.2351667175386,-16,-18,-16,-16
407,4,0,0,1,20.1233343,3854,3698,3944,3878,15.1883407035991,14.0725090720775,20.1724731370999,22.6050357220822,-18,-19,-16,-17
407,4,0,0,1,18.0056936,3850,3746,3948,3846,16.185698476581,14.9792034296384,16.546916708135,24.074062774945,-17,-16,-16,-16
407,4,0,0,1,17.7877396,3834,3768,3920,3834,14.9917236013641,17.5002234806765,17.2774258868204,25.7431934817662,-17,-17,-16,-16
407,4,0,0,1,19.9582967,3828,3726,3944,3886,13.0339341542514,15.8020849015947,18.0399871778644,24.9984696553722,-16,-17,-16,-16
407,4,0,0,1,19.2261105,3828,3746,3932,3866,15.3436493937351,14.9527012544646,17.1033374913654,22.9359541004889,-17,-17,-16,-17
407,4,0,0,1,21.7684189,3804,3768,3890,3834,18.5972068169921,13.237606474012,14.70569282154,23.8080219741241,-16,-17,-16,-16
407,4,0,0,1,19.4050958,3828,3730,3914,3878,15.4203896419519,15.1497128287768,18.6000005984348,22.9718499334976,-16,-19,-16,-16
407,4,0,0,1,18.9216344,3834,3750,3920,3832,15.7112682313651,18.5825563016768,15.0607223554447,23.0487235968091,-16,-17,-16,-17
407,4,0,0,3,22.4917886,3828,3760,3882,3874,16.6903303760293,15.4888227943532,18.1065777793036,22.7871051954537,-19,-19,-16,-16
407,4,0,0,1,20.2036011,3832,3756,3898,3846,17.114810264057,15.2482524413541,16.141773161064,28.6778276378129,-16,-18,-16,-16
407,4,0,0,1,18.0625591,3828,3734,3916,3834,17.81587959427,12.8491181766048,20.0419029941061,22.0138044074826,-16,-16,-16,-16
407,4,0,0,1,16.4220335,3812,3784,3906,3838,15.601297935915,16.346195554465,16.7162861761328,21.5480957915427,-16,-18,-16,-16
407,4,0,0,1,18.0790222,3800,3742,3928,3832,16.3154876481718,11.2572849549561,24.1200622800536,23.3945542600283,-17,-16,-16,-16
407,4,0,0,1,19.1566323,3820,3760,3890,3886,18.9937400469924,15.4203718319577,20.9653592862739,29.0008555731747,-16,-17,-16,-16
407,4,0,0,1,18.2222667,3816,3734,3924,3838,17.7097045072048,11.3620395592131,16.5755319364457,23.2913545486518,-16,-16,-16,-16
407,4,0,0,1,17.6989331,3812,3772,3906,3866,16.5676504489181,16.8432221203449,15.6614677512453,24.9445972779633,-16,-17,-16,-16
407,4,0,0,1,18.2770565,3832,3742,3914,3862,13.4285586192747,13.7594726962375,17.8773623324399,25.8982491641595,-16,-18,-16,-16
407,4,0,0,1,20.8466589,3812,3752,3928,3846,15.7407845797756,15.2149708690364,20.3489415736829,23.8733360030834,-16,-18,-16,-16
407,4,0,0,1,18.2482751,3846,3784,3936,3886,16.3102495895834,16.1765212001985,19.0323236439644,24.4403700566362,-16,-17,-16,-16
407,4,0,0,2,23.4825423,3842,3776,3932,3832,15.1494277579109,15.5094012741188,17.501562982503,23.1203833180253,-16,-16,-16,-17
407,4,0,0,1,20.3173545,3824,3784,3932,3828,16.5680991330121,15.1003648495245,15.7180205084241,21.0687127561814,-18,-18,-16,-16
407,4,0,0,1,20.2312181,3824,3742,3924,3850,17.8483936250521,17.9596747318178,15.1466252012655,24.5049925396401,-16,-16,-16,-17
407,4,0,0,1,19.2101238,3824,3746,3928,3902,19.5999127714791,15.8144166977386,19.7531287511727,23.1935466864742,-16,-17,-16,-16
407,4,0,0,1,19.7332463,3850,3752,3874,3854,17.3687926579052,11.3487025028429,18.9927113278813,22.3470046830777,-17,-17,-17,-16
407,4,0,0,1,17.6954041,3832,3780,3928,3842,15.4083279123305,12.7793256166621,17.1711098454389,24.3250238776908,-17,-18,-16,-16
407,4,0,0,1,20.0940985,3832,3752,3928,3878,16.4389491480749,14.442178977145,17.7746293343434,23.1525355999958,-17,-16,-16,-16
407,4,0,0,1,16.8869381,3796,3784,3920,3850,18.2169223592129,12.8513824423737,18.6187110731792,25.0518090682153,-17,-18,-16,-16
407,4,0,0,1,18.1693951,3792,3768,3886,3874,17.5398273351333,17.2060918015564,16.2810306897429,24.9665350182816,-17,-17,-16,-16
407,4,0,0,1,20.3089013,3846,3734,3940,3862,15.6110124947908,16.6418329838511,20.2113616804054,23.4338580750704,-16,-19,-16,-16
407,4,0,0,1,19.5955267,3834,3772,3914,3866,17.4875300979481,12.779531039076,19.8486636098368,21.925977076822,-16,-18,-16,-16
407,4,0,0,1,18.657265,3850,3776,3924,3870,14.9679669136833,16.4722410523569,16.7308010681347,21.1954208720653,-17,-18,-16,-16
407,4,0,0,1,17.1967148,3796,3772,3902,3846,17.8346527001138,10.2376738996883,17.9564876660131,26.2762847698201,-17,-19,-16,-16
407,4,0,0,1,18.6148191,3816,3756,3932,3812,17.6050569291047,11.7655076404754,18.1712225332647,25.1917294079606,-16,-17,-16,-16
407,4,0,0,1,17.9037973,3832,3772,3924,3866,14.5522155425936,15.8829186736787,17.726518314279,21.0445695019723,-16,-18,-16,-16
407,4,0,0,1,20.2320193,3834,3738,3886,3850,16.1514990852361,13.9095570640649,18.0839818527441,21.8499518208562,-16,-16,-16,-16
407,4,0,0,1,19.0912004,3858,3752,3902,3832,15.195968879988,13.1070491467213,18.367552753764,24.3025781344332,-16,-17,-16,-16
407,4,0,0,1,18.7200991,3800,3726,3916,3862,15.802358895197,11.5430237133563,20.1224384764646,22.4435579442626,-16,-18,-16,-16
407,4,0,0,1,20.5898878,3832,3772,3882,3846,17.1387670265144,18.3703482433891,15.8451802713634,26.5347722072359,-16,-16,-16,-16
407,4,0,0,1,20.0070186,3850,3742,3936,3874,15.6679207361252,14.9207206967587,19.2706757979403,22.2484602983951,-16,-18,-16,-16
407,4,0,0,1,19.9294755,3800,3746,3940,3828,15.8252484969295,14.6069446690898,16.6076728637822,28.964607842779,-16,-19,-16,-16
407,4,0,0,1,17.6678355,3834,3764,3924,3882,15.8942902543762,12.4663119734962,21.4864518837963,23.7104320310266,-17,-19,-16,-16
407,4,0,0,1,19.1623559,3862,3784,3936,3858,17.679069478404,12.221210231463,19.8865611755496,21.669000812036,-16,-19,-16,-16
407,4,0,0,1,18.9660237,3854,3764,3940,3850,17.0630603788185,13.8887460757592,17.1942651343969,23.6415722720178,-17,-18,-16,-16
407,4,0,0,1,20.1164207,3832,3718,3928,3874,14.9608173890915,12.8458256847146,14.5419409990495,29.0186962589726,-17,-17,-16,-16
407,4,0,0,1,17.7573735,3816,3764,3928,3842,15.0539835851363,14.9075008208443,18.3632768792079,21.3739986978588,-16,-16,-16,-16
407,4,0,0,1,19.6439978,3842,3768,3940,3838,14.8586877804924,11.0512712910512,18.5471823720596,27.4325888136349,-16,-18,-16,-16
407,4,0,0,1,19.9574372,3820,3718,3936,3862,15.1033513620231,16.327146722877,15.8735648128022,23.7646940572363,-16,-17,-16,-16
407,4,0,0,1,19.0689751,3832,3788,3928,3874,17.1032176369939,15.1058372635518,15.4205988401555,22.2253652364238,-18,-18,-16,-16
407,4,0,0,1,18.6506772,3812,3772,3920,3842,18.5647499026511,17.4874594065623,18.0506774410127,23.5768623554738,-16,-18,-16,-16
407,4,0,0,1,17.8939122,3804,3750,3940,3866,19.2504179655622,15.7785411355064,14.7911228446715,28.7387009007625,-17,-16,-16,-16
407,4,0,0,1,16.1869224,3834,3768,3920,3858,18.4234738639073,14.3051287820594,17.9852450469523,22.5614588239276,-16,-17,-16,-16
407,4,0,0,1,18.1646026,3834,3776,3894,3862,15.3037352945083,15.6087114559943,16.7248574551307,32.3438935837847,-17,-17,-16,-16
407,4,0,0,1,21.0825413,3824,3788,3910,3858,18.7719519614323,15.3181969123577,19.5122030537411,25.4580917182815,-16,-18,-16,-16
407,4,0,0,1,21.129872,3838,3776,3902,3834,17.3411705080173,16.7672596391101,16.7479041270497,23.3639188857714,-18,-17,-16,-16
407,4,0,0,2,20.8716006,3828,3752,3886,3866,21.2618879070466,13.3970761159429,17.8865112602825,28.6217953992799,-17,-16,-16,-16
407,4,0,0,1,17.4527213,3792,3746,3886,3858,16.2690219054599,14.4574051065279,15.9732540717091,25.221776419264,-17,-16,-16,-16
407,4,0,0,2,22.8908999,3850,3776,3920,3866,15.1826385456515,11.6915871547806,15.3406643811634,23.3870765786628,-17,-17,-16,-16
407,4,0,0,1,20.3003407,3804,3734,3882,3858,13.4659806813963,14.7354320950325,20.2246047525718,26.3181909502446,-16,-17,-16,-16
407,4,0,0,1,20.5120402,3866,3726,3878,3858,19.2081599057194,13.7154360659865,16.6079247006184,25.2593401128047,-16,-18,-16,-16
407,4,0,0,1,18.1294936,3834,3780,3914,3854,18.6746407558043,14.8131347736857,16.8051642493807,28.5364874662866,-16,-17,-16,-16
407,4,0,0,1,18.9725751,3832,3726,3932,3858,18.6999720649132,12.846336766945,16.718748926752,21.9295505743822,-16,-18,-16,-16
407,4,0,0,1,17.9673165,3834,3722,3890,3854,15.5836722425968,17.1977493848467,18.9247171786521,20.6461524052276,-16,-18,-16,-16
407,4,0,0,1,18.1983076,3812,3768,3902,3874,20.6062064224381,17.1242272240241,19.9549226279803,22.4739401697996,-16,-16,-16,-16
407,4,0,0,1,17.506748,3866,3768,3936,3866,15.6080489864945,17.8126265035309,17.9420712180445,26.7539439772413,-16,-18,-16,-16
407,4,0,0,1,16.5150126,3824,3746,3916,3846,12.3999313616107,15.9731780559938,19.3885949683042,23.0534032318729,-16,-16,-16,-16
407,4,0,0,1,19.126578,3842,3756,3870,3870,20.1818321293738,11.4175747424201,22.1429640523448,24.1413028006057,-17,-19,-16,-16
407,4,0,0,2,23.160308,3870,3752,3910,3862,13.8198716568909,13.9739346852518,20.1387830670427,22.6283322346666,-16,-17,-16,-16
407,4,0,0,1,19.0608932,3792,3764,3890,3858,17.8082898935935,15.5411108348247,17.3814522066097,24.6628193635629,-16,-16,-16,-16
407,4,0,0,1,19.2864874,3800,3764,3886,3874,15.6118922926569,15.0614601709099,20.2050350381574,22.7132731648525,-16,-16,-16,-16
407,4,0,0,1,17.7238248,3820,3752,3902,3894,16.6398788883055,14.1568162752534,15.9556367838387,25.7688387333856,-16,-17,-16,-16
407,4,0,0,1,18.3458519,3812,3784,3894,3866,18.1370241883443,15.6953400740042,21.2759470384689,28.4503887658753,-16,-17,-16,-16
407,4,0,0,1,16.4101692,3828,3734,3894,3832,16.7928404862167,15.5058704238688,14.5741912854127,28.1681908592108,-17,-16,-16,-16
407,4,0,0,2,22.1762223,3824,3764,3916,3834,17.1638906520144,17.7785989694684,17.7860146787979,23.0361425297631,-16,-17,-16,-16
407,4,0,0,1,18.4797254,3838,3768,3924,3838,15.4912078945449,12.7300665762897,19.2004735604799,21.2672714769151,-17,-17,-16,-16
407,4,0,0,1,19.6207482,3850,3742,3894,3850,14.4982544942068,15.2942295648328,17.0792237624179,29.1531220599005,-17,-16,-16,-16
407,4,0,0,1,18.4194171,3838,3768,3894,3874,17.0130343760195,9.53836209360036,18.2388632607789,25.1682887306083,-18,-16,-16,-16
407,4,0,0,3,20.9597069,3846,3764,3916,3858,16.0590779143267,12.3599649955903,15.5897806520574,26.6663655730199,-16,-16,-17,-16
407,4,0,0,1,18.1792673,3828,3752,3898,3866,14.2775742472742,12.2895874800546,19.0202910729487,23.5205263271403,-17,-17,-16,-16
407,4,0,0,1,19.3778075,3846,3764,3940,3846,14.4363755882062,11.3202502424616,18.6420757378431,26.7776034921543,-17,-16,-16,-16
407,4,0,0,1,18.6352529,3828,3746,3870,3870,19.8450278428659,15.6510941236454,14.6063796138175,25.9319128095618,-16,-17,-16,-16
407,4,0,0,1,19.0730027,3792,3752,3870,3862,16.0811304411247,13.3210490425077,18.9401475958821,20.0295591282488,-16,-17,-16,-16
407,4,0,0,1,21.0754217,3834,3718,3902,3846,16.5249443047717,13.6434972944721,20.2353700878081,23.1635837852649,-16,-17,-16,-16
407,4,0,0,2,20.7164778,3838,3742,3928,3870,17.6642319279075,14.616958809645,15.9952129198667,21.6856780020497,-16,-17,-16,-16
407,4,0,0,1,19.6172925,3828,3780,3928,3874,17.3268443434925,21.5011533664421,16.4983901577958,24.0606723871054,-17,-17,-16,-16
407,4,0,0,1,19.9971078,3886,3784,3920,3846,15.2983848307496,12.8168520594997,22.6541246375314,22.6055251602578,-18,-19,-17,-16
407,4,0,0,1,17.1612254,3796,3772,3894,3846,15.2655204667741,13.9001613581276,17.7106239073587,25.0168589079786,-17,-18,-16,-16
