firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.7133798,3846,3746,3948,3890,10.5059519369508,6.29615342802468,18.8669752465285,37.7309448247817,-16,-19,-17,-17
407,4,0,0,1,8.5279654,3858,3742,3928,3846,31.089307143701,10.2575254335343,20.3806078516292,141.929388101857,-18,-18,-17,-18
407,4,0,0,1,7.0040137,3874,3788,3898,3846,327.691576688021,25.9150607967326,12.9263514662037,219.683513592271,-18,-17,-18,-18
407,4,0,0,1,7.7860893,3828,3714,3940,3854,10.037983730436,9.9194638728166,29.5314248814067,28.9399024339423,-18,-18,-17,-17
407,4,0,0,1,6.9257763,3796,3690,3944,3882,7.63513229775489,7.6113869393167,15.177857933732,181.736400437985,-18,-18,-17,-17
407,4,0,0,1,7.8550921,3870,3756,3890,3842,8.93433088115732,8.89112550090378,26.5466052201245,17.5920061923862,-18,-17,-17,-17
407,4,0,0,1,8.588493,3816,3710,3936,3878,24.7574696380582,8.22664065951333,24.6293387145702,77.8791299507558,-17,-19,-18,-18
407,4,0,0,1,7.6647375,3870,3784,3898,3846,46.0078420366752,11.445916898065,11.3894956959096,260.752645505645,-18,-18,-16,-17
407,4,0,0,1,8.1181464,3846,3750,3916,3858,8.62366333218351,42.9273720377967,8.55130612649776,51.1713985996094,-17,-19,-18,-17
407,4,0,0,1,8.2422299,3842,3742,3914,3850,4.68821934865631,4.65854929979675,4.65720199030184,9.28342194359579,-17,-18,-18,-17
407,4,0,0,1,7.6386672,3842,3742,3914,3850,56.8335742445397,4.72016501696899,9.41643525777021,534.74280278404,-18,-18,-17,-16
407,4,0,0,1,8.6664445,3846,3768,3886,3846,5.80569387621216,11.5861362610727,23.1664882847069,115.805479220444,-17,-20,-18,-18
407,4,0,0,1,8.3432356,3866,3776,3874,3834,8.78611863544549,17.4108347624727,25.9754428163614,17.197289019359,-18,-17,-17,-18
407,4,0,0,1,7.3389561,3858,3768,3890,3824,26.005525307277,8.61921101466214,8.59648610034163,119.731698368485,-17,-18,-17,-17
407,4,0,0,1,8.6583152,3842,3760,3916,3854,10.4775510610354,5.21428631020415,5.16225483161241,10.3015097377596,-17,-18,-17,-17
407,3,0,1,1,19.7851909,3866,3784,3870,3828,49.5366343225469,58.5094141647391,9.68206987162544,47.647999451095,-17,-17,-17,-17
407,4,0,0,1,9.8053496,3828,3752,3924,3866,49.6020821763648,53.4428158900931,1.97719972366657,519.6703116698,-17,-17,-16,-16
407,4,0,0,1,8.8772128,3834,3760,3906,3846,8.04794644574517,16.0218409736152,15.8545440708762,15.8101392003706,-16,-18,-18,-17
407,4,0,0,1,7.5623904,3820,3750,3914,3862,5.57602887490793,71.9951176234079,11.0414822969154,288.797805572599,-17,-18,-18,-17
407,4,0,0,1,8.7337401,3808,3726,3928,3870,12.5959972439958,12.5136085492974,12.506784930825,175.016626579525,-18,-19,-17,-17
407,4,0,0,1,9.5556585,3824,3746,3920,3858,8.16762581819192,24.2945077406351,16.0827683590832,72.2014130618774,-18,-18,-16,-17
407,4,0,0,1,7.8019329,3862,3788,3870,3820,42.9303575154313,17.0189011916635,25.4467818727305,93.0221544945768,-17,-18,-16,-17
407,3,0,1,1,19.2472019,3834,3752,3910,3850,8.91542913080807,142.062480854861,17.7080787797009,61.7675035869272,-18,-17,-17,-17
407,4,0,0,1,7.708072,3838,3760,3902,3850,85.3408154287385,38.3753836167812,2.73647449592087,142.261831807119,-16,-16,-16,-16
407,4,0,0,1,7.4394062,3850,3714,3882,3842,118.347221872934,2.94958191151195,53.0865242512514,161.956481410046,-18,-17,-16,-16
407,4,0,0,1,7.4904245,3834,3752,3910,3850,10.2002409296908,9.99096816477904,29.7243365032687,69.3285529645384,-17,-17,-17,-17
