firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,1,8.2973778,3800,3702,3722,3666,2.0564651872319,2.05362929691126,43.0924894100207,80.0229973783235,-20,-19,-17,-17
407,4,0,0,1,11.2063981,3764,3644,3690,3710,67.1821779118436,23.1746666903563,82.2566283419326,12.8364662440731,-18,-18,-17,-17
407,4,0,0,1,8.1272359,3746,3624,3710,3624,139.101695162808,6.92972839622524,27.5900504759973,96.3684247479622,-18,-20,-17,-18
407,4,0,0,1,9.7350864,3742,3612,3722,3640,63.7784859054581,40.0903636797341,120.256145590107,19.9770596764715,-17,-18,-17,-17
407,4,0,0,1,9.1952483,3710,3578,3734,3656,6.16934735091309,12.2538657883096,12.2508933964009,73.3317933656727,-18,-18,-18,-17
407,4,0,0,1,8.6645431,3756,3636,3678,3592,115.313163240348,18.1382314619717,12.0583915552672,239.598145989546,-17,-19,-18,-18
407,4,0,0,1,9.0992604,3746,3624,3690,3632,11.1043004734874,11.0494917786256,10.997252886229,54.7007649354969,-17,-18,-17,-18
407,4,0,0,1,7.9224848,3710,3566,3710,3674,56.864214753935,37.815577749098,2.69703455656437,37.754308980186,-17,-17,-17,-17
407,4,0,0,1,7.6989156,3730,3608,3710,3648,7.60938297796247,7.51751957937975,7.51138162100122,29.9631752576084,-18,-17,-17,-17
407,4,0,0,1,9.3041276,3726,3620,3690,3640,16.558196679916,8.24036145521487,49.2749195586938,16.4194715228896,-19,-20,-19,-19
407,4,0,0,1,7.1743032,3738,3604,3718,3698,113.456957868274,20.5048358946721,95.5975289404448,17.0519788650953,-17,-18,-17,-17
407,4,0,0,1,7.7390001,3730,3616,3726,3678,169.02426873369,68.6522813439142,8.57478008547341,28.560632652286,-17,-17,-16,-17
407,4,0,0,1,9.5410886,3690,3582,3674,3666,128.040904801054,18.604789617039,2.6533820671173,190.492417608061,-18,-19,-17,-18
407,4,0,0,1,10.0410474,3750,3644,3670,3636,18.3679017243786,18.2676262041791,63.9098396502123,18.1278795003594,-17,-17,-17,-18
407,4,0,0,1,7.7113571,3746,3644,3702,3632,306.196284710975,52.1511339862923,4.00811241953714,236.097177598299,-17,-18,-17,-16
407,4,0,0,1,12.517503,3750,3652,3670,3702,63.0418503323431,35.9077225392326,141.373649208442,2.24010322395656,-17,-17,-16,-17
407,4,0,0,1,7.6364583,3722,3612,3718,3648,192.22689364086,32.7739547566479,5.41294842217966,48.6203962562295,-17,-18,-17,-17
407,4,0,0,1,15.3337033,3710,3628,3722,3670,34.9621010824266,17.3871314362814,25.9858152096709,59.7588304343186,-20,-19,-18,-18
407,4,0,0,1,7.9187536,3726,3624,3670,3624,85.2558770428374,59.4734896919698,2.82603866812189,16.9387500444642,-17,-17,-16,-17
407,4,0,0,1,7.2250681,3734,3648,3682,3644,47.8253799726439,64.7867005861037,4.27640821053271,63.9512401637663,-18,-19,-18,-19
407,4,0,0,1,7.8165557,3738,3616,3686,3648,199.503021796784,32.1969508950887,21.4586115688203,8.03943180511774,-17,-17,-16,-17
407,4,0,0,1,8.2498797,3734,3604,3718,3666,62.0880568300854,8.84520536797823,35.2694497789487,96.669133194247,-17,-17,-17,-17
407,4,0,0,1,8.1327044,3746,3648,3702,3640,20.311992200195,9.88975885800977,39.3309800296949,68.1649982471858,-17,-18,-17,-17
407,4,0,0,1,8.4848353,3722,3644,3686,3632,11.4341316834644,5.6904087591324,5.66609476883467,45.2054020455444,-17,-17,-17,-17
407,4,0,0,1,10.8570496,3756,3636,3670,3616,78.5873681397926,27.229620926236,6.79964505852795,88.2878673454419,-18,-19,-17,-18
407,4,0,0,1,7.5894949,3764,3670,3670,3636,170.912673677438,19.9454226750867,53.1127031643885,3.31411148671041,-19,-18,-17,-17
407,4,0,0,1,7.8187142,3730,3636,3718,3678,92.0711858768741,77.1086395485467,11.8400258586165,5.9192805469652,-17,-17,-17,-16
407,4,0,0,1,7.7094046,3730,3648,3714,3656,7.15545585620396,28.3192055896448,21.1216140292577,28.1547384424799,-18,-20,-17,-17
407,4,0,0,1,8.9595712,3784,3596,3652,3670,2.74847294842985,93.301654677404,5.4771936502894,322.440844401525,-18,-20,-17,-18
407,4,0,0,1,10.2899548,3750,3660,3678,3620,31.225448990731,18.634547332682,49.5595395918772,12.3866543708478,-17,-19,-17,-17
407,4,0,0,2,9.1258845,3710,3600,3738,3694,45.2242614595452,47.3668433449923,4.50454001326587,9.00013860213447,-17,-18,-17,-17
407,4,0,0,1,11.9742906,3760,3640,3698,3632,94.2227824406423,41.7452869571025,97.0161975471534,13.8578386691209,-19,-20,-18,-18
407,4,0,0,1,10.5509277,3686,3596,3664,3660,175.557475701433,98.6024411952145,2.0106940775207,192.671344031142,-18,-17,-17,-16
407,4,0,0,1,8.0378746,3706,3628,3722,3674,101.336082468655,43.7939729386935,6.7203126827085,10.0362744412555,-17,-17,-17,-16
407,4,0,0,1,7.7419661,3674,3604,3714,3670,67.9404504669275,37.9770390821709,10.8374621806437,5.41458825440443,-17,-17,-17,-16
407,4,0,0,1,7.2498209,3726,3632,3714,3640,59.6534136665971,25.4491132256497,16.9121321716953,33.5692130033704,-18,-20,-17,-17
407,4,0,0,2,12.7539008,3714,3612,3718,3660,7.87779957302326,15.6912834136073,23.4725621396962,62.3568228886954,-17,-18,-18,-18
407,4,0,0,1,9.1893841,3742,3632,3718,3686,61.2232224930621,17.4010640750682,26.0044207515278,69.3210265404215,-18,-21,-19,-19
407,4,0,0,1,8.7141215,3746,3656,3678,3632,31.2103693331072,10.3223888485169,51.5936770916851,184.088231443906,-17,-17,-17,-18
