firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,0,4,0,10,29.3532951,2988,2832,3452,3338,3.75271790594338,1.24783905471699,16.2116088837123,28.6547087659987,-25,-26,-19,-19
407,0,4,0,10,20.7784826,2910,2768,3452,3342,1.89668275875542,3.78204169360583,9.3908070760107,7.50736378545306,-25,-26,-19,-21
407,0,4,0,10,24.3994067,2944,2788,3398,3354,1.2868797207574,2.55983649812319,30.6806070822858,21.7248009560957,-25,-26,-20,-19
407,0,4,0,10,29.699918,2890,2670,3424,3350,1.87965967633764,1.87482646137567,14.9892648758617,24.3333276555569,-25,-26,-20,-20
407,0,4,0,10,34.9113156,2920,2920,3398,3370,13.5644942773821,0,31.9697306714884,39.6928662818976,-25,-25,-19,-20
407,0,3,1,10,24.0448484,2944,2828,3410,3350,1.28016566367821,2.55738418470145,22.9960918141962,22.9844695216357,-26,-26,-20,-19
407,0,4,0,10,33.4259689,2890,2820,3406,3324,2.91400423812776,0.970947314456823,26.2037111442637,21.3423193552136,-25,-25,-19,-20
407,0,4,0,10,26.7344419,2976,2838,3378,3296,0.969275516953404,0.968284987186685,16.4269190047568,28.0119620737352,-24,-26,-19,-21
407,0,4,0,10,30.7157259,2894,2752,3432,3284,9.08964244333225,2.58970880796222,6.47219029275011,16.8151770166021,-25,-26,-21,-20
407,0,4,0,10,30.7164094,2996,2812,3416,3328,0,3.89030468963587,35.9796320275515,9.71649219085523,-26,-27,-20,-20
407,0,4,0,10,31.8145294,2914,2694,3414,3292,1.89629144179021,1.88343744661632,20.7066657957318,9.40434213523331,-25,-26,-20,-20
407,0,4,0,10,26.0874568,2952,2750,3468,3284,4.92512043889521,0.984856647221001,18.6943713314141,18.6764289999333,-26,-26,-20,-20
407,0,3,1,10,26.8322909,3030,2670,3394,3346,6.59774878213805,3.28848281241573,29.5597566903583,13.1212028469074,-25,-26,-21,-20
407,0,4,0,10,27.9989005,2882,2742,3416,3334,5.68696941286249,4.54526240481652,37.4829495173957,35.19902151262,-25,-26,-20,-20
407,0,4,0,10,42.0207742,2936,2808,3440,3324,5.81623207619031,0,19.3851289115919,9.6771799226774,-26,-26,-20,-20
407,0,4,0,10,24.2090065,2952,2750,3448,3334,7.81428034336339,0,17.5783481626232,37.071814445813,-24,-26,-21,-20
407,0,4,0,10,31.1750353,2976,2834,3374,3342,12.9346377829307,3.86988617116816,23.1869540921496,28.3088984647312,-25,-26,-21,-20
407,0,4,0,10,22.7604988,2924,2746,3420,3338,2.9022501822855,0.966174519910296,30.8921190246315,14.4742014727789,-26,-26,-20,-21
407,0,4,0,10,30.013349,2988,2752,3414,3358,1.27052404542987,2.53776350708766,12.6758392419645,29.1288129299508,-25,-26,-19,-20
407,0,4,0,10,25.2328688,2910,2776,3342,3230,2.56034411024842,2.55675419032836,22.9884998752235,25.5006055756309,-26,-26,-20,-20
407,0,3,1,10,26.9105091,3018,2838,3424,3386,1.52981923655901,3.05528507795713,13.7412510218147,33.5698789073432,-24,-26,-19,-21
407,0,4,0,10,32.5355509,2886,2632,3432,3250,1.89617530064807,3.78528429093771,7.56270331855203,17.0053856056213,-24,-25,-20,-20
407,0,4,0,10,22.7480532,2902,2686,3390,3332,1.89023482009123,1.88707017259144,22.5993978013799,18.8220449060112,-26,-27,-19,-20
407,0,4,0,10,24.9602434,2916,2780,3496,3272,1.28556549069135,2.56379260815007,15.3563616479475,10.2349601418668,-25,-26,-20,-20
407,0,4,0,10,25.2389893,2960,2772,3464,3304,1.28746308360541,2.57229300886772,11.5690646809695,39.8460912591172,-25,-26,-19,-19
407,0,4,0,10,31.6759704,2902,2776,3468,3276,1.04955659907137,3.14207620226047,23.0120371782473,22.9972937411924,-26,-26,-19,-20
407,0,4,0,10,18.9009535,2944,2838,3424,3342,5.89964816464895,4.90208622004936,27.4303350311731,28.3939954728222,-25,-26,-21,-20
407,0,4,0,10,21.1131657,2940,2772,3416,3312,1.26642377502944,2.52768222787889,12.6277390513083,16.4144502213489,-26,-25,-19,-20
407,0,4,0,10,26.0629168,2956,2694,3416,3366,1.29639422207466,5.16955360387675,5.16889894182301,10.3260808534712,-26,-26,-20,-20
407,0,4,0,10,27.8213028,2940,2792,3414,3304,7.89120241407664,1.12548290250786,31.4450682172679,25.8129044769902,-26,-26,-19,-20
407,0,4,0,10,28.4110159,2846,2890,3460,3332,7.76595809741404,0,51.4404640201616,26.1543842933429,-26,-26,-20,-20
407,0,4,0,10,31.8150898,2956,2768,3468,3324,1.28395416797202,2.56392243211631,15.375352720201,17.9103622191655,-26,-25,-20,-20
407,0,4,0,10,27.8237186,2968,2808,3406,3332,10.1909945238691,2.54225934146839,12.7101754614302,12.7055471656592,-24,-26,-19,-21
407,0,4,0,10,24.8329908,2906,2686,3424,3316,1.88570479253759,3.76690185318387,3.76397965568996,20.6798403516325,-25,-26,-19,-20
407,0,4,0,10,31.8006581,2906,2788,3398,3342,2.5580331385519,2.55406834993393,12.7542072941312,26.7801669654143,-25,-26,-20,-19
407,0,4,0,10,37.0882423,2944,2796,3382,3292,1.27855132974453,3.82180843643829,6.35938783006495,12.7170417515741,-24,-25,-20,-20
407,0,4,0,10,27.428152,2936,2694,3410,3324,1.85990385784978,1.8566295786342,7.42163771052867,18.5428371059972,-26,-26,-19,-21
407,0,4,0,10,31.4391902,2960,2764,3420,3362,1.27751463105569,1.27742813859942,34.4858196225591,16.6034034422687,-25,-26,-20,-19
407,0,4,0,10,24.355219,2976,2730,3394,3354,1.83112353345316,3.66118044878384,14.6431885103686,25.6237460379283,-25,-26,-21,-20
407,0,4,0,10,28.7107789,2976,2764,3350,3338,6.46663552334999,1.29248578491822,25.8482858127677,15.5066908140302,-25,-26,-21,-20
407,0,4,0,10,24.4151303,2882,2800,3332,3276,5.08368055930653,1.26938686963993,7.61582817879274,12.6911912091672,-24,-25,-19,-20
407,0,4,0,10,31.4872597,3010,2828,3342,3370,0,0.966717464447032,32.8665605076762,20.297970338286,-26,-26,-20,-20
407,0,4,0,10,23.151259,2854,2812,3456,3292,3.83240240020807,1.27637403579514,17.8678886600806,33.1774164898906,-25,-26,-19,-20
407,0,4,0,10,25.3826173,2916,2816,3358,3328,2.57437531174076,1.28631773411529,18.0053447579818,12.8590785158617,-26,-25,-20,-21
407,0,4,0,10,22.6052444,2924,2854,3394,3370,4.87198992628387,0,36.0489739926139,18.4936854284456,-24,-26,-19,-20
407,0,4,0,10,23.0000379,2960,2776,3374,3350,1.26110895111172,1.25999268700244,15.1177807400229,20.1523720853372,-25,-26,-19,-20
407,0,4,0,10,28.1029933,2928,2694,3416,3342,1.88654933713259,1.88137197169664,3.76171562821685,5.64073482980775,-25,-25,-19,-20
407,0,4,0,10,31.1817281,2960,2760,3424,3300,3.87696528216359,0.968578162126812,18.4020831932999,20.3382936171655,-26,-26,-20,-20
407,0,4,0,10,33.9521278,2870,2834,3416,3308,0,4.86799269489544,33.0975006617066,31.1271904665976,-25,-27,-20,-20
407,0,4,0,10,25.8518126,2854,2666,3452,3256,1.85628838108264,3.71192424111101,7.42214999645592,9.27581831269155,-24,-25,-20,-20
407,0,4,0,10,29.4539022,2854,2760,3428,3350,2.57996671326947,1.28906478607583,15.4662175277097,29.6390453959351,-26,-25,-19,-20
407,0,4,0,10,27.5813779,2972,2816,3410,3300,15.4381640420716,1.28505501577534,6.42444042160262,30.829934119,-24,-27,-19,-21
407,0,4,0,10,25.1673459,2780,2738,3166,3234,1.88100888287635,3.76102096675163,45.1175311686944,9.39671757620315,-25,-26,-20,-20
407,0,4,0,10,29.8915295,2788,2808,3406,3320,4.83406538808215,0.96625499372659,35.7479598784222,22.2197555073355,-25,-26,-21,-19
407,0,4,0,10,31.0943003,2878,2846,3414,3264,1.26267488836376,2.52315690326898,26.4907646256458,21.44322489957,-25,-25,-20,-19
407,0,4,0,10,26.6095307,2928,2780,3416,3334,1.28267814988556,10.2518192814423,16.6567921785854,23.0619860059869,-25,-26,-21,-19
407,0,4,0,10,26.9004013,2948,2760,3374,3324,1.91704156011909,1.91667008472832,11.4952064031365,13.4099539789537,-25,-26,-20,-19
407,0,4,0,10,30.1555627,2976,2824,3472,3328,5.21777628549376,1.30321906838864,23.4545534148787,6.51445851495101,-25,-26,-20,-20
407,0,4,0,10,22.4111877,2804,2788,3428,3362,7.6232716375607,1.90519048189698,3.81008842834233,11.4273089830076,-25,-25,-20,-20
407,0,4,0,10,33.3153385,2902,2714,3440,3354,9.80111383778098,0,42.1363852880517,8.81451872678782,-25,-25,-20,-20
407,0,4,0,10,27.2645914,2928,2796,3366,3358,1.28962185836831,3.86565807352353,16.750075600822,28.3433638780318,-24,-26,-19,-21
407,0,4,0,10,26.0282,2924,2792,3406,3350,5.81155565852771,0,29.0528255906585,18.3858251868,-26,-26,-20,-19
407,0,4,0,10,29.9177539,2886,2800,3424,3296,7.65409608952231,1.27474990681578,24.2177815874756,30.5873809465851,-25,-26,-19,-20
407,0,4,0,10,28.4202337,2964,2824,3328,3332,1.2792520162291,3.83713313969454,23.0209968117198,14.067132962285,-24,-26,-19,-20
407,0,4,0,10,25.1625961,2944,2796,3424,3304,0.965527762302513,1.9308668568828,25.097998029228,34.7481358590338,-25,-26,-21,-20
407,0,4,0,10,31.6914995,2984,2706,3424,3354,1.88652584757362,3.77269938904906,3.77242541867792,16.9735644277844,-26,-25,-19,-20
407,0,4,0,10,30.5935874,2952,2812,3444,3354,3.91105020302262,0.97718841590038,9.7704653877844,18.5631533130832,-26,-27,-21,-19
407,0,4,0,10,32.0866341,2874,2780,3436,3362,3.87786358412705,0.968399853849094,22.2699897364395,9.67243524256243,-24,-26,-19,-20
407,0,4,0,10,30.6814398,2842,2812,3416,3280,2.56078995248454,1.2795273323672,16.6303123773914,10.2326730786302,-24,-26,-19,-20
407,0,4,0,10,20.5562538,2898,2780,3394,3324,2.58897196324592,1.29350510391244,31.0382969907207,29.740380700148,-24,-25,-21,-19
407,0,4,0,10,41.2953419,2902,2812,3362,3288,7.59275979734924,1.26441480290871,12.6433566999423,29.0784005514276,-25,-25,-19,-20
407,0,4,0,10,22.0744592,2878,2738,3420,3334,3.89509673537661,2.59506333316941,12.9734380531955,7.78302988164606,-25,-25,-20,-20
407,0,4,0,10,31.9229261,2936,2800,3398,3334,15.9852052565749,1.45146370680317,8.70805041845085,20.3170062484953,-25,-26,-19,-19
407,0,4,0,10,26.423776,3026,2776,3428,3358,0,2.94680139442642,29.4635454427065,9.81588636423201,-25,-26,-20,-19
407,0,4,0,10,27.0162439,2940,2780,3472,3332,5.13626313486941,1.28302852210896,37.2057888101922,12.8288894274172,-26,-26,-20,-20
407,0,4,0,10,23.3750018,2968,2878,3390,3350,3.91710466425321,0,22.519893878427,26.4198853670529,-25,-26,-19,-20
407,0,4,0,10,23.1751141,2898,2820,3424,3284,3.8980841988136,0,23.3854810071893,18.5019262939736,-26,-27,-20,-19
407,0,4,0,10,30.0840035,2964,2804,3390,3316,2.55164269653518,1.27563272339805,11.4800809116103,25.5093938980765,-25,-25,-20,-20
407,0,4,0,10,23.8531078,2866,2768,3182,3264,1.88472601078327,3.76866928099255,16.9576505288243,7.5362010839318,-24,-26,-19,-20
407,0,4,0,10,32.9066234,2898,2816,3398,3272,11.6419284311156,1.29235700069787,7.75251191076549,7.75136214040947,-25,-25,-19,-20
407,0,4,0,10,22.3629557,2870,2820,3424,3276,1.8408910501768,3.68123386124068,14.7236346175471,33.1215151105872,-25,-25,-20,-20
407,0,4,0,10,26.255395,2940,2804,3410,3334,0,0,19.6577951364846,28.4995563405272,-25,-26,-20,-20
407,0,3,1,10,30.2237509,2832,2834,3444,3272,1.84279757310931,1.83982924912705,1.8396667848346,14.714786962993,-25,-26,-18,-20
407,0,4,0,10,30.0396325,2972,2834,3432,3324,9.70511305146515,0,50.4507923830558,27.1502672265052,-25,-25,-19,-20
407,0,4,0,10,22.9372386,2866,2718,3428,3296,11.2718624817748,1.87838437905496,16.9034654357939,3.7512254784735,-25,-26,-19,-19
407,0,4,0,10,30.2814772,2878,2862,3448,3350,4.84238661091724,0,21.3031628902776,11.6129137148898,-25,-26,-19,-19
407,0,4,0,10,34.1459462,2850,2738,3386,3250,1.89932152436507,1.89913900634009,34.1823598513751,20.8877601902837,-25,-26,-19,-20
407,0,4,0,10,30.4387863,2932,2682,3164,3342,3.79585151388048,1.89587440666241,7.5811878887491,22.7403441182574,-25,-24,-19,-19
407,0,4,0,10,28.9360517,2960,2710,3342,3210,1.2788130977572,2.55564338449987,25.5543570562096,31.9402528185996,-25,-25,-19,-20
407,0,4,0,10,32.4864345,2952,2804,3456,3394,0,4.85731916395045,15.5410811969041,46.5877799670799,-25,-26,-19,-21
407,0,4,0,10,22.900459,2928,2776,3374,3332,3.89014843250359,1.29588132629825,14.2522067922649,6.4774113880406,-25,-25,-20,-20
407,0,4,0,10,32.7688985,2976,2780,3378,3342,1.28410403759548,2.56801483593531,25.6788624572078,48.7866378020952,-25,-26,-19,-20
407,0,4,0,10,28.0963753,2894,2660,3406,3288,1.88657318319229,1.88606720660999,22.6272499971716,13.1980445777154,-25,-25,-20,-19
407,0,4,0,10,22.5694814,2932,2808,3406,3358,3.90471366295429,0,22.4474252022513,20.4794752261251,-25,-25,-21,-21
407,0,4,0,10,36.3332528,2894,2862,3406,3316,8.69093639625108,0,20.2770227537162,15.4384406171478,-26,-26,-20,-19
407,0,4,0,10,29.1508441,2928,2760,3362,3346,1.89868394620952,3.79689713769011,11.3898156824094,7.5926641956341,-24,-25,-19,-19
407,0,4,0,10,22.6507343,2850,2746,3268,3280,4.70652576269838,2.35291903135029,16.4670081140006,18.8172820741161,-24,-25,-20,-20
407,0,3,1,10,30.3554829,2952,2750,3410,3304,1.88647780257029,1.88625077855001,16.975011462848,11.3158654090968,-24,-25,-20,-19
407,0,4,0,10,33.7098632,2914,2792,3432,3308,7.70998035111508,1.2847504108953,3.85404525085916,8.99219233631416,-25,-25,-20,-20
407,0,4,0,10,28.7296134,2932,2756,3424,3328,8.64487958499199,0,45.1348085501461,25.9059552418014,-26,-27,-19,-20
